,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1762,2021,19.35,25.30,7.76,64.00,64.90,64.40,14.90,10.70,37.31,2021,1.30,2.19,5.17,25.10
1,1762,2020,15.44,33.40,7.76,70.00,61.50,53.50,23.60,16.20,32.21,2020,1.50,2.33,6.86,21.90
2,1762,2019,11.57,13.40,7.76,51.00,35.50,30.00,5.86,3.52,25.98,2019,0.80,1.49,1.51,53.00
3,1762,2018,10.19,-12.70,7.76,55.00,22.80,24.30,12.30,7.03,25.58,2018,1.20,4.00,3.02,39.70
4,1762,2017,11.68,-2.10,7.76,49.00,24.40,24.80,4.78,2.78,23.48,2017,0.50,2.05,1.11,45.00
5,1762,2016,11.93,2.68,7.76,49.00,27.05,32.70,3.31,2.15,22.83,2016,0.50,2.01,0.78,64.10
6,1762,2015,11.62,22.80,7.76,64.00,39.45,33.30,17.70,10.10,23.67,2015,1.50,4.59,3.98,37.70
7,1762,2014,9.47,-9.31,7.76,49.00,34.40,42.00,0.90,0.48,20.26,2014,0.50,1.50,0.19,263.00
8,1762,2013,10.44,-20.90,7.76,49.00,51.30,50.70,5.64,3.17,21.29,2013,1.00,2.38,1.25,80.00
9,1762,2012,13.30,13.80,7.76,57.00,52.90,51.80,10.60,6.63,21.60,2012,1.50,2.96,2.32,64.70
10,1762,2011,11.68,-3.42,7.76,60.00,51.80,65.70,9.85,6.98,20.61,2011,1.50,2.90,2.20,68.20
11,1762,2010,12.09,10.20,7.76,68.00,59.30,60.50,17.30,10.60,20.62,2010,2.00,3.04,2.62,76.30
12,1762,2009,10.97,34.50,7.02,66.00,-1,-1,24.30,10.70,16.59,2009,2.50,4.13,3.62,69.10
13,1762,2007,5.66,-23.10,6.52,45.00,-1,-1,1.92,0.64,10.70,-1,-1,-1,-1,-1
14,1762,2006,7.35,57.20,6.52,47.00,-1,-1,7.29,2.28,10.17,-1,-1,-1,-1,-1
15,1762,2005,4.68,18.10,6.52,32.00,-1,-1,-10.20,-2.99,9.41,-1,-1,-1,-1,-1
16,1762,2004,4.02,-35.30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,1762,2003,6.21,110.40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
