,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,2599,樂揚               ,2021,0.83,-88.30,10.00,68.00,14.35,15.50,0.59,0.56,22.10,2021,1.50,10.30,0.13,1154.00
1,2599,樂揚               ,2020,7.06,-36.60,10.00,64.00,16.15,17.60,5.85,5.45,23.19,2020,1.25,8.05,1.37,91.20
2,2599,樂揚               ,2019,11.14,-15.30,10.00,74.00,19.99,19.90,11.10,9.85,23.27,2019,1.50,8.53,2.57,58.40
3,2599,樂揚               ,2018,13.15,270.20,9.99,72.00,18.36,16.10,17.10,12.90,23.20,2018,2.51,12.60,3.80,66.10
4,2599,樂揚               ,2017,3.55,-61.80,9.99,53.00,13.68,14.00,13.80,8.41,21.39,2017,2.00,12.50,2.89,69.20
5,2599,樂揚               ,2016,9.31,109.40,9.99,60.00,13.99,13.10,22.60,12.80,20.51,2016,2.00,14.30,4.46,44.80
6,2599,樂揚               ,2015,4.45,-49.70,9.99,64.00,11.50,13.00,47.00,24.90,19.05,2015,3.00,22.90,7.44,40.30
7,2599,樂揚               ,2014,8.85,43.50,9.99,64.00,14.20,12.80,22.60,10.30,12.62,2014,1.00,7.71,2.56,39.10
8,2599,樂揚               ,2013,6.17,1579.40,9.99,51.00,11.50,10.90,16.00,6.51,10.07,2013,0.00,0.00,1.52,0.00
9,2599,樂揚               ,2012,4.38,90.30,9.99,21.00,10.00,10.20,-7.62,-2.92,11.97,2012,0.50,4.58,-0.69,-72.10
10,2599,樂揚               ,2011,2.30,92.50,10.10,-1,10.30,9.76,-1,-1,11.89,2011,0.50,4.90,0.29,172.00
11,2599,樂揚               ,2010,1.20,-75.00,7.58,-1,9.26,11.40,-1,-1,11.74,2010,0.50,5.12,0.12,417.00
12,2599,樂揚               ,2009,4.78,-32.10,7.58,-1,11.15,9.03,-1,-1,12.61,2009,1.00,8.74,1.15,87.00
13,2599,樂揚               ,2008,7.04,45.30,7.58,-1,6.50,7.84,-1,-1,12.59,2008,1.01,11.20,1.92,52.70
