,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,6016,康和證             ,2021,42.99,28.70,59.40,57.00,15.00,14.90,16.20,3.71,14.93,2021,1.55,11.20,2.33,66.50
1,6016,康和證             ,2020,33.39,53.60,59.40,57.00,14.00,8.56,14.00,3.56,13.82,2020,1.22,8.21,1.83,66.70
2,6016,康和證             ,2019,21.74,55.60,61.00,43.00,8.10,7.47,4.01,1.24,12.23,2019,0.40,4.67,0.47,85.10
3,6016,康和證             ,2018,13.97,-50.90,62.60,32.00,7.67,8.09,-3.80,-1.01,11.74,2018,0.30,4.01,-0.45,-66.70
4,6016,康和證             ,2017,28.44,74.50,61.30,45.00,9.17,7.45,9.56,2.19,12.61,2017,0.80,9.89,1.15,69.60
5,6016,康和證             ,2016,16.30,-33.40,63.30,32.00,6.65,6.49,-4.82,-1.13,11.49,2016,0.00,0.00,-0.57,0.00
6,6016,康和證             ,2015,24.48,5.31,68.80,41.00,7.12,7.23,3.11,0.66,11.79,2015,0.21,3.20,0.35,59.50
7,6016,康和證             ,2014,23.25,11.60,68.80,34.00,8.13,8.26,0.96,0.21,11.47,2014,0.00,0.00,0.10,0.00
8,6016,康和證             ,2013,20.84,14.20,68.80,34.00,8.41,7.52,0.28,0.07,11.26,2013,0.00,0.00,0.03,0.00
9,6016,康和證             ,2012,13.23,19.10,69.20,36.00,6.53,6.63,0.19,0.05,11.20,2012,0.00,0.00,0.02,0.00
10,6016,康和證             ,2011,11.10,-29.60,69.20,26.00,6.20,8.44,-4.72,-1.58,11.19,2011,0.00,0.00,-0.54,0.00
11,6016,康和證             ,2010,15.78,-10.90,68.20,36.00,11.25,9.90,1.56,0.56,11.60,2010,0.15,1.79,0.18,83.80
12,6016,康和證             ,2009,17.71,61.60,65.50,40.00,12.95,9.51,5.01,2.13,11.91,2009,0.41,4.09,0.58,69.90
13,6016,康和證             ,2008,10.96,-55.30,65.50,29.00,7.10,11.70,-4.66,-1.85,11.39,2008,0.00,0.00,-0.55,0.00
14,6016,康和證             ,2007,24.50,31.70,61.40,40.00,12.70,12.50,9.06,2.98,12.71,2007,0.68,5.80,1.12,60.70
15,6016,康和證             ,2006,18.60,-11.80,52.50,40.00,9.49,8.19,6.52,2.09,12.32,2006,0.40,3.23,0.78,51.70
16,6016,康和證             ,2005,21.09,6.59,52.50,24.00,9.00,8.92,-3.18,-1.10,11.93,2005,0.00,0.00,-0.37,0.00
17,6016,康和證             ,2004,19.79,12.70,50.60,36.00,11.30,11.60,3.70,1.34,12.66,2004,0.40,4.52,0.46,87.60
18,6016,康和證             ,2003,17.55,6.72,47.80,36.00,7.80,7.42,4.07,1.48,12.14,2003,0.50,4.30,0.51,98.00
19,6016,康和證             ,2002,16.45,-3.79,46.80,-1,7.00,9.35,-1,-1,12.11,2002,0.42,5.68,0.02,2108.00
20,6016,康和證             ,2001,17.10,-22.30,45.90,-1,9.50,7.44,-1,-1,12.70,2001,0.76,8.11,1.02,74.40
21,6016,康和證             ,2000,21.99,7.07,42.90,-1,5.40,14.10,-1,-1,12.76,2000,1.05,14.10,0.28,374.00
22,6016,康和證             ,1999,20.54,1.50,30.90,-1,10.40,15.50,-1,-1,12.99,1999,0.00,0.00,1.26,0.00
23,6016,康和證             ,1998,20.24,-22.20,29.20,-1,17.89,33.00,-1,-1,12.45,1998,0.60,3.87,0.38,158.00
24,6016,康和證             ,1997,26.01,-1,21.60,-1,41.30,53.80,-1,-1,16.44,1997,3.50,10.60,4.13,84.70
