,布腹,祇,基,程蔼基,程基,p0,p1,p2
0,2348,2012,2012,28.65,0.80,34.81,81.50,76.38
1,2348,2013,2013,66.00,25.05,1.63,1.47,0.69
2,2348,2014,2014,61.90,40.75,0.52,0.04,-0.04
3,2348,2015,2015,42.30,26.75,0.58,0.46,0.64
4,2348,2016,2016,39.10,16.25,1.41,1.70,2.88
5,2348,2017,2017,43.90,16.05,1.74,2.93,2.54
6,2348,2018,2018,63.00,24.55,1.57,1.31,3.11
7,2348,2019,2019,56.80,39.85,0.43,1.53,2.00
8,2348,2020,2020,101.00,42.70,1.37,1.80,1.80
9,2348,2021,2021,119.50,83.00,0.44,0.44,
10,2348,2022,2022,119.50,91.60,0.30,,
