,布腹,布嘿,祇,基,程蔼基,程基,p0,p1,p2
0,2408,玭ㄈ,2012,2012,4.49,1.20,2.74,4.48,68.17
1,2408,玭ㄈ,2013,2013,6.58,2.48,1.65,32.47,35.01
2,2408,玭ㄈ,2014,2014,83.00,3.50,22.71,24.51,13.46
3,2408,玭ㄈ,2015,2015,89.30,31.15,1.87,0.62,1.93
4,2408,玭ㄈ,2016,2016,50.60,35.15,0.44,1.59,2.06
5,2408,玭ㄈ,2017,2017,91.20,43.80,1.08,1.45,0.98
6,2408,玭ㄈ,2018,2018,107.50,45.10,1.38,0.92,1.04
7,2408,玭ㄈ,2019,2019,86.70,49.50,0.75,0.86,1.12
8,2408,玭ㄈ,2020,2020,92.00,44.00,1.09,1.39,0.91
9,2408,玭ㄈ,2021,2021,105.00,59.40,0.77,0.42,
10,2408,玭ㄈ,2022,2022,84.20,61.50,0.37,,
