"stock_name","trade_date","start_price","high_price","low_price","end_price","volume"
"台　泥","20060208","24.65","24.90","24.45","24.50","19876.00"
"台　泥","20060209","24.55","24.60","23.95","24.10","13940.00"
"台　泥","20060210","24.10","24.10","23.90","24.00","6696.00"
"台　泥","20060213","24.00","24.05","23.90","23.90","15660.00"
"台　泥","20060214","23.90","24.60","23.80","24.35","10297.00"
"台　泥","20060215","24.40","24.50","24.00","24.00","5889.00"
"台　泥","20060216","24.10","24.50","24.10","24.30","7471.00"
"台　泥","20060217","24.50","24.50","24.15","24.20","2713.00"
"台　泥","20060220","24.30","25.05","24.25","24.80","10050.00"
"台　泥","20060221","25.00","25.00","24.50","24.50","4433.00"
"台　泥","20060222","24.60","24.60","24.35","24.60","6106.00"
"台　泥","20060223","24.70","24.70","24.45","24.50","3572.00"
"台　泥","20060224","24.30","24.65","24.30","24.60","5324.00"
"台　泥","20060227","24.50","24.55","24.40","24.50","3309.00"
"台　泥","20060301","24.50","24.50","24.30","24.45","3907.00"
"台　泥","20060302","24.45","25.20","24.45","25.00","14562.00"
"台　泥","20060303","25.00","26.50","25.00","26.00","27457.00"
"台　泥","20060306","26.00","26.15","25.85","26.05","5660.00"
"台　泥","20060307","26.05","26.40","26.00","26.25","9328.00"
"台　泥","20060308","26.25","26.45","26.15","26.25","6631.00"
"台　泥","20060309","26.25","26.25","25.75","26.00","10831.00"
"台　泥","20060310","25.90","26.00","25.45","25.70","19239.00"
"台　泥","20060313","25.70","25.80","25.50","25.50","16024.00"
"台　泥","20060314","25.30","25.45","24.60","24.95","4493.00"
"台　泥","20060315","24.95","25.10","24.50","24.75","14051.00"
"台　泥","20060316","24.50","24.90","24.35","24.50","6671.00"
"台　泥","20060317","24.50","25.00","24.20","24.90","5293.00"
"台　泥","20060320","24.90","24.95","24.60","24.70","3819.00"
"台　泥","20060321","24.95","25.10","24.80","24.95","5609.00"
"台　泥","20060322","25.00","25.10","24.70","24.95","6464.00"
"台　泥","20060323","25.00","25.00","24.65","24.75","11512.00"
"台　泥","20060324","24.75","25.10","24.65","25.00","6650.00"
"台　泥","20060327","25.00","25.15","24.90","25.00","13468.00"
"台　泥","20060328","25.00","25.00","24.55","24.65","6220.00"
"台　泥","20060329","24.60","24.60","24.00","24.20","6954.00"
"台　泥","20060330","24.20","24.90","23.90","24.90","7722.00"
"台　泥","20060331","24.80","25.05","24.70","25.00","11275.00"
"台　泥","20060403","24.95","25.00","24.65","24.70","5336.00"
"台　泥","20060404","24.70","25.20","24.65","25.10","4461.00"
"台　泥","20060406","25.10","25.15","24.80","24.95","8750.00"
"台　泥","20060407","24.55","25.10","24.55","25.00","7316.00"
"台　泥","20060410","24.90","25.00","24.45","24.60","9827.00"
"台　泥","20060411","24.65","24.70","24.35","24.50","5318.00"
"台　泥","20060412","24.50","24.85","24.50","24.80","4520.00"
"台　泥","20060413","24.90","25.10","24.85","24.95","7415.00"
"台　泥","20060414","25.00","25.05","24.75","25.00","11949.00"
"台　泥","20060417","25.05","25.60","25.05","25.60","14259.00"
"台　泥","20060418","25.60","25.60","25.15","25.20","10227.00"
"台　泥","20060419","25.25","26.10","25.05","25.15","29387.00"
"台　泥","20060420","25.60","25.60","24.80","25.15","12708.00"
"台　泥","20060421","25.10","25.15","24.80","24.85","9513.00"
"台　泥","20060424","25.00","25.40","24.95","25.05","25966.00"
"台　泥","20060425","25.05","25.80","24.90","25.00","29827.00"
"台　泥","20060426","25.00","25.05","24.70","25.00","10745.00"
"台　泥","20060427","25.20","26.10","25.20","25.45","66542.00"
"台　泥","20060428","25.45","25.45","24.40","25.00","17744.00"
"台　泥","20060502","25.00","26.50","25.00","26.50","42055.00"
"台　泥","20060503","26.80","28.35","26.75","27.45","47413.00"
"台　泥","20060504","27.90","28.80","27.50","28.80","46829.00"
"台　泥","20060505","28.80","28.80","28.10","28.80","34952.00"
"台　泥","20060508","29.20","29.70","28.20","28.80","44729.00"
"台　泥","20060509","28.60","28.60","27.10","27.40","28914.00"
"台　泥","20060510","27.55","28.40","26.00","26.85","34835.00"
"台　泥","20060511","26.80","26.85","26.10","26.60","10631.00"
"台　泥","20060512","26.50","27.10","26.45","26.60","14744.00"
"台　泥","20060515","26.80","26.80","25.80","25.90","15782.00"
"台　泥","20060516","26.10","26.20","24.85","24.85","17420.00"
"台　泥","20060517","25.00","25.35","24.70","25.35","14756.00"
"台　泥","20060518","24.90","25.60","24.85","25.50","19688.00"
"台　泥","20060519","25.40","25.50","25.00","25.25","14244.00"
"台　泥","20060522","25.45","25.45","24.40","24.40","13630.00"
"台　泥","20060524","23.80","23.95","23.35","23.75","14859.00"
"台　泥","20060525","23.95","24.70","23.85","24.45","15227.00"
"台　泥","20060526","25.00","25.70","25.00","25.30","26667.00"
"台　泥","20060529","25.50","25.60","25.00","25.45","10611.00"
"台　泥","20060530","25.40","27.20","24.90","27.20","28857.00"
"台　泥","20060601","26.50","26.50","25.75","25.95","16574.00"
"台　泥","20060602","25.90","26.10","25.35","25.75","7575.00"
"台　泥","20060605","25.80","25.95","24.40","24.50","13851.00"
"台　泥","20060606","24.60","24.65","23.75","24.25","9050.00"
"台　泥","20060607","24.25","24.25","23.70","23.70","6390.00"
"台　泥","20060608","23.50","23.50","22.05","22.05","16820.00"
"台　泥","20060609","22.15","22.70","21.80","22.30","11951.00"
"台　泥","20060612","22.25","22.45","21.50","21.90","12849.00"
"台　泥","20060613","21.50","21.65","20.85","21.25","17999.00"
"台　泥","20060614","21.20","21.90","21.10","21.80","12676.00"
"台　泥","20060615","22.00","22.10","21.80","21.80","9325.00"
"台　泥","20060616","22.45","22.85","22.40","22.70","9758.00"
"台　泥","20060619","22.75","23.50","22.50","23.15","7011.00"
"台　泥","20060620","22.80","23.10","22.50","22.50","11326.00"
"台　泥","20060621","22.20","22.70","22.20","22.40","8865.00"
"台　泥","20060622","23.30","23.30","22.75","23.05","10365.00"
"台　泥","20060623","22.90","23.00","22.50","22.60","4546.00"
"台　泥","20060626","22.75","23.05","22.70","23.00","5179.00"
"台　泥","20060627","23.10","23.35","22.95","23.20","7107.00"
"台　泥","20060628","22.90","23.20","22.90","23.20","3089.00"
"台　泥","20060629","23.20","23.75","23.15","23.65","12416.00"
"台　泥","20060630","23.95","24.00","23.60","23.80","10151.00"
"台　泥","20060703","23.80","24.40","23.70","24.15","9639.00"
"台　泥","20060704","24.50","24.50","24.15","24.25","5886.00"
"台　泥","20060705","24.25","24.55","24.10","24.20","7626.00"
"台　泥","20060706","24.20","24.20","23.70","24.00","12652.00"
"台　泥","20060707","24.00","24.05","23.70","23.85","7264.00"
"台　泥","20060710","23.60","23.85","23.30","23.70","7184.00"
"台　泥","20060711","23.85","24.40","23.75","24.10","9449.00"
"台　泥","20060712","24.40","25.25","24.30","24.65","14927.00"
"台　泥","20060713","24.60","24.60","24.20","24.50","2868.00"
"台　泥","20060714","24.00","24.00","23.55","23.75","7487.00"
"台　泥","20060717","23.50","23.55","22.50","23.30","8541.00"
"台　泥","20060718","23.30","23.30","23.10","23.10","4664.00"
"台　泥","20060719","23.20","23.50","23.20","23.35","7978.00"
"台　泥","20060720","23.80","23.80","23.05","23.20","10380.00"
"台　泥","20060721","23.20","23.35","22.95","23.05","3587.00"
"台　泥","20060724","23.00","23.25","22.95","23.25","2029.00"
