日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2012/04/11,86.50,86.50,85.90,86.00,0.00,0.00,,,,,,333,,821.0000,,,4.0000,,,-6075,-6075,19405,,,5477,,,205,,,25087,,,0.000,
2012/04/12,86.10,86.10,85.50,85.60,-0.40,-0.4651,,,,,,251,,865.0000,,,1.0000,,,-5934,141,19409,,,5449,,,203,,,25061,,,0.000,
2012/04/13,86.00,86.60,86.00,86.50,0.90,1.0514,,,,,,313,,846.0000,,,0.0000,,,-5242,692,19479,,,5451,,,207,,,25137,,,0.000,
2012/04/16,86.90,87.30,86.50,86.50,0.00,0.00,,,,,,402,,842.0000,,,0.0000,,,-5671,-429,19489,,,5456,,,217,,,25162,,,0.000,
2012/04/17,87.20,87.30,84.20,84.60,-1.90,-2.1965,85.8400,,,,,754,410,817.0000,838.2000,,0.0000,1.0000,,-6361,-690,19375,19431,,5456,5459,,221,211,,25052,25101,,0.000,
2012/04/18,84.60,85.50,84.50,85.10,0.50,0.591,85.6600,,,,,578,459,856.0000,845.2000,,62.0000,12.6000,,-6453,-92,19266,19404,,5456,5454,,205,211,,24927,25069,,0.000,
2012/04/19,85.00,85.80,84.40,85.00,-0.10,-0.1175,85.5400,,,,,793,568,954.0000,863.0000,,86.0000,29.6000,,-6507,-54,19104,19343,,5482,5461,,204,211,,24790,25014,,0.000,
2012/04/20,85.40,85.40,84.30,84.80,-0.20,-0.2353,85.2000,,,,,351,575,948.0000,883.4000,,88.0000,47.2000,,-7116,-609,19154,19278,,5482,5467,,190,207,,24826,24952,,0.000,
2012/04/23,84.80,85.80,83.50,85.80,1.00,1.1792,85.0600,,,,,484,592,930.0000,901.0000,,115.0000,70.2000,,-7592,-476,19331,19246,,5482,5472,,194,203,,25007,24921,,0.000,
2012/04/24,85.50,85.50,84.60,84.90,-0.90,-1.049,85.1200,85.4800,,,,384,518,941.0000,925.8000,882.0000,115.0000,93.2000,47.1000,-7660,-68,19398,19251,19341,5609,5503,5481,195,198,204,25202,24951,25026,0.000,
2012/04/25,84.90,85.50,84.90,85.00,0.10,0.1178,85.1000,85.3800,,,,238,450,946.0000,943.8000,894.5000,135.0000,107.8000,60.2000,-7080,580,19420,19281,19343,5675,5547,5501,159,188,200,25254,25017,25043,0.000,
