日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2012/04/18,44.00,44.00,43.00,43.20,0.00,0.00,,,,,,212,,4795.0000,,,90.0000,,,-6453,-6453,20757,,,1525,,,0,,,22282,,,0.000,
2012/04/19,42.70,42.70,40.50,41.90,-1.30,-3.0093,,,,,,611,,4834.0000,,,88.0000,,,-6507,-54,20818,,,1525,,,0,,,22343,,,0.000,
2012/04/20,41.10,42.15,40.40,41.00,-0.90,-2.148,,,,,,566,,4772.0000,,,89.0000,,,-7116,-609,20834,,,1605,,,14,,,22453,,,0.000,
2012/04/23,41.00,41.75,39.40,39.60,-1.40,-3.4146,,,,,,761,,4753.0000,,,89.0000,,,-7592,-476,20906,,,1605,,,0,,,22511,,,0.000,
2012/04/24,38.80,39.60,38.40,39.50,-0.10,-0.2525,41.0400,,,,,1149,659,4865.0000,4803.8000,,87.0000,88.6000,,-7660,-68,20990,20861,,1606,1573,,0,3,,22596,22437,,0.000,
2012/04/25,39.80,40.85,39.70,40.55,1.05,2.6582,40.5100,,,,,449,707,4789.0000,4802.6000,,98.0000,90.2000,,-7080,580,21032,20916,,1606,1590,,0,3,,22638,22509,,0.000,
2012/04/26,41.00,41.05,40.00,40.00,-0.55,-1.3564,40.1300,,,,,332,651,4739.0000,4783.6000,,92.0000,91.0000,,-7348,-268,21026,20958,,1606,1606,,15,6,,22647,22569,,0.000,
2012/04/27,40.80,40.85,39.70,39.70,-0.30,-0.75,39.8700,,,,,293,596,4719.0000,4773.0000,,93.0000,91.8000,,-7734,-386,20996,20990,,1606,1606,,0,3,,22602,22599,,0.000,
2012/04/30,39.70,40.50,39.70,40.05,0.35,0.8816,39.9600,,,,,144,473,4742.0000,4770.8000,,100.0000,94.0000,,-7621,113,20957,21000,,1606,1606,,0,3,,22563,22610,,0.000,
2012/05/02,39.05,41.95,39.05,41.90,1.85,4.6192,40.4400,40.7400,,,,972,438,4768.0000,4751.4000,4777.6000,43.0000,85.2000,86.9000,-6834,787,21077,21018,20939,1643,1614,1594,0,3,3,22720,22634,22536,0.000,
