日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2011/10/05,36.40,36.85,36.40,36.85,0.00,0.00,,,,,,46.0000,,1825.0000,,,0.0000,,,-7155,-7155,2238,,,679,,,0,,,2918,,,0.000,
2011/10/06,36.85,37.45,36.30,36.60,-0.25,-0.6784,,,,,,92.0000,,1822.0000,,,0.0000,,,-6636,519,2242,,,679,,,0,,,2922,,,0.000,
2011/10/07,37.00,37.50,37.00,37.40,0.80,2.1858,,,,,,32.0000,,1810.0000,,,0.0000,,,-6269,367,2245,,,680,,,0,,,2926,,,0.000,
2011/10/11,37.80,38.50,37.65,37.65,0.25,0.6684,,,,,,63.0000,,1807.0000,,,0.0000,,,-5580,689,2257,,,680,,,0,,,2938,,,0.000,
2011/10/12,37.80,38.10,37.65,37.75,0.10,0.2656,37.2500,,,,,61.0000,58.8000,1811.0000,1815.0000,,0.0000,0.0000,,-5608,-28,2265,2250,,680,680,,0,0,,2946,2930,,0.000,
2011/10/13,37.80,38.20,37.40,38.00,0.25,0.6623,37.4800,,,,,79.0000,65.4000,1814.0000,1812.8000,,0.0000,0.0000,,-5281,327,2264,2255,,680,680,,0,0,,2945,2936,,0.000,
2011/10/14,37.90,37.90,37.25,37.50,-0.50,-1.3158,37.6600,,,,,102.0000,67.4000,1815.0000,1811.4000,,0.0000,0.0000,,-5542,-261,2263,2259,,697,684,,0,0,,2961,2944,,0.000,
2011/10/17,37.95,37.95,37.60,37.80,0.30,0.80,37.7400,,,,,48.0000,70.6000,1813.0000,1812.0000,,0.0000,0.0000,,-5072,470,2263,2263,,697,687,,0,0,,2961,2951,,0.000,
2011/10/18,37.40,37.55,37.30,37.55,-0.25,-0.6614,37.7200,,,,,15.0000,61.0000,1818.0000,1814.2000,,0.0000,0.0000,,-5577,-505,2265,2265,,697,691,,0,0,,2963,2956,,0.000,
2011/10/19,37.55,37.70,37.40,37.70,0.15,0.3995,37.7100,37.4800,,,,45.0000,57.8000,1813.0000,1814.6000,1814.8000,0.0000,0.0000,0.0000,-5640,-63,2270,2266,2258,697,694,687,0,0,0,2968,2960,2945,0.000,
2011/10/20,37.60,37.90,37.30,37.60,-0.10,-0.2653,37.6300,37.5550,,,,34.0000,48.8000,1809.0000,1813.6000,1813.2000,0.0000,0.0000,0.0000,-6153,-513,2270,2267,2261,697,698,689,0,0,0,2968,2965,2950,0.000,
2011/10/21,37.30,37.50,37.30,37.50,-0.10,-0.266,37.6300,37.6450,,,,12.0000,30.8000,1808.0000,1812.2000,1811.8000,0.0000,0.0000,0.0000,-6129,24,2268,2268,2264,697,698,691,0,0,0,2966,2966,2955,0.000,
2011/10/24,37.80,38.45,37.70,38.15,0.65,1.7333,37.7000,37.7200,,,,100.0000,41.2000,1792.0000,1808.0000,1810.0000,0.0000,0.0000,0.0000,-5433,696,2305,2276,2270,698,698,693,2,0,0,3006,2975,2963,0.000,
2011/10/25,38.20,38.50,38.00,38.10,-0.05,-0.1311,37.8100,37.7650,,,,61.0000,50.4000,1790.0000,1802.4000,1808.3000,0.0000,0.0000,0.0000,-5397,36,2299,2283,2274,698,698,694,0,0,0,2998,2982,2969,0.000,
2011/10/26,37.20,38.10,37.20,38.10,0.00,0.00,37.8900,37.8000,,,,26.0000,46.6000,1795.0000,1798.8000,1806.7000,0.0000,0.0000,0.0000,-5258,139,2303,2290,2278,698,698,696,0,0,0,3002,2988,2974,0.000,
2011/10/27,38.10,38.30,37.80,38.25,0.15,0.3937,38.0200,37.8250,,,,101.0000,60.0000,1797.0000,1796.4000,1805.0000,0.0000,0.0000,0.0000,-4903,355,2299,2295,2281,699,699,698,0,0,0,2999,2995,2980,0.000,
2011/10/28,38.40,38.90,38.05,38.30,0.05,0.1307,38.1800,37.9050,,,,125.0000,82.6000,1802.0000,1795.2000,1803.7000,0.0000,0.0000,0.0000,-4927,-24,2319,2306,2287,700,699,698,6,2,1,3026,3007,2986,0.000,
2011/10/31,38.30,38.30,37.60,37.60,-0.70,-1.8277,38.0700,37.8850,,,,63.0000,75.2000,1795.0000,1795.8000,1801.9000,0.0000,0.0000,0.0000,-5172,-245,2320,2309,2292,699,699,699,0,1,1,3020,3009,2992,0.000,
2011/11/01,37.60,37.80,37.25,37.35,-0.25,-0.6649,37.9200,37.8650,,,,127.0000,88.4000,1795.0000,1796.8000,1799.6000,0.0000,0.0000,0.0000,-4973,199,2351,2319,2301,698,699,699,7,3,2,3057,3021,3001,0.000,
2011/11/02,37.30,37.30,37.00,37.10,-0.25,-0.6693,37.7200,37.8050,37.6425,,,102.0000,103.6000,1775.0000,1792.8000,1795.8000,0.0000,0.0000,0.0000,-5204,-231,2347,2328,2309,698,699,699,0,3,2,3046,3030,3009,0.000,
2011/11/03,37.50,37.60,37.10,37.10,0.00,0.00,37.4900,37.7550,37.6550,,,67.0000,96.8000,1772.0000,1787.8000,1792.1000,0.0000,0.0000,0.0000,-5742,-538,2347,2337,2316,699,699,699,0,3,2,3047,3040,3017,0.000,
2011/11/04,37.50,37.50,37.25,37.25,0.15,0.4043,37.2800,37.7300,37.6875,,,82.0000,88.2000,1759.0000,1779.2000,1787.2000,0.0000,0.0000,0.0000,-5017,725,2377,2349,2327,674,694,697,11,4,3,3063,3047,3027,0.000,
2011/11/07,37.30,37.45,37.00,37.05,-0.20,-0.5369,37.1700,37.6200,37.6700,,,103.0000,96.2000,1716.0000,1763.4000,1779.6000,0.0000,0.0000,0.0000,-4940,77,2376,2360,2334,649,684,692,0,4,2,3026,3048,3029,0.000,
2011/11/08,36.70,37.20,36.70,37.10,0.05,0.135,37.1200,37.5200,37.6425,,,126.0000,96.0000,1719.0000,1748.2000,1772.5000,0.0000,0.0000,0.0000,-5069,-129,2390,2368,2344,624,669,684,0,2,2,3015,3040,3030,0.000,
2011/11/09,37.00,37.05,37.00,37.00,-0.10,-0.2695,37.1000,37.4100,37.6050,,,65.0000,88.6000,1699.0000,1733.0000,1762.9000,0.0000,0.0000,0.0000,-5322,-253,2396,2378,2353,624,655,677,0,2,2,3021,3035,3032,0.000,
2011/11/10,36.90,36.90,36.10,36.65,-0.35,-0.9459,37.0100,37.2500,37.5375,,,161.0000,107.4000,1685.0000,1715.6000,1751.7000,0.0000,0.0000,0.0000,-6129,-807,2400,2388,2363,595,634,667,0,2,2,2996,3025,3032,0.000,
2011/11/11,36.65,36.80,36.30,36.45,-0.20,-0.5457,36.8500,37.0650,37.4850,,,161.0000,123.2000,1664.0000,1696.6000,1737.9000,2.0000,0.4000,0.2000,-5912,217,2397,2392,2371,559,611,653,0,0,2,2957,3003,3025,0.000,
2011/11/14,36.60,36.95,36.50,36.85,0.40,1.0974,36.8100,36.9900,37.4375,,,76.0000,117.8000,1673.0000,1688.0000,1725.7000,2.0000,0.8000,0.4000,-5250,662,2399,2397,2379,525,586,635,0,0,2,2925,2983,3016,0.000,
2011/11/15,36.70,36.80,35.70,35.80,-1.05,-2.8494,36.5500,36.8350,37.3500,,,139.0000,120.4000,1660.0000,1676.2000,1712.2000,2.0000,1.2000,0.6000,-5649,-399,2399,2399,2383,490,559,614,0,0,1,2890,2958,2999,0.000,
2011/11/16,35.90,36.00,35.50,35.55,-0.25,-0.6983,36.2600,36.6800,37.2425,,,93.0000,126.0000,1656.0000,1667.6000,1700.3000,2.0000,1.6000,0.8000,-6218,-569,2395,2399,2388,490,532,593,0,0,1,2886,2931,2983,0.000,
2011/11/17,35.55,35.55,35.05,35.40,-0.15,-0.4219,36.0100,36.5100,37.1325,,,91.0000,112.0000,1657.0000,1662.0000,1688.8000,2.0000,2.0000,1.0000,-6274,-56,2392,2397,2393,457,505,569,10,2,2,2860,2904,2964,0.000,
2011/11/18,35.30,35.30,34.80,35.05,-0.35,-0.9887,35.7300,36.2900,37.0100,,,86.0000,97.0000,1655.0000,1660.2000,1678.4000,2.0000,2.0000,1.2000,-6877,-603,2392,2396,2394,458,484,548,9,4,2,2860,2884,2944,0.000,
2011/11/21,34.50,34.50,33.80,33.90,-1.15,-3.281,35.1400,35.9750,36.7975,,,187.0000,119.2000,1648.0000,1655.2000,1671.6000,2.0000,2.0000,1.4000,-7777,-900,2410,2398,2398,424,464,525,0,4,2,2835,2866,2925,0.000,
2011/11/22,32.70,33.90,32.70,33.25,-0.65,-1.9174,34.6300,35.5900,36.5550,,,155.0000,122.4000,1641.0000,1651.4000,1663.8000,2.0000,2.0000,1.6000,-8356,-579,2415,2401,2400,384,443,501,0,4,2,2799,2848,2903,0.000,
2011/11/23,33.25,33.40,32.60,32.90,-0.35,-1.0526,34.1000,35.1800,36.2950,,,106.0000,125.0000,1577.0000,1635.6000,1651.6000,2.0000,2.0000,1.8000,-9154,-798,2415,2405,2402,346,414,473,0,4,2,2761,2823,2877,0.000,
