日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2012/1/30,19.55,19.7,19.3,19.3,0,0,,,,,,50705,,83382,,,2026,,,-8015,-8015,2572364,,,243334,,,93805,,,2909504,,,0
2012/1/31,19.45,20.45,19.4,20.3,1,5.1813,,,,,,82402,,83072,,,2190,,,-7379,636,2561110,,,245279,,,95161,,,2901551,,,0
2012/2/1,20.4,21.5,20.2,20.95,0.65,3.202,,,,,,96738,,74953,,,2982,,,-6702,677,2572168,,,255199,,,93975,,,2921343,,,0
2012/2/2,21.45,21.65,21.05,21.35,0.4,1.9093,,,,,,47498,,72468,,,3079,,,-6077,625,2583202,,,260687,,,92425,,,2936315,,,0
2012/2/3,21.5,21.65,21,21.6,0.25,1.171,20.7,,,,,50196,65507,73167,77408.4,,3424,2740.2,,-5887,190,2584936,2574756,,263692,253639,,93860,93846,,2942489,2922241,,0
2012/2/4,21.9,22.7,21.8,22.15,0.55,2.5463,21.27,,,,,75039,70374,78776,76487.2,,3634,3061.8,,-5465,422,2582522,2576788,,265631,258098,,97719,94628,,2945873,2929514,,0
2012/2/6,22.05,22.15,21.45,21.5,-0.65,-2.9345,21.51,,,,,40755,62045,77925,75457.8,,3556,3335,,-5853,-388,2580467,2580659,,276874,264417,,96908,94978,,2954249,2940054,,0
2012/2/7,21.8,22.2,21.65,21.8,0.3,1.3953,21.68,,,,,29175,48532,76867,75840.6,,4438,3626.2,,-5916,-63,2585306,2583287,,277405,268858,,98419,95867,,2961130,2948012,,0
2012/2/8,22.15,22.65,22.1,22.6,0.8,3.6697,21.93,,,,,53158,49664,75619,76470.8,,4240,3858.4,,-5130,786,2596120,2585870,,278528,272426,,100260,97434,,2974908,2955730,,0
2012/2/9,22.55,22.7,22.3,22.7,0.1,0.4425,22.15,21.425,,,,41471,47919,75386,76914.6,77161.5,4378,4049.2,3394.7,-4770,360,2603721,2589627,2582192,281486,275985,264812,100707,98803,96324,2985915,2964416,2943328,0
2012/2/10,22.7,23,22.45,22.95,0.25,1.1013,22.31,21.79,,,,48452,42602,71072,75373.8,75930.5,4627,4247.8,3654.8,-4713,57,2619427,2597008,2586898,285731,280005,269052,101036,99466,97047,3006195,2976480,2952997,0
2012/2/13,23,23.1,22.65,22.85,-0.1,-0.4357,22.58,22.045,,,,24974,39446,70911,73971,74714.4,4882,4513,3924,-4279,434,2627546,2606424,2593542,286431,281917,273167,102559,100597,97787,3016537,2988938,2964496,0
2012/2/14,22.8,22.8,22.15,22.5,-0.35,-1.5317,22.72,22.2,,,,29820,39575,70592,72716,74278.3,4172,4459.8,4043,-4543,-264,2636246,2616612,2599950,285765,283589,276224,100594,101032,98449,3022606,3001233,2974622,0
2012/2/15,22.5,22.75,22.1,22.75,0.25,1.1111,22.75,22.34,,,,41333,37210,70594,71711,74090.9,4119,4435.6,4147,-3889,654,2644948,2626378,2606124,285319,284947,278687,102556,101491,99462,3032824,3012816,2984273,0
2012/2/16,22.5,22.55,21.9,21.95,-0.8,-3.5165,22.6,22.375,,,,32163,35348,70843,70802.4,73858.5,3282,4216.4,4132.8,-4501,-612,2645455,2634725,2612176,285095,285669,280827,100609,101471,100137,3031160,3021865,2993140,0
2012/2/17,22.2,22.45,21.45,21.5,-0.45,-2.0501,22.31,22.31,,,,51597,35977,72376,71063.2,73218.5,2795,3850,4048.9,-4478,23,2640929,2639025,2618017,282681,285059,282532,99697,101203,100335,3023308,3025288,3000884,0
2012/2/20,21.7,21.7,21.4,21.4,-0.1,-0.4651,22.02,22.3,,,,34579,37898,74628,71806.6,72888.8,2426,3358.8,3935.9,-3983,495,2623705,2638257,2622341,281866,284146,283031,99809,100653,100625,3005381,3023056,3005997,0
2012/2/21,21.3,21.35,20.95,21.25,-0.15,-0.7009,21.77,22.245,,,,28153,37565,74848,72657.8,72686.9,2217,2967.8,3713.8,-4187,-204,2622171,2635442,2626027,281351,283263,283426,98040,100143,100587,3001563,3018848,3010040,0
2012/2/22,21.2,22.05,21.1,22,0.75,3.5294,21.62,22.185,,,,38229,36944,72042,72947.4,72329.2,2449,2633.8,3534.7,-3709,478,2633783,2633209,2629793,281451,282489,283718,98460,99323,100407,3013695,3015022,3013919,0
2012/2/23,21.95,22,21.5,21.5,-0.5,-2.2727,21.53,22.065,21.745,,,33863,37284,73527,73484.2,72143.3,2284,2434.2,3325.3,-3953,-244,2639816,2632081,2633403,273047,280080,282874,96953,98592,100032,3009816,3010753,3016309,0
2012/2/24,21.95,21.95,21.5,21.9,0.4,1.8605,21.61,21.96,21.875,,,23447,31654,71584,73325.8,72194.5,2468,2368.8,3109.4,-4156,-203,2648581,2633612,2636318,271002,277744,281401,95106,97674,99439,3014689,3009029,3017159,0
2012/2/29,22,22.9,22,22.9,1,4.5662,21.91,21.965,22.005,,,74367,39611,68239,72048,71927.3,3246,2532.8,2945.8,-3809,347,2680103,2644891,2641574,273347,276040,280093,93296,96371,98512,3046747,3017303,3020179,0
2012/3/1,22.5,22.7,22.1,22.55,-0.35,-1.5284,22.17,21.97,22.085,,,37532,41487,68670,70812.4,71735.1,3071,2703.6,2835.7,-3570,239,2681904,2656838,2646140,271935,274157,278710,91480,95059,97601,3045320,3026054,3022451,0
2012/3/2,22.6,22.7,21.8,21.85,-0.7,-3.1042,22.14,21.88,22.11,,,40449,41931,74620,71328,72137.7,2535,2720.8,2677.3,-3257,313,2683732,2666828,2650018,270706,272008,277249,91619,93691,96507,3046057,3032527,3023774,0
2012/3/3,21.6,21.7,21.45,21.6,-0.25,-1.1442,22.16,21.845,22.11,,,22168,39592,75856,71793.8,72639,2383,2740.6,2587.4,-3232,25,2683800,2675624,2653853,268721,271143,275611,91243,92549,95571,3043764,3039316,3025035,0
2012/3/5,21.4,21.45,21.05,21.15,-0.45,-2.0833,22.01,21.81,22.06,,,38882,42679,79461,73369.2,73347.5,1916,2630.2,2499.5,-3774,-542,2678731,2681654,2657633,259817,268906,273325,89895,91507,94591,3028443,3042067,3025548,0
2012/3/6,21,21.15,20.5,20.8,-0.35,-1.6548,21.59,21.75,22.025,,,48316,37469,81197,75960.8,74004.4,1483,2277.6,2405.2,-4381,-607,2668258,2679285,2662088,242370,262710,269375,91251,91098,93735,3001880,3033093,3025198,0
2012/3/7,20.4,20.65,20.3,20.35,-0.45,-2.1635,21.15,21.66,21.9525,,,25437,35050,81381,78503,74657.7,1330,1929.4,2316.5,-4522,-141,2661960,2675296,2666067,239100,256143,265150,90615,90925,92992,2991676,3022365,3024209,0
2012/3/8,20.8,21.4,20.5,21.15,0.8,3.9312,21.01,21.575,21.88,,,46783,36317,82486,80076.2,75702.1,1470,1716.4,2218.6,-4041,481,2656545,2669859,2668343,236961,249394,260701,93715,91344,92518,2987222,3010597,3021562,0
2012/3/9,21,21.3,20.7,21.25,0.1,0.4728,20.94,21.55,21.8075,,,30579,37999,79284,80761.8,76277.8,1527,1545.2,2142.9,-3662,379,2655380,2664175,2669900,234542,242558,256850,91627,91421,91985,2981550,2998154,3018735,0
2012/3/12,21.3,21.3,20.9,21.05,-0.2,-0.9412,20.92,21.465,21.7125,,,13183,32859,78757,80621,76995.1,1079,1377.8,2004,-4055,-393,2657260,2659881,2670768,234152,237425,253165,91048,91652,91579,2982461,2988958,3015512,0
2012/3/13,21.25,21.75,21.25,21.65,0.6,2.8504,21.09,21.34,21.6525,,,36616,30519,77727,79927,77943.9,1823,1445.8,1861.7,-3811,244,2672505,2660730,2670008,234724,235896,249303,91044,91610,91354,2998274,2988237,3010665,0
