日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2011/10/27,33.8,34.1,33.3,33.3,0,0,,,,,,1037,,27234,,,183,,,-4903,-4903,7388,,,51,,,0,,,7439,,,0
2011/10/28,33.8,33.8,32.8,32.8,-0.5,-1.5015,,,,,,1612,,27290,,,222,,,-4927,-24,7346,,,51,,,0,,,7397,,,0
2011/10/31,32.8,32.85,31.1,31.1,-1.7,-5.1829,,,,,,1716,,26985,,,175,,,-5172,-245,7424,,,51,,,0,,,7475,,,0
2011/11/1,31.1,31.75,30.8,31.3,0.2,0.6431,,,,,,1075,,27084,,,226,,,-4973,199,7573,,,51,,,0,,,7624,,,0
2011/11/2,31,31.95,30.8,31.8,0.5,1.5974,32.06,,,,,1070,1302,27329,27184.4,,305,222.2,,-5204,-231,7549,7456,,51,51,,0,0,,7600,7507,,0
2011/11/3,31.65,31.85,30.85,30.9,-0.9,-2.8302,31.58,,,,,1019,1298,27257,27189,,293,244.2,,-5742,-538,7621,7503,,51,51,,0,0,,7672,7554,,0
2011/11/4,31.4,31.7,31.3,31.35,0.45,1.4563,31.29,,,,,784,1132,27284,27187.8,,311,262,,-5017,725,7714,7576,,51,51,,100,20,,7865,7648,,0
2011/11/7,31.4,31.7,31.2,31.7,0.35,1.1164,31.41,,,,,612,912,27368,27264.4,,330,293,,-4940,77,7747,7641,,51,51,,0,20,,7798,7712,,0
2011/11/8,31.7,32.75,31.7,32.05,0.35,1.1041,31.56,,,,,1302,957,27466,27340.8,,362,320.2,,-5069,-129,7772,7681,,51,51,,0,20,,7823,7752,,0
2011/11/9,32.4,32.45,31.85,31.85,-0.2,-0.624,31.57,31.815,,,,732,889,27296,27334.2,27259.3,360,331.2,276.7,-5322,-253,7786,7728,7592,51,51,51,0,20,10,7837,7799,7653,0
2011/11/10,31,31.4,29.65,29.85,-2,-6.2794,31.36,31.47,,,,1600,1006,26770,27236.8,27212.9,334,339.4,291.8,-6129,-807,7745,7753,7628,51,51,51,85,37,19,7881,7841,7698,0
2011/11/11,29.5,29.85,28.1,28.6,-1.25,-4.1876,30.81,31.05,,,,1938,1236,26532,27086.4,27137.1,313,339.8,300.9,-5912,217,7745,7759,7668,51,51,51,69,31,26,7865,7841,7745,0
2011/11/14,29.15,29.6,29,29.6,1,3.4965,30.39,30.9,,,,839,1282,26567,26926.2,27095.3,324,338.6,315.8,-5250,662,7842,7778,7710,50,51,51,0,31,26,7892,7860,7786,0
2011/11/15,29.75,30.3,29.3,29.3,-0.3,-1.0135,29.84,30.7,,,,1210,1263,26630,26759,27049.9,317,329.6,324.9,-5649,-399,7862,7796,7739,0,41,46,0,31,26,7862,7868,7810,0
2011/11/16,29.7,30.4,29.7,29.7,0.4,1.3652,29.41,30.49,,,,1585,1434,26708,26641.4,26987.8,372,332,331.6,-6218,-569,7845,7808,7768,0,31,41,0,31,26,7845,7870,7835,0
2011/11/17,29.6,29.95,29.4,29.5,-0.2,-0.6734,29.34,30.35,,,,788,1272,26723,26632,26934.4,381,341.4,340.4,-6274,-56,7858,7831,7792,0,20,36,0,14,26,7858,7865,7853,0
2011/11/18,29,29.65,28.8,28.8,-0.7,-2.3729,29.38,30.095,,,,629,1010,26666,26658.8,26872.6,356,350,344.9,-6877,-603,7946,7871,7815,0,10,31,67,14,22,8013,7895,7868,0
2011/11/21,28.65,29,26.8,26.8,-2,-6.9444,28.82,29.605,,,,1737,1189,26083,26562,26744.1,354,356,347.3,-7777,-900,7919,7886,7832,0,0,26,0,14,22,7919,7900,7880,0
2011/11/22,25.1,26.3,24.95,24.95,-1.85,-6.903,27.95,28.895,,,,2782,1504,24895,26215,26487,293,351.2,340.4,-8356,-579,8101,7934,7865,0,0,20,68,27,29,8169,7961,7915,0
2011/11/23,23.8,24.95,23.25,23.25,-1.7,-6.8136,26.66,28.035,29.925,,,2130,1613,24252,25723.8,26182.6,284,333.6,332.8,-9154,-798,8278,8021,7914,0,0,15,67,41,36,8345,8061,7966,0
2011/11/24,22.25,23.5,22,23.35,0.1,0.4301,25.43,27.385,29.4275,,,2014,1858,23857,25150.6,25891.3,311,319.6,330.5,-8870,284,8549,8159,7995,0,0,10,0,41,27,8549,8200,8032,0
2011/11/25,23.8,24.1,22.7,22.7,-0.65,-2.7837,24.21,26.795,28.9225,,,965,1925,23673,24552,25605.4,312,310.8,330.4,-9191,-321,8546,8279,8075,0,0,5,0,27,20,8546,8306,8100,0
2011/11/28,23.1,23.9,23.1,23.5,0.8,3.5242,23.55,26.185,28.5425,,,787,1735,23508,24037,25299.5,312,302.4,329.2,-8609,582,8674,8430,8158,0,0,0,0,27,20,8674,8457,8178,0
2011/11/29,24,24.2,23.6,24.05,0.55,2.3404,23.37,25.66,28.18,,,1031,1385,23412,23740.4,24977.7,313,306.4,328.8,-7969,640,8711,8552,8243,0,0,0,66,27,27,8777,8579,8270,0
2011/11/30,24.05,24.05,23.2,23.2,-0.85,-3.5343,23.36,25.01,27.75,,,644,1088,23357,23561.4,24642.6,301,309.8,321.7,-8583,-614,8704,8637,8329,0,0,0,0,13,27,8704,8650,8356,0
2011/12/1,24.15,24.65,24,24.5,1.3,5.6034,23.59,24.51,27.43,,,1111,907,23374,23464.8,24307.7,311,309.8,314.7,-7707,876,8790,8685,8422,0,0,0,0,13,27,8790,8699,8449,0
2011/12/2,24.3,24.45,24.05,24.15,-0.35,-1.4286,23.88,24.045,27.07,,,574,829,23375,23405.2,23978.6,303,308,309.4,-7968,-261,8795,8735,8507,0,0,0,0,13,20,8795,8748,8527,0
2011/12/5,24.15,24.15,23.65,24,-0.15,-0.6211,23.98,23.765,26.685,,,842,840,23169,23337.4,23687.2,297,305,303.7,-8227,-259,8853,8771,8600,0,0,0,0,13,20,8853,8784,8621,0
2011/12/6,23.8,23.95,23.05,23.05,-0.95,-3.9583,23.78,23.575,26.235,,,728,779,23020,23259,23499.7,289,300.2,303.3,-8889,-662,8796,8788,8670,0,0,0,0,0,13,8796,8788,8683,0
2011/12/7,23.15,23.55,22.7,22.95,-0.1,-0.4338,23.73,23.545,25.79,,,1119,874,22993,23186.2,23373.8,292,298.4,304.1,-8700,189,8865,8820,8729,0,0,0,0,0,7,8865,8820,8735,0
2011/12/8,22.7,23.15,22.5,22.75,-0.2,-0.8715,23.38,23.485,25.435,,,928,838,22899,23091.2,23278,273,290.8,300.3,-9162,-462,8892,8840,8763,0,0,0,0,0,7,8892,8840,8770,0
