日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2011/10/12,20.15,20.15,19.50,20.15,0.00,0.00,,,,,,80.0000,,5301.0000,,,20.0000,,,-8128,-8128,283,,,0,,,0,,,283,,,0.000,
2011/10/13,20.15,20.15,19.65,19.90,-0.25,-1.2407,,,,,,132.0000,,5333.0000,,,20.0000,,,-7928,200,283,,,0,,,0,,,283,,,0.000,
2011/10/14,19.90,20.05,19.80,19.90,0.00,0.00,,,,,,36.0000,,5326.0000,,,20.0000,,,-7967,-39,283,,,0,,,0,,,283,,,0.000,
2011/10/17,20.10,20.65,20.00,20.35,0.45,2.2613,,,,,,170.0000,,5365.0000,,,20.0000,,,-7733,234,286,,,96,,,0,,,382,,,0.000,
2011/10/18,20.05,20.05,19.70,19.85,-0.50,-2.457,20.0300,,,,,125.0000,108.6000,5384.0000,5341.8000,,20.0000,20.0000,,-8014,-281,286,285,,96,38,,0,0,,382,323,,0.000,
2011/10/19,20.10,20.30,19.95,20.10,0.25,1.2594,20.0200,,,,,90.0000,110.6000,5386.0000,5358.8000,,20.0000,20.0000,,-8002,12,286,285,,0,38,,0,0,,286,324,,0.000,
2011/10/20,20.25,20.30,19.95,20.00,-0.10,-0.4975,20.0400,,,,,58.0000,95.8000,5350.0000,5362.2000,,20.0000,20.0000,,-8248,-246,286,286,,0,38,,0,0,,286,324,,0.000,
2011/10/21,20.00,20.00,19.80,19.80,-0.20,-1.00,20.0200,,,,,29.0000,94.4000,5347.0000,5366.4000,,20.0000,20.0000,,-8282,-34,286,287,,0,38,,0,0,,286,325,,0.000,
2011/10/24,20.50,20.50,19.90,20.20,0.40,2.0202,19.9900,,,,,116.0000,83.6000,5354.0000,5364.2000,,20.0000,20.0000,,-7950,332,286,287,,121,43,,0,0,,407,330,,0.000,
2011/10/25,20.00,20.20,19.95,20.00,-0.20,-0.9901,20.0200,20.0250,,,,62.0000,71.0000,5376.0000,5362.6000,5352.2000,20.0000,20.0000,20.0000,-7972,-22,286,287,286,121,48,43,0,0,0,407,335,329,0.000,
2011/10/26,18.65,20.00,18.65,19.80,-0.20,-1.00,19.9600,19.9900,,,,183.0000,89.6000,5426.0000,5370.6000,5364.7000,20.0000,20.0000,20.0000,-7935,37,273,284,285,121,73,56,0,0,0,394,357,340,0.000,
2011/10/27,19.80,20.00,19.65,19.95,0.15,0.7576,19.9500,19.9950,,,,39.0000,85.8000,5437.0000,5388.0000,5375.1000,20.0000,20.0000,20.0000,-7813,122,273,281,284,121,97,68,0,0,0,394,378,351,0.000,
2011/10/28,20.10,20.35,19.70,19.70,-0.25,-1.2531,19.9300,19.9750,,,,140.0000,108.0000,5432.0000,5405.0000,5385.7000,20.0000,20.0000,20.0000,-7936,-123,273,279,283,0,97,68,0,0,0,273,376,350,0.000,
2011/10/31,19.80,20.00,19.80,19.85,0.15,0.7614,19.8600,19.9250,,,,38.0000,92.4000,5442.0000,5422.6000,5393.4000,20.0000,20.0000,20.0000,-8041,-105,273,276,281,0,73,58,0,0,0,273,349,339,0.000,
2011/11/01,19.60,20.50,19.60,20.50,0.65,3.2746,19.9600,19.9900,,,,186.0000,117.2000,5442.0000,5435.8000,5399.2000,20.0000,20.0000,20.0000,-8016,25,273,273,280,151,79,64,0,0,0,424,352,344,0.000,
2011/11/02,20.20,20.45,19.95,20.10,-0.40,-1.9512,20.0200,19.9900,,,,95.0000,99.6000,5461.0000,5442.8000,5406.7000,20.0000,20.0000,20.0000,-8127,-111,273,273,279,151,85,79,0,0,0,424,358,357,0.000,
2011/11/03,20.10,20.30,20.10,20.10,0.00,0.00,20.0500,20.0000,,,,22.0000,96.2000,5457.0000,5446.8000,5417.4000,20.0000,20.0000,20.0000,-8349,-222,273,273,277,0,60,79,0,0,0,273,334,356,0.000,
2011/11/04,20.30,21.15,20.15,21.15,1.05,5.2239,20.3400,20.1350,,,,284.0000,125.0000,5545.0000,5469.4000,5437.2000,1.0000,16.2000,18.1000,-7935,414,273,273,276,0,60,79,0,0,0,273,334,355,0.000,
2011/11/07,21.10,21.20,20.90,21.20,0.05,0.2364,20.6100,20.2350,,,,134.0000,144.2000,5558.0000,5492.6000,5457.6000,1.0000,12.4000,16.2000,-7809,126,323,283,280,0,60,67,0,0,0,323,344,346,0.000,
2011/11/08,21.20,22.65,21.10,22.65,1.45,6.8396,21.0400,20.5000,20.2625,,,647.0000,236.4000,5861.0000,5576.4000,5506.1000,4.0000,9.2000,14.6000,-7808,1,323,293,283,0,30,54,0,0,0,323,324,338,0.000,
2011/11/09,23.40,23.40,22.35,22.65,0.00,0.00,21.5500,20.7850,20.3875,,,757.0000,368.8000,6060.0000,5696.2000,5569.5000,11.0000,7.4000,13.7000,-7949,-141,314,302,287,151,30,57,0,0,0,465,332,345,0.000,
2011/11/10,22.00,22.00,21.30,21.30,-1.35,-5.9603,21.7900,20.9200,20.4575,,,282.0000,420.8000,6051.0000,5815.0000,5630.9000,3.0000,4.0000,12.0000,-8443,-494,314,310,292,151,60,60,0,0,0,465,370,352,0.000,
2011/11/11,21.00,22.65,21.00,22.15,0.85,3.9906,21.9900,21.1650,20.5700,,,288.0000,421.6000,6111.0000,5928.2000,5698.8000,3.0000,4.4000,10.3000,-8388,55,314,318,296,0,60,60,0,0,0,314,378,356,0.000,
2011/11/14,22.30,23.30,22.30,22.85,0.70,3.1603,22.3200,21.4650,20.6950,,,660.0000,526.8000,6397.0000,6096.0000,5794.3000,15.0000,7.2000,9.8000,-8061,327,295,312,298,151,91,76,0,0,0,446,403,373,0.000,
2011/11/15,23.20,23.20,22.60,22.65,-0.20,-0.8753,22.3200,21.6800,20.8350,,,161.0000,429.6000,6451.0000,6214.0000,5895.2000,16.0000,9.6000,9.4000,-8270,-209,295,307,300,151,121,76,0,0,0,446,428,376,0.000,
