日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2011/12/2,93.5,95.7,93,93.6,0,0,,,,,,8845,,14635,,,10327,,,-7968,-7968,244195,,,53847,,,1247,,,299290,,,0
2011/12/5,95,95.9,93.1,93.3,-0.3,-0.3205,,,,,,8024,,14865,,,10390,,,-8227,-259,244531,,,53787,,,1205,,,299524,,,0
2011/12/6,91,91,86.8,86.8,-6.5,-6.9668,,,,,,10601,,15667,,,10162,,,-8889,-662,243205,,,49956,,,1099,,,294261,,,0
2011/12/7,85.1,85.9,80.8,81.5,-5.3,-6.106,,,,,,24828,,16960,,,8548,,,-8700,189,243504,,,43779,,,1197,,,288480,,,0
2011/12/8,80,80.1,75.8,75.8,-5.7,-6.9939,86.2,,,,,19269,14313,19250,16275.4,,7302,9345.8,,-9162,-462,238538,242795,,42052,48685,,1509,1251,,282099,292731,,0
2011/12/9,73.2,76.4,71.1,75.8,0,0,82.64,,,,,19808,16506,19011,17150.6,,8172,8914.8,,-9527,-365,237524,241461,,41795,46274,,1629,1328,,280948,289063,,0
2011/12/12,78,78,73.9,76.1,0.3,0.3958,79.2,,,,,13040,17509,18417,17861,,9468,8730.4,,-9383,144,235832,239721,,42661,44049,,1234,1334,,279728,285104,,0
2011/12/13,75.9,76.7,74.3,76.1,0,0,77.06,,,,,7113,16811,18289,18385.4,,9716,8641.2,,-9770,-387,235076,238095,,43154,42689,,1346,1383,,279577,282167,,0
2011/12/14,76.9,81.4,76.5,81.4,5.3,6.9645,77.04,,,,,18531,15552,16976,18388.6,,11343,9200.2,,-9421,349,238388,237072,,44285,42790,,1456,1435,,284130,281297,,0
2011/12/15,81.5,83.8,81.4,82,0.6,0.7371,78.28,82.24,,,,15969,14892,14965,17531.6,16903.5,12021,10144,9744.9,-10049,-628,242190,237803,240299,44900,43359,46022,1470,1427,1339,288561,282589,287660,0
2011/12/16,83.2,83.7,80.1,80.1,-1.9,-2.3171,79.14,80.89,,,,8359,12602,15565,16842.4,16996.5,11624,10834.4,9874.6,-10086,-37,241081,238514,239987,45286,44058,45166,1374,1376,1352,287741,283948,286505,0
2011/12/19,79.1,80.6,77.1,79,-1.1,-1.3733,79.72,79.46,,,,8006,11595,14777,16114.4,16987.7,11792,11299.2,10014.8,-10919,-833,242490,239845,239783,45847,44695,44372,1385,1406,1370,289722,285947,285525,0
2011/12/20,80.8,82.7,80.1,81.2,2.2,2.7848,80.74,78.9,,,,6474,11467,14317,15320,16852.7,11797,11715.4,10178.3,-10724,195,243377,241506,239800,46865,45437,44063,1445,1426,1405,291688,288369,285268,0
2011/12/21,86.8,86.8,85.2,86.8,5.6,6.8966,81.82,79.43,,,,8777,9517,13319,14588.6,16488.6,11288,11704.4,10452.3,-9697,1027,243897,242607,239840,47958,46172,44481,1576,1450,1442,293431,290229,285763,0
2011/12/22,87.5,88.3,85.1,85.1,-1.7,-1.9585,82.44,80.36,,,,5828,7488,13528,14301.2,15916.4,11055,11511.2,10827.6,-9941,-244,243813,242932,240367,48194,46830,45095,1503,1457,1442,293510,291219,286904,0
2011/12/23,87,88.5,86.2,86.9,1.8,2.1152,83.8,81.47,,,,6153,7047,13305,13849.2,15345.8,10586,11303.6,11069,-9138,803,244193,243554,241034,48373,47448,45753,1562,1494,1435,294129,292496,288222,0
2011/12/26,88,88.5,86.9,87.1,0.2,0.2301,85.42,82.57,,,,4032,6252,13185,13530.8,14822.6,10247,10994.6,11146.9,-9267,-129,244063,243869,241857,49155,48109,46402,1552,1528,1467,294771,293506,289726,0
2011/12/27,88,89.5,87.4,87.4,0.3,0.3444,86.66,83.7,,,,5244,6006,13530,13373.4,14346.7,10418,10718.8,11217.1,-9463,-196,244266,244047,242776,49864,48709,47073,1490,1537,1481,295621,294293,291331,0
2011/12/28,87.5,88.1,85.7,85.8,-1.6,-1.8307,86.46,84.14,,,,3561,4963,13055,13320.6,13954.6,10511,10563.4,11133.9,-9518,-55,244582,244184,243396,50080,49134,47653,1322,1486,1468,295985,294804,292516,0
2011/12/29,86,87.2,85.8,87.2,1.4,1.6317,86.88,84.66,83.45,,,3097,4417,12738,13162.6,13731.9,10432,10438.8,10975,-9460,58,245509,244524,243728,50345,49564,48197,1301,1445,1451,297156,295533,293376,0
2011/12/30,88,88.5,86.5,86.5,-0.7,-0.8028,86.8,85.3,83.095,,,2176,3622,12588,13019.2,13434.2,10398,10401.2,10852.4,-9509,-49,245628,244811,244182,50370,49963,48705,1383,1410,1452,297382,296183,294340,0
2012/1/2,86.2,86.2,82.3,82.3,-4.2,-4.8555,85.84,85.63,82.545,,,4558,3727,12848,12951.8,13241.3,10315,10414.8,10704.7,-10067,-558,245436,245085,244477,51847,50502,49305,1117,1323,1425,298401,296910,295208,0
2012/1/3,83.8,85.4,83.5,85.4,3.1,3.7667,85.44,86.05,82.475,,,2934,3265,12364,12718.6,13046,10335,10398.2,10558.5,-9497,570,245753,245382,244715,51914,50912,49810,1226,1270,1403,298894,297564,295928,0
2012/1/4,86.2,88,86,86,0.6,0.7026,85.48,85.97,82.7,,,4024,3357,11987,12505,12912.8,10388,10373.6,10468.5,-9291,206,245475,245561,244872,52293,51354,50244,1346,1275,1380,299115,298190,296497,0
2012/1/5,87.5,89.3,86.7,89,3,3.4884,85.84,86.36,83.36,,,7120,4162,10992,12155.8,12659.2,10356,10358.4,10398.6,-8986,305,248207,246100,245312,52598,51805,50684,1511,1317,1381,302317,299222,297378,0
2012/1/6,88,92.2,88,89.9,0.9,1.0112,86.52,86.66,84.065,,,6369,5001,10617,11761.6,12390.4,10032,10285.2,10343.2,-9139,-153,247728,246520,245665,53118,52355,51159,1777,1396,1403,302625,300271,298227,0
2012/1/9,86.9,89.5,86.9,89.1,-0.8,-0.8899,87.88,86.86,84.715,,,4759,5041,10385,11269,12110.4,9885,10199.2,10307,-9448,-309,246859,246805,245945,52505,52486,51494,1806,1534,1428,301172,300825,298867,0
2012/1/10,90.3,92.7,89.7,92,2.9,3.2548,89.2,87.32,85.51,,,7037,5861,10124,10821,11769.8,9648,10061.8,10230,-9032,416,248731,247400,246391,52595,52623,51767,2014,1691,1481,303341,301714,299639,0
2012/1/11,92.4,93.1,90.3,91.8,-0.2,-0.2174,90.36,87.92,86.03,,,4801,6017,9634,10350.4,11427.7,9355,9855.2,10114.4,-9013,19,249693,248244,246902,52000,52564,51959,1914,1805,1540,303608,302613,300402,0
2012/1/12,92.1,92.4,91.2,91.9,0.1,0.1089,90.94,88.39,86.525,,,2819,5157,9120,9976,11065.9,8706,9525.2,9941.8,-9379,-366,250064,248616,247358,51947,52434,52119,1922,1887,1602,303934,302937,301079,0
2012/1/13,92.4,94,91.8,92.5,0.6,0.6529,91.46,88.99,87.145,,,4979,4879,8430,9538.6,10650.1,8027,9124.2,9704.7,-9776,-397,250839,249238,247879,52029,52216,52285,1927,1917,1657,304796,303371,301821,0
2012/1/16,93.8,93.9,91.3,91.5,-1,-1.0811,91.94,89.91,87.77,,,4672,4861,8532,9168,10218.5,8006,8748.4,9473.8,-9717,59,249552,249777,248291,52208,52157,52321,1953,1946,1740,303714,303879,302352,0
2012/1/17,92.6,97.9,92.6,97.9,6.4,6.9945,93.12,91.16,88.605,,,10802,5614,8368,8816.8,9818.9,7760,8370.8,9216.3,-8963,754,252499,250530,248965,52024,52043,52333,2628,2069,1880,307152,304642,303178,0
2012/1/18,98.5,104.5,97.9,103,5.1,5.2094,95.36,92.86,89.415,,,9943,6643,7283,8346.6,9348.5,7357,7971.2,8913.2,-8861,102,255632,251718,249981,52160,52075,52319,2640,2214,2010,310434,306007,304310,0
2012/1/30,109,110,107.5,110,7,6.7961,98.98,94.96,90.66,,,9222,7923,7077,7938,8957,7049,7639.8,8582.5,-8015,846,257156,253136,250876,51699,52025,52229,2700,2370,2128,311556,307531,305234,0
2012/1/31,109,115,107,112.5,2.5,2.2727,102.98,97.22,91.94,,,8657,8659,8759,8003.8,8771.2,6790,7392.4,8258.3,-7379,636,257644,254497,251867,49806,51580,51898,2920,2569,2243,310371,308646,306008,0
