日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2011/12/6,37.5,37.5,37.5,37.5,0,0,,,,,,1,,0,,,0,,,-10483,-10483,0,,,0,,,0,,,0,,,0
2011/12/8,35,35,35,35,-2.5,-6.6667,,,,,,1,,0,,,0,,,-10791,-308,0,,,0,,,0,,,0,,,0
2011/12/9,37,37,37,37,2,5.7143,,,,,,1,,0,,,0,,,-10976,-185,0,,,0,,,0,,,0,,,0
2011/12/12,37,37,37,37,0,0,,,,,,1,,0,,,0,,,-10877,99,0,,,0,,,0,,,0,,,0
2011/12/13,35,35,35,35,-2,-5.4054,36.3,,,,,1,1,0,0,,0,0,,-11131,-254,0,0,,0,0,,0,0,,0,0,,0
2011/12/16,37.6,37.6,37.6,37.6,2.6,7.4286,36.32,,,,,3,1,0,0,,0,0,,-11203,-72,0,0,,0,0,,0,0,,0,0,,0
2011/12/19,40,40,40,40,2.4,6.383,37.32,,,,,1,1,0,0,,0,0,,-11744,-541,0,0,,0,0,,0,0,,0,0,,0
2011/12/20,37.2,39.9,37.2,39.9,-0.1,-0.25,37.9,,,,,3,1,0,0,,0,0,,-11626,118,0,0,,0,0,,0,0,,0,0,,0
2011/12/21,39.9,39.9,39.9,39.9,0,0,38.48,,,,,1,1,0,0,,0,0,,-10985,641,0,0,,0,0,,0,0,,0,0,,0
2011/12/22,37.2,38.9,37.2,38.9,-1,-2.5063,39.26,37.78,,,,2,2,0,0,0,0,0,0,-11139,-154,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12/23,36.2,36.2,36.2,36.2,-2.7,-6.9409,38.98,37.65,,,,2,1,0,0,0,0,0,0,-10615,524,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12/26,34.2,36.2,34.2,36.2,0,0,38.22,37.77,,,,2,2,0,0,0,0,0,0,-10573,42,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12/29,38.5,38.5,35.3,35.3,-0.9,-2.4862,37.3,37.6,,,,2,1,0,0,0,0,0,0,-10799,-226,0,0,0,0,0,0,0,0,0,0,0,0,0
2011/12/30,36.95,36.95,35,35,-0.3,-0.8499,36.32,37.4,,,,2,2,0,0,0,0,0,0,-10810,-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/1/3,37.2,37.2,37.2,37.2,2.2,6.2857,35.98,37.62,,,,1,1,0,0,0,0,0,0,-10889,-79,0,0,0,0,0,0,0,0,0,0,0,0,0
