"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","4.86","110","14.34","1.21","111/1",
"1102","亞泥","7.73","110","10.84","0.95","111/1",
"1103","嘉泥","3.61","110","16.51","0.45","111/1",
"1104","環泥","4.73","110","9.93","0.68","111/1",
"1108","幸福","5.38","110","17.15","1.01","111/1",
"1109","信大","7.65","110","10.05","0.83","111/1",
"1110","東泥","0.99","110","75.19","1.33","111/1",
"1201","味全","2.42","110","20.05","1.49","111/1",
"1203","味王","3.35","110","16.99","1.42","111/1",
"1210","大成","4.21","110","23.37","1.95","111/1",
"1213","大飲","0.00","109","-","1.06","111/1",
"1215","卜蜂","5.00","110","16.53","2.55","111/1",
"1216","統一","4.18","110","19.64","2.95","111/1",
"1217","愛之味","2.76","110","29.32","0.79","111/1",
"1218","泰山","3.26","110","26.24","2.25","111/1",
"1219","福壽","4.91","110","24.89","1.56","111/1",
"1220","台榮","5.65","110","21.33","1.31","111/1",
"1225","福懋油","3.19","110","23.97","3.00","111/1",
"1227","佳格","4.04","110","19.28","2.31","111/1",
"1229","聯華","4.21","110","18.63","1.96","111/1",
"1231","聯華食","3.10","110","20.00","3.55","111/1",
"1232","大統益","3.95","110","19.77","4.55","111/1",
"1233","天仁","2.38","110","68.67","2.04","111/1",
"1234","黑松","4.91","110","17.68","0.76","111/1",
"1235","興泰","6.85","110","47.03","1.40","111/1",
"1236","宏亞","1.93","110","8.41","1.10","111/1",
"1256","鮮活果汁-KY","4.85","110","16.37","2.37","111/1",
"1301","台塑","7.85","110","9.12","1.55","111/1",
"1303","南亞","9.14","110","8.28","1.49","111/1",
"1304","台聚","8.41","110","6.26","1.06","111/1",
"1305","華夏","8.04","110","8.64","1.56","111/1",
"1307","三芳","2.51","110","398.00","1.02","111/1",
"1308","亞聚","10.31","110","6.22","1.09","111/1",
"1309","台達化","8.73","110","6.69","1.36","111/1",
"1310","台苯","0.97","110","-","1.12","111/1",
"1312","國喬","8.30","110","4.92","0.63","111/1",
"1313","聯成","5.90","110","12.11","0.73","111/1",
"1314","中石化","3.65","110","15.87","0.51","111/1",
"1315","達新","5.70","110","138.42","0.65","111/1",
"1316","上曜","0.00","109","-","1.76","111/1",
"1319","東陽","2.23","110","30.52","1.02","111/1",
"1321","大洋","2.16","110","129.40","1.07","111/1",
"1323","永裕","4.61","110","11.23","1.36","111/1",
"1324","地球","1.94","110","515.00","0.81","111/1",
"1325","恆大","6.37","110","21.36","0.90","111/1",
"1326","台化","6.02","110","14.79","1.16","111/1",
"1337","再生-KY","0.00","109","-","0.33","111/1",
"1338","廣華-KY","4.66","110","12.52","0.67","111/1",
"1339","昭輝","5.12","110","15.10","0.84","111/1",
"1340","勝悅-KY","0.00","109","-","0.31","111/1",
"1341","富林-KY","8.15","110","14.02","2.68","111/1",
"1342","八貫","4.08","110","15.69","3.01","111/1",
"1402","遠東新","4.78","110","17.23","0.79","111/1",
"1409","新纖","7.37","110","7.57","0.87","111/1",
"1410","南染","3.64","110","30.78","2.13","111/1",
"1413","宏洲","0.00","109","9.01","1.10","111/1",
"1414","東和","3.00","110","26.87","1.23","111/1",
"1416","廣豐","4.57","110","23.30","0.56","111/1",
"1417","嘉裕","3.17","110","1,105.00","0.76","111/1",
"1418","東華","0.00","109","-","0.85","111/1",
"1419","新紡","2.39","110","6.91","1.07","111/1",
"1423","利華","3.89","110","16.78","0.85","111/1",
"1432","大魯閣","0.00","109","-","1.48","111/1",
"1434","福懋","3.79","110","20.95","0.71","111/1",
"1435","中福","0.00","109","49.11","5.04","111/1",
"1436","華友聯","6.36","110","17.68","2.11","111/1",
"1437","勤益控","3.53","110","12.75","0.77","111/1",
"1438","三地開發","0.00","109","67.60","2.08","111/1",
"1439","中和","0.94","110","15.43","0.85","111/1",
