日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2015/4/23,76.8,79.1,76.5,78.6,0,0,,,,,,10443,,1141,,,98,,,-16182,-16182,743179,,,20166,,,12335,,,775682,,,0
2015/4/24,78.6,80,78.5,79.6,1,1.2723,,,,,,9318,,1162,,,114,,,-15985,197,747239,,,20354,,,12348,,,779943,,,0
2015/4/27,79.6,82.2,78.9,81.4,1.8,2.2613,,,,,,8371,,965,,,132,,,-15717,268,750393,,,20400,,,11964,,,782758,,,0
2015/4/28,81.4,81.6,80.4,81.5,0.1,0.1229,,,,,,4183,,1026,,,129,,,-15773,-56,752692,,,20398,,,12050,,,785141,,,0
2015/4/29,81.4,83.5,81.1,81.9,0.4,0.4908,80.6,,,,,5415,7546,921,1043,,139,122.4,,-15858,-85,755811,749863,,20444,20353,,12734,12287,,788990,782503,,0
2015/4/30,82.7,83.5,79,79,-2.9,-3.5409,80.68,,,,,5713,6600,990,1012.8,,94,121.6,,-15561,297,757513,752730,,20465,20413,,12606,12341,,790585,785484,,0
2015/5/4,80,80.9,80,80.5,1.5,1.8987,80.86,,,,,2623,5261,990,978.4,,108,120.4,,-15858,-297,758128,754908,,20465,20435,,12719,12415,,791313,787758,,0
2015/5/5,80.8,81.8,80.1,81.3,0.8,0.9938,80.84,,,,,3100,4206,922,969.8,,117,117.4,,-16116,-258,759588,756747,,20500,20455,,12859,12594,,792948,789796,,0
2015/5/6,81,81.8,80.2,81.3,0,0,80.8,,,,,2873,3944,986,961.8,,110,113.6,,-15928,188,761377,758484,,20508,20477,,12919,12768,,794805,791729,,0
2015/5/7,81,81.3,80,80.4,-0.9,-1.107,80.5,80.55,,,,3469,3555,1007,979,1011,111,108,115.2,-16383,-455,762762,759874,754869,20586,20506,20429,12423,12706,12496,795772,793085,787794,0
