日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2011/10/12,20.40,20.60,20.35,20.45,0.00,0.00,,,,,,257.0000,,7500.0000,,,87.0000,,,-5608,-5608,1167,,,1168,,,0,,,2336,,,0.000,
2011/10/13,20.60,21.00,20.40,20.90,0.45,2.2005,,,,,,396.0000,,7526.0000,,,92.0000,,,-5281,327,1169,,,1168,,,0,,,2338,,,0.000,
2011/10/14,20.90,20.90,20.45,20.45,-0.45,-2.1531,,,,,,307.0000,,7513.0000,,,92.0000,,,-5542,-261,1168,,,1143,,,0,,,2312,,,0.000,
2011/10/17,20.80,20.85,20.50,20.65,0.20,0.978,,,,,,331.0000,,7589.0000,,,106.0000,,,-5072,470,1173,,,1143,,,0,,,2317,,,0.000,
2011/10/18,20.50,20.55,20.40,20.45,-0.20,-0.9685,20.5800,,,,,143.0000,286.8000,7510.0000,7527.6000,,104.0000,96.2000,,-5577,-505,1172,1171,,1143,1153,,0,0,,2316,2324,,0.000,
2011/10/19,20.80,21.10,20.60,20.85,0.40,1.956,20.6600,,,,,737.0000,382.8000,7704.0000,7568.4000,,106.0000,100.0000,,-5640,-63,1168,1171,,1143,1148,,0,0,,2312,2319,,0.000,
2011/10/20,20.80,20.85,20.45,20.45,-0.40,-1.9185,20.5700,,,,,232.0000,350.0000,7643.0000,7591.8000,,102.0000,102.0000,,-6153,-513,1152,1168,,1143,1143,,0,0,,2296,2311,,0.000,
2011/10/21,20.50,20.50,20.20,20.40,-0.05,-0.2445,20.5600,,,,,282.0000,345.0000,7617.0000,7612.6000,,104.0000,104.4000,,-6129,24,1158,1166,,1143,1143,,0,0,,2302,2309,,0.000,
2011/10/24,20.60,20.90,20.60,20.90,0.50,2.451,20.6100,,,,,414.0000,361.6000,7689.0000,7632.6000,,93.0000,101.8000,,-5433,696,1198,1171,,1143,1143,,0,0,,2342,2314,,0.000,
2011/10/25,21.10,21.10,20.85,21.00,0.10,0.4785,20.7200,20.6500,,,,283.0000,389.6000,7600.0000,7650.6000,7589.1000,98.0000,100.6000,98.4000,-5397,36,1200,1176,1173,1143,1143,1148,0,0,0,2344,2320,2322,0.000,
2011/10/26,21.00,21.40,20.60,21.40,0.40,1.9048,20.8300,20.7450,,,,474.0000,337.0000,7740.0000,7657.8000,7613.1000,95.0000,98.4000,99.2000,-5258,139,1135,1170,1170,1143,1143,1146,0,0,0,2279,2313,2316,0.000,
