日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 騰落指標, 騰落指標, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 未平倉量
2015/3/31,147,147.5,146,147,0,0,,,,,,96,,1780,,,10,,,-15767,-15767,64924,,,1,,,305,,,65231,,,0
2015/4/1,148.5,148.5,145,145.5,-1.5,-1.0204,,,,,,137,,1772,,,10,,,-16092,-325,64925,,,1,,,298,,,65225,,,0
2015/4/2,146,147.5,145.5,147.5,2,1.3746,,,,,,121,,1782,,,10,,,-15820,272,64902,,,1,,,299,,,65203,,,0
2015/4/7,147.5,151.5,147.5,151,3.5,2.3729,,,,,,261,,1860,,,9,,,-15585,235,64866,,,1,,,334,,,65202,,,0
2015/4/8,153,161.5,153,161.5,10.5,6.9536,150.5,,,,,1474,417,2352,1909.2,,12,10.2,,-15683,-98,64834,64891,,1,1,,445,337,,65281,65229,,0
2015/4/9,162.5,165,157,157,-4.5,-2.7864,152.5,,,,,954,589,2356,2024.4,,11,10.4,,-15804,-121,64830,64872,,1,1,,427,362,,65259,65234,,0
2015/4/10,164,167.5,162.5,167.5,10.5,6.6879,156.9,,,,,1348,831,2465,2163,,0,8.4,,-15863,-59,64816,64850,,1,1,,484,399,,65302,65250,,0
2015/4/13,168,179,165,179,11.5,6.8657,163.2,,,,,1654,1138,2398,2286.2,,0,6.4,,-15672,191,64783,64826,,1,1,,671,473,,65456,65300,,0
2015/4/14,179,181.5,176.5,180,1,0.5587,169,,,,,982,1282,2474,2409,,0,4.6,,-15527,145,64708,64795,,48,10,,560,518,,65317,65323,,0
2015/4/15,179.5,186.5,176,177,-3,-1.6667,172.1,161.3,,,,1221,1231,2565,2451.6,2180.4,0,2.2,6.2,-15932,-405,64516,64731,64811,48,20,10,584,546,442,65149,65297,65263,0
2015/4/16,180,183.5,178,178.5,1.5,0.8475,176.4,164.45,,,,1080,1257,2696,2519.6,2272,6,1.2,5.8,-15801,131,64370,64639,64755,48,29,15,577,576,469,64996,65245,65239,0
2015/4/17,180,182,173.5,175.5,-3,-1.6807,178,167.45,,,,813,1150,2686,2563.8,2363.4,5,2.2,5.3,-15904,-103,64425,64561,64705,68,43,22,451,570,484,64945,65173,65211,0
2015/4/20,174.5,183,174.5,179,3.5,1.9943,178,170.6,,,,616,942,2688,2621.8,2454,8,3.8,5.1,-16272,-368,64439,64492,64659,68,56,29,499,535,504,65007,65083,65192,0
2015/4/21,178,179.5,166.5,166.5,-12.5,-6.9832,175.3,172.15,,,,1061,958,2659,2658.8,2533.9,28,9.4,7,-16784,-512,64506,64452,64623,68,60,35,386,500,509,64961,65012,65168,0
2015/4/22,169.5,178,166,178,11.5,6.9069,175.5,173.8,,,,1222,958,2617,2669.2,2560.4,29,15.2,8.7,-16621,163,64493,64447,64589,68,64,42,496,483,514,65058,64994,65146,0
2015/4/23,179.5,183,170,173.5,-4.5,-2.5281,174.5,175.45,,,,1101,962,2635,2657,2588.3,18,17.6,9.4,-16182,439,64282,64429,64534,68,68,49,540,475,526,64891,64973,65109,0
2015/4/24,174.5,176,169.5,169.5,-4,-2.3055,173.3,175.65,,,,685,937,2650,2649.8,2606.8,15,19.6,10.9,-15985,197,64294,64403,64482,68,68,55,495,484,527,64858,64956,65064,0
