日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 未平倉量",
2011/08/15,28.45,28.45,28.00,28.40,0.00,0.00,,,,,,1022.0000,,13755.0000,,,27.0000,,,-4278,-4278,11973,,,48,,,0,,,12022,,,0.000,
2011/08/16,28.70,29.20,28.50,28.65,0.25,0.8803,,,,,,1747.0000,,13226.0000,,,28.0000,,,-4147,131,11923,,,63,,,0,,,11987,,,0.000,
2011/08/17,28.95,29.20,28.40,28.40,-0.25,-0.8726,,,,,,881.0000,,13195.0000,,,94.0000,,,-4371,-224,11912,,,62,,,0,,,11975,,,0.000,
2011/08/18,28.20,28.20,27.30,27.60,-0.80,-2.8169,,,,,,837.0000,,13121.0000,,,26.0000,,,-4934,-563,11823,,,63,,,0,,,11887,,,0.000,
2011/08/19,25.85,26.45,25.70,25.70,-1.90,-6.8841,27.7500,,,,,1853.0000,1268.0000,12774.0000,13214.2000,,21.0000,39.2000,,-5915,-981,11696,11866,,63,61,,0,0,,11760,11927,,0.000,
2011/08/22,24.10,25.70,23.95,24.00,-1.70,-6.6148,26.8700,,,,,1894.0000,1442.4000,12491.0000,12961.4000,,22.0000,38.2000,,-6285,-370,11765,11824,,63,64,,0,0,,11829,11888,,0.000,
2011/08/23,24.30,25.65,24.00,25.65,1.65,6.875,26.2700,,,,,1918.0000,1476.6000,12466.0000,12809.4000,,78.0000,48.2000,,-5527,758,11966,11833,,63,64,,0,0,,12030,11897,,0.000,
2011/08/24,25.90,25.90,24.90,25.10,-0.55,-2.1442,25.6100,,,,,925.0000,1485.4000,12388.0000,12648.0000,,93.0000,48.0000,,-5689,-162,11828,11816,,63,64,,0,0,,11892,11880,,0.000,
2011/08/25,25.40,25.40,24.00,24.15,-0.95,-3.7849,24.9200,,,,,841.0000,1486.2000,12304.0000,12484.6000,,22.0000,47.2000,,-6088,-399,11818,11815,,63,64,,0,0,,11882,11879,,0.000,
2011/08/26,24.25,24.25,22.60,23.20,-0.95,-3.9337,24.4200,26.0850,,,,1367.0000,1389.0000,12318.0000,12393.4000,12803.8000,17.0000,46.4000,42.8000,-6188,-100,11831,11842,11854,64,64,62,0,0,0,11896,11906,11917,0.000,
2011/08/29,22.10,23.50,22.10,23.05,-0.15,-0.6466,24.2300,25.5500,,,,1070.0000,1224.2000,12687.0000,12432.6000,12697.0000,18.0000,45.6000,41.9000,-5553,635,11954,11880,11852,64,64,64,0,0,0,12019,11944,11916,0.000,
2011/08/30,23.50,23.75,23.25,23.55,0.50,2.1692,23.8100,25.0400,,,,717.0000,984.0000,12735.0000,12486.4000,12647.9000,11.0000,32.2000,40.2000,-5149,404,12008,11888,11861,64,65,64,0,0,0,12073,11953,11925,0.000,
2011/08/31,23.75,24.30,23.15,24.10,0.55,2.3355,23.6100,24.6100,,,,1083.0000,1015.6000,12759.0000,12560.6000,12604.3000,11.0000,15.8000,31.9000,-4786,363,12006,11924,11870,64,65,64,0,0,0,12071,11988,11934,0.000,
