日期,開盤,最高,最低,收盤,漲跌,漲跌%, 均價5, 均價10, 均價20, 均價60, 均價120, 成交量, 均量5, 融資張數, 均量5, 均量10, 融券張數, 均量5, 均量10, 外資庫存, 均量5, 均量10, 投信庫存, 均量5, 均量10, 自營商庫存, 均量5, 均量10, 法人庫存, 均量5, 均量10, 騰落指標, 騰落指標, 未平倉量
2011/12/16,29.8,30.4,29.75,29.85,0,0,,,,,,2435,,19462,,,3126,,,11795,,,24524,,,2009,,,38329,,,-10086,-10086,0
2011/12/19,29.6,29.65,27.8,27.9,-1.95,-6.5327,,,,,,3931,,18894,,,2740,,,11647,,,23845,,,2076,,,37569,,,-10919,-833,0
2011/12/20,28,28.65,28,28.15,0.25,0.8961,,,,,,2481,,18711,,,2752,,,11783,,,23805,,,2124,,,37713,,,-10724,195,0
2011/12/21,29.5,30.1,29.2,29.95,1.8,6.3943,,,,,,3980,,19075,,,2556,,,12149,,,23689,,,1645,,,37484,,,-9697,1027,0
2011/12/22,29.95,31,29.6,30.85,0.9,3.005,29.34,,,,,4662,3497,18582,18944.8,,2792,2793.2,,12150,11905,,23689,23910,,1328,1837,,37168,37653,,-9941,-244,0
2011/12/23,31.15,31.9,30.9,31.2,0.35,1.1345,29.61,,,,,6375,4285,18607,18773.8,,2631,2694.2,,10607,11668,,24591,23924,,1294,1694,,36493,37286,,-9138,803,0
2011/12/26,31.4,32,31.35,31.5,0.3,0.9615,30.33,,,,,3818,4263,18566,18708.2,,2697,2685.6,,10636,11466,,25521,24259,,944,1468,,37102,37193,,-9267,-129,0
2011/12/27,31.5,31.8,31.2,31.4,-0.1,-0.3175,30.98,,,,,2436,4254,18560,18678,,2707,2676.6,,10607,11230,,25574,24613,,0,1043,,36181,36886,,-9463,-196,0
2011/12/28,31.4,31.7,30.5,30.6,-0.8,-2.5478,31.11,,,,,2044,3867,18805,18624,,2543,2674,,10639,10928,,24873,24850,,945,903,,36458,36681,,-9518,-55,0
2011/12/29,30.35,31,30.2,30.6,0,0,31.06,30.2,,,,1731,3280,18640,18635.6,18790.2,2414,2598.4,2695.8,10697,10638,11272,24868,25085,24498,1132,864,1351,36698,36587,37120,-9460,58,0
2011/12/30,31,31.85,31,31.15,0.55,1.7974,31.05,30.33,,,,4310,2867,19135,18741.2,18757.5,2651,2602.4,2648.3,10838,10684,11176,24924,25152,24538,1196,844,1269,36959,36680,36983,-9509,-49,0
2012/1/2,31.2,31.8,30.85,30.9,-0.25,-0.8026,30.93,30.63,,,,3844,2873,19436,18915.2,18811.7,2553,2573.6,2629.6,10531,10663,11064,25890,25226,24743,1217,899,1183,37639,36788,36990,-10067,-558,0
2012/1/3,31.2,31.8,31.2,31.5,0.6,1.9417,30.95,30.965,,,,3313,3048,18638,18930.8,18804.4,2607,2553.6,2615.1,10912,10724,10977,26085,25328,24971,1118,1123,1083,38116,37175,37030,-9497,570,0
2012/1/4,31.9,32.25,31.7,31.75,0.25,0.7937,31.18,31.145,,,,3719,3383,18952,18960.2,18792.1,2631,2571.2,2622.6,10986,10793,10861,26085,25571,25210,1137,1161,1032,38209,37525,37103,-9291,206,0
2012/1/5,31.9,32,31.1,31.35,-0.4,-1.2598,31.33,31.195,,,,2998,3636,18636,18959.4,18797.5,2545,2597.4,2597.9,10971,10848,10743,25623,25722,25404,1078,1150,1007,37673,37720,37154,-8986,305,0
2012/1/6,31.4,31.9,31.35,31.75,0.4,1.2759,31.45,31.25,,,,2648,3304,18052,18742.8,18742,2491,2565.4,2583.9,11508,10982,10833,25793,25896,25524,1098,1131,987,38400,38008,37344,-9139,-153,0
2012/1/9,32.3,32.9,32.1,32.35,0.6,1.8898,31.74,31.335,,,,6291,3793,18269,18509.4,18712.3,2476,2550,2561.8,11555,11187,10925,26068,25931,25579,1434,1174,1036,39058,38292,37540,-9448,-309,0
2012/1/10,32.7,33.5,32.5,32.9,0.55,1.7002,32.02,31.485,,,,6691,4469,18175,18416.8,18673.8,2521,2532.8,2543.2,11634,11331,11028,26773,26069,25699,1636,1278,1200,40044,38678,37926,-9032,416,0
2012/1/11,33,33.4,32.65,32.7,-0.2,-0.6079,32.21,31.695,,,,3978,4521,17861,18198.6,18579.4,2366,2479.8,2525.5,11540,11442,11118,27201,26292,25931,1996,1449,1305,40738,39184,38354,-9013,19,0
2012/1/12,32.9,33.1,32.6,32.75,0.05,0.1529,32.49,31.91,31.055,,,3748,4671,17614,17994.2,18476.8,2390,2448.8,2523.1,11451,11538,11193,27641,26696,26209,1626,1559,1355,40719,39793,38756,-9379,-366,0
2012/1/13,33.2,33.2,32.5,32.55,-0.2,-0.6107,32.65,32.05,31.19,,,3422,4826,17163,17816.4,18279.6,2345,2419.6,2492.5,11639,11564,11273,27640,27065,26480,1769,1693,1412,41049,40323,39165,-9776,-397,0
2012/1/16,32.9,33,32.45,33,0.45,1.3825,32.78,32.26,31.445,,,3028,4173,16615,17485.6,17997.5,2381,2400.6,2475.3,11654,11584,11386,27670,27385,26658,1976,1802,1488,41301,40771,39532,-9717,59,0
2012/1/17,33.2,34.75,33.1,34.35,1.35,4.0909,33.07,32.545,31.755,,,7715,4378,16770,17204.6,17810.7,2223,2341,2436.9,11572,11572,11452,27775,27586,26827,1658,1806,1542,41006,40964,39821,-8963,754,0
2012/1/18,34.2,34.35,33.65,33.95,-0.4,-1.1645,33.32,32.765,31.955,,,4712,4525,16300,16892.4,17545.5,2137,2295.2,2387.5,11966,11657,11550,27935,27733,27012,2150,1837,1643,42052,41226,40205,-8861,102,0
2012/1/30,35,35.6,34.55,34.9,0.95,2.7982,33.75,33.12,32.1575,,,5073,4790,16375,16644.6,17319.4,2426,2302.4,2375.6,12300,11827,11682,27044,27613,27154,2554,2022,1791,41899,41462,40628,-8015,846,0
2012/1/31,34.9,35.75,34.5,35.1,0.2,0.5731,34.26,33.455,32.3525,,,7643,5634,16870,16586,17201.2,2343,2302,2360.8,12136,11926,11745,25271,27139,27102,2970,2263,1978,40378,41328,40825,-7379,636,0
2012/2/1,35.1,35.6,34.7,35.25,0.15,0.4274,34.71,33.745,32.54,,,6170,6262,17150,16693,17089.3,2430,2311.8,2356.2,12271,12050,11817,24464,26498,26942,3527,2573,2187,40263,41121,40946,-6702,677,0
2012/2/2,35.8,36.4,35.4,35.45,0.2,0.5674,34.93,34,32.7425,,,5600,5839,16576,16654.2,16929.4,2461,2359.4,2350.2,12311,12197,11885,24592,25862,26724,4054,3052,2429,40958,41111,41037,-6077,625,0
2012/2/3,35.6,37.25,35.35,36.6,1.15,3.244,35.46,34.39,33.0425,,,6539,6205,16374,16669,16780.7,2549,2441.8,2368.5,12432,12291,11974,24739,25222,26478,4989,3620,2728,42161,41133,41180,-5887,190,0
2012/2/4,36.95,37.2,36.1,36.5,-0.1,-0.2732,35.78,34.765,33.3375,,,4683,6127,16655,16725,16684.8,2591,2474.8,2388.6,12419,12314,12071,24739,24761,26187,5009,4111,3067,42168,41187,41324,-5465,422,0
2012/2/6,36.5,36.6,35.5,35.5,-1,-2.7397,35.86,35.06,33.555,,,3138,5226,17015,16754,16670,2430,2492.2,2397.1,12258,12339,12132,24389,24585,25862,5210,4559,3411,41858,41483,41405,-5853,-388,0
2012/2/7,35.5,36.05,35.4,35.8,0.3,0.8451,35.97,35.34,33.8,,,2618,4515,16981,16720.2,16706.6,2674,2541,2426.4,12299,12344,12197,24389,24570,25534,5530,4959,3766,42219,41874,41497,-5916,-63,0
2012/2/8,35.8,37,35.8,36.8,1,2.7933,36.24,35.585,34.065,,,5475,4490,16764,16757.8,16706,2722,2593.2,2476.3,12429,12368,12283,24389,24529,25196,5863,5321,4187,42682,42219,41665,-5130,786,0
2012/2/9,37.2,39.15,36.8,39.15,2.35,6.3859,36.75,36.105,34.435,,,15769,6336,19180,17319,16994,3228,2729,2585.4,12645,12411,12351,23687,24319,24771,6120,5547,4584,42453,42277,41705,-4770,360,0
2012/2/10,39.15,39.15,38.05,38.6,-0.55,-1.4049,37.17,36.475,34.7975,,,8092,7018,18632,17714.4,17219.7,2827,2776.2,2625.5,12337,12394,12354,23467,24065,24413,6346,5815,4963,42151,42274,41730,-4713,57,0
2012/2/13,38.6,39.35,38.3,39.1,0.5,1.2953,37.89,36.875,35.165,,,9033,8197,19547,18220.8,17487.4,2999,2890,2691.1,12263,12395,12367,22617,23710,24148,5800,5933,5246,40681,42038,41760,-4279,434,0
2012/2/14,38.8,39,37.2,38.2,-0.9,-2.3018,38.37,37.17,35.4575,,,8639,9401,20475,18919.6,17819.9,2502,2855.6,2698.3,9646,11865,12104,21482,23129,23850,5804,5988,5473,36934,40981,41427,-4543,-264,0
2012/2/15,38.2,38.55,37.7,37.9,-0.3,-0.7853,38.59,37.415,35.7075,,,8824,10071,21857,19938.2,18348,2277,2766.6,2679.9,9513,11281,11825,21322,22516,23523,5811,5977,5649,36648,39774,40996,-3889,654,0
2012/2/16,37.6,38.2,35.9,36.25,-1.65,-4.3536,38.01,37.38,35.885,,,7247,8367,22001,20502.4,18910.7,2043,2529.6,2629.3,9872,10727,11569,21020,21982,23151,6008,5955,5751,36902,38664,40470,-4501,-612,0
2012/2/17,36.9,37.2,36.05,36.8,0.55,1.5172,37.65,37.41,36.0875,,,5013,7751,21242,21024.4,19369.4,2206,2405.4,2590.8,10041,10268,11331,21012,21491,22778,6117,5909,5862,37172,37668,39971,-4478,23,0
2012/2/20,37.05,37.25,36.65,37.15,0.35,0.9511,37.26,37.575,36.3175,,,3122,6569,21504,21415.8,19818.3,2530,2311.6,2600.8,9803,9776,11085,21012,21170,22440,6146,5978,5955,36963,36924,39481,-3983,495,0
2012/2/21,37.1,37.85,37.1,37.3,0.15,0.4038,37.08,37.725,36.5325,,,2632,5367,21678,21656.4,20288,2448,2300.8,2578.2,9571,9761,10813,21012,21076,22103,6052,6028,6008,36637,36865,38923,-4187,-204,0
2012/2/22,37.3,37.95,37.2,37.4,0.1,0.2681,36.98,37.785,36.685,,,3365,4275,21789,21642.8,20790.5,2267,2298.8,2532.7,9543,9767,10524,20682,20948,21732,6244,6114,6046,36471,36829,38302,-3709,478,0
2012/2/23,37.4,38.75,37,38.75,1.35,3.6096,37.48,37.745,36.925,,,10872,5000,21074,21457.4,20979.9,2542,2398.6,2464.1,10025,9797,10262,20106,20766,21374,6515,6216,6085,36648,36779,37721,-3953,-244,0
2012/2/24,38.85,38.9,38,38.6,-0.15,-0.3871,37.84,37.745,37.11,,,6340,5266,21360,21481,21252.7,2397,2436.8,2421.1,9776,9744,10006,19749,20513,21002,6274,6247,6078,35801,36504,37086,-4156,-203,0
2012/2/29,38.7,38.8,37.75,37.8,-0.8,-2.0725,37.97,37.615,37.245,,,5780,5797,20542,21288.6,21352.2,2340,2398.8,2355.2,9765,9737,9756,19465,20204,20687,6050,6228,6103,35282,36168,36546,-3809,347,0
2012/3/1,37.9,38.15,37.5,38,0.2,0.5291,38.11,37.595,37.3825,,,4787,6228,20871,21127.2,21391.8,2477,2404.6,2352.7,9926,9808,9784,18374,19676,20376,5981,6214,6121,34283,35697,36281,-3570,239,0
2012/3/2,38.3,38.7,37.95,38.35,0.35,0.9211,38.3,37.64,37.5275,,,8768,7309,22380,21245.4,21444.1,2491,2449.4,2374.1,10004,9900,9833,18457,19231,20090,6215,6208,6161,34678,35339,36084,-3257,313,0
2012/3/3,38.35,38.7,38.15,38.25,-0.1,-0.2608,38.2,37.84,37.61,,,4704,6075,22062,21443,21450.2,2235,2388,2393.3,10030,9901,9849,18807,18971,19868,6528,6211,6213,35367,35083,35931,-3232,25,0
