日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 未平倉量",
2018/08/08,160.00,177.00,160.00,174.99,0.00,0.00,,,,,,119,,0.0000,,,0.0000,,,0,,,0,,,0,,,0,,,-32985,-32985,0.000,
2018/08/09,168.63,175.00,166.00,166.00,-8.99,-5.1374,,,,,,30,,0.0000,,,0.0000,,,0,,,0,,,0,,,0,,,-33155,-170,0.000,
2018/08/10,167.58,168.99,164.61,167.11,1.11,0.6687,,,,,,18,,0.0000,,,0.0000,,,0,,,0,,,0,,,0,,,-33403,-248,0.000,
2018/08/13,167.01,167.01,160.00,160.00,-7.11,-4.2547,,,,,,14,,0.0000,,,0.0000,,,0,,,0,,,0,,,0,,,-34164,-761,0.000,
2018/08/14,161.99,161.99,161.00,161.49,1.49,0.9313,165.9180,,,,,3,36,0.0000,0.0000,,0.0000,0.0000,,0,0,,0,0,,0,0,,0,0,,-33825,339,0.000,
2018/08/15,155.72,158.91,145.01,150.49,-11.00,-6.8116,161.0180,,,,,28,18,0.0000,0.0000,,0.0000,0.0000,,0,0,,0,0,,0,0,,0,0,,-34274,-449,0.000,
2018/08/16,150.49,150.59,150.00,150.49,0.00,0.00,157.9160,,,,,4,13,0.0000,0.0000,,0.0000,0.0000,,0,0,,0,0,,0,0,,0,0,,-34420,-146,0.000,
2018/08/17,150.34,150.59,148.50,148.60,-1.89,-1.2559,154.2140,,,,,9,11,0.0000,0.0000,,0.0000,0.0000,,0,0,,0,0,,0,0,,0,0,,-34362,58,0.000,
2018/08/20,142.51,142.51,139.50,140.00,-8.60,-5.7873,150.2140,,,,,10,10,0.0000,0.0000,,0.0000,0.0000,,0,0,,0,0,,0,0,,0,0,,-34420,-58,0.000,
2018/08/21,136.01,139.30,135.00,136.00,-4.00,-2.8571,145.1160,155.5170,,,,29,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34041,379,0.000,
2018/08/22,135.51,136.83,135.50,136.83,0.83,0.6103,142.3840,151.7010,,,,11,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34033,8,0.000,
2018/08/23,136.59,136.59,136.06,136.06,-0.77,-0.5627,139.4980,148.7070,,,,4,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33963,70,0.000,
2018/08/24,140.00,140.00,140.00,140.00,3.94,2.8958,137.7780,145.9960,,,,1,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34327,-364,0.000,
2018/08/27,142.03,145.00,142.03,145.00,5.00,3.5714,138.7780,144.4960,,,,9,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33931,396,0.000,
2018/08/28,145.26,145.50,144.51,145.50,0.50,0.3448,140.6780,142.8970,,,,15,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33730,201,0.000,
2018/08/29,145.01,145.89,145.00,145.89,0.39,0.268,142.4900,142.4370,,,,8,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33625,105,0.000,
2018/08/30,145.00,145.76,145.00,145.30,-0.59,-0.4044,144.3380,141.9180,,,,7,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33679,-54,0.000,
2018/08/31,145.99,148.42,145.50,148.42,3.12,2.1473,146.0220,141.9000,,,,10,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33549,130,0.000,
2018/09/03,150.99,150.99,150.99,150.99,2.57,1.7316,147.2200,142.9990,,,,1,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33932,-383,0.000,
2018/09/04,146.02,149.00,146.02,149.00,-1.99,-1.318,147.9200,144.2990,149.9080,,,3,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-33653,279,0.000,
2018/09/05,146.01,146.99,146.01,146.99,-2.01,-1.349,148.1400,145.3150,148.5080,,,4,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34010,-357,0.000,
2018/09/06,147.49,149.99,147.00,149.99,3.00,2.041,149.0780,146.7080,147.7075,,,19,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34342,-332,0.000,
2018/09/07,150.97,150.98,149.00,150.00,0.01,0.0067,149.3940,147.7080,146.8520,,,13,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34986,-644,0.000,
2018/09/10,150.49,150.49,144.91,147.00,-3.00,-2.00,148.5960,147.9080,146.2020,,,9,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-35587,-601,0.000,
2018/09/11,148.99,148.99,148.99,148.99,1.99,1.3537,148.5940,148.2570,145.5770,,,1,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-35250,337,0.000,
2018/09/12,148.99,148.99,144.01,147.30,-1.69,-1.1343,148.6560,148.3980,145.4175,,,26,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-35472,-222,0.000,
2018/09/13,148.98,148.98,148.98,148.98,1.68,1.1405,148.4540,148.7660,145.3420,,,1,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34970,502,0.000,
2018/09/14,144.51,148.49,144.51,148.49,-0.49,-0.3289,148.1520,148.7730,145.3365,,,30,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34519,451,0.000,
2018/09/17,148.00,148.50,147.01,147.01,-1.48,-0.9967,148.1540,148.3750,145.6870,,,3,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34725,-206,0.000,
2018/09/18,148.99,148.99,145.01,145.01,-2.00,-1.3605,147.3580,147.9760,146.1375,,,10,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34931,-206,0.000,
2018/09/19,146.00,147.50,146.00,147.50,2.49,1.7171,147.3980,148.0270,146.6710,,,13,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34499,432,0.000,
2018/09/20,146.01,146.99,146.00,146.40,-1.10,-0.7458,146.8820,147.6680,147.1880,,,10,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34855,-356,0.000,
2018/09/21,146.99,146.99,146.99,146.99,0.59,0.403,146.5820,147.3670,147.5375,,,1,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34550,305,0.000,
2018/09/25,144.51,144.51,144.51,144.51,-2.48,-1.6872,146.0820,147.1180,147.5130,,,2,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34448,102,0.000,
2018/09/26,144.51,147.99,144.51,147.99,3.48,2.4081,146.6780,147.0180,147.6375,,,3,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34497,-49,0.000,
2018/09/27,145.00,145.50,145.00,145.00,-2.99,-2.0204,146.1780,146.7880,147.5930,,,6,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34570,-73,0.000,
2018/09/28,145.49,145.49,145.49,145.49,0.49,0.3379,145.9960,146.4390,147.6025,,,1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34737,-167,0.000,
2018/10/01,145.49,145.50,145.00,145.00,-0.49,-0.3368,145.5980,146.0900,147.4315,,,5,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34403,334,0.000,
2018/10/02,144.90,144.90,143.51,144.00,-1.00,-0.6897,145.4960,145.7890,147.0820,,,5,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-34742,-339,0.000,
2018/10/03,143.61,144.20,143.61,144.20,0.20,0.1389,144.7380,145.7080,146.8420,,,3,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-35139,-397,0.000,
2018/10/04,143.61,145.39,143.61,145.00,0.80,0.5548,144.7380,145.4580,146.7425,,,10,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-35603,-464,0.000,
2018/10/05,145.00,145.00,143.00,143.00,-2.00,-1.3793,144.2400,145.1180,146.3930,,,3,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-36343,-740,0.000,
2018/10/08,141.61,145.50,141.61,145.50,2.50,1.7483,144.3400,144.9690,146.1680,,,20,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-36484,-141,0.000,
2018/10/11,141.55,142.00,139.66,141.00,-4.50,-3.0928,143.7400,144.6180,145.8680,,,14,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-37827,-1343,0.000,
2018/10/18,141.07,141.07,141.07,141.07,0.07,0.0496,143.1140,143.9260,145.4720,,,1,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-37434,393,0.000,
2018/10/19,141.07,141.07,141.07,141.07,0.00,0.00,142.3280,143.5330,145.1605,,,1,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-37767,-333,0.000,
2018/10/25,141.01,141.45,141.01,141.45,0.38,0.2694,142.0180,143.1290,144.7840,,,4,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-39025,-1258,0.000,
2018/10/26,141.01,141.45,141.01,141.45,0.00,0.00,141.2080,142.7740,144.4320,,,4,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,-39275,-250,0.000,
