日期,開盤,最高,最低,收盤,漲跌,漲跌%,均價5,均價10,均價20,均價60,均價120,成交量,均量5,融資張數,均量5,均量10,融券張數,均量5,均量10,騰落指標,漲跌家數,外資庫存,均量5,均量10,投信庫存,均量5,均量10,自營商庫存,均量5,均量10,法人庫存,均量5,均量10,未平倉量
2018/4/30,80.1,84.6,80.1,80.3,0,0,,,,,,38709,,15510,,,31,,,-32040,-32040,3144993,,,0,,,0,,,3144993,,,0
2018/5/2,80.8,82.2,75.1,75.7,-4.6,-5.7285,,,,,,33829,,15201,,,21,,,-32037,3,3441254,,,0,,,0,,,3441254,,,0
2018/5/3,75.6,77.1,73.6,75.1,-0.6,-0.7926,,,,,,19415,,15362,,,52,,,-32334,-297,3441976,,,0,,,0,,,3441976,,,0
2018/5/4,77.5,82.3,76.7,80.2,5.1,6.7909,,,,,,23111,,13607,,,117,,,-32461,-127,3449716,,,0,,,0,,,3449716,,,0
2018/5/7,82,82.5,78.9,79,-1.2,-1.4963,78.06,,,,,18863,26785,13162,14568.4,,105,65.2,,-32335,126,3450090,3385606,,0,0,,0,0,,3450090,3385606,,0
2018/5/8,78.5,78.5,77.6,77.7,-1.3,-1.6456,77.54,,,,,11128,21269,13083,14083,,92,77.4,,-32143,192,3448197,3446247,,2,0,,0,0,,3448199,3446247,,0
2018/5/9,77.2,78.4,76.5,77.2,-0.5,-0.6435,77.84,,,,,9129,16329,12875,13617.8,,53,83.8,,-32223,-80,3446564,3447309,,0,0,,36,7,,3446600,3447317,,0
2018/5/10,77.9,78.6,77.7,78.5,1.3,1.6839,78.52,,,,,9972,14440,12787,13102.8,,55,84.4,,-32033,190,3444278,3447769,,0,0,,48,17,,3444326,3447787,,0
2018/5/11,80,80.3,78.9,79.8,1.3,1.6561,78.44,,,,,8973,11613,12398,12861,,44,69.8,,-32062,-29,3448501,3447526,,0,0,,0,17,,3448501,3447544,,0
2018/5/14,80.8,80.8,79.8,79.8,0,0,78.6,78.33,,,,6387,9117,12360,12700.6,13634.5,44,57.6,61.4,-32065,-3,3450659,3447640,3416623,42,9,4,0,17,8,3450701,3447666,3416636,0
2018/5/15,79.8,80.7,79.7,79.7,-0.1,-0.1253,79,78.27,,,,7186,8329,12012,12486.4,13284.7,38,46.8,62.1,-32270,-205,3452160,3448433,3447340,42,17,9,4,18,9,3452206,3448467,3447357,0
2018/5/16,80.4,80.4,79.4,79.5,-0.2,-0.2509,79.46,78.65,,,,6007,7705,11337,12178.8,12898.3,38,43.8,63.8,-32265,5,3453342,3449788,3448549,42,25,13,0,10,9,3453384,3449824,3448570,0
2018/5/17,79.8,79.9,77.5,77.8,-1.7,-2.1384,79.32,78.92,,,,7196,7149,11303,11882,12492.4,40,40.8,62.6,-32297,-32,3451779,3451288,3449529,42,34,17,0,1,9,3451821,3451323,3449555,0
2018/5/18,78,79.8,78,78.7,0.9,1.1568,79.1,78.77,,,,5056,6366,11108,11624,12242.5,36,39.2,54.5,-32270,27,3452338,3452056,3449791,44,42,21,0,1,9,3452382,3452099,3449821,0
2018/5/21,79,80.5,78.9,79.8,1.1,1.3977,79.1,78.85,,,,5973,6283,11086,11369.2,12034.9,37,37.8,47.7,-31889,381,3452616,3452447,3450044,788,192,100,168,34,26,3453572,3452673,3450170,0
2018/5/22,80.2,80.2,79,79,-0.8,-1.0025,78.96,78.98,,,,5769,6000,10896,11146,11816.2,36,37.4,42.1,-32086,-197,3452938,3452603,3450518,788,341,179,233,80,49,3453959,3453024,3450746,0
2018/5/23,79,79.5,78.5,78.5,-0.5,-0.6329,78.76,79.11,,,,3935,5585,10818,11042.2,11610.5,37,37.2,40.5,-32242,-156,3452213,3452377,3451083,653,463,244,220,124,67,3453086,3452964,3451394,0
2018/5/24,78.8,79,78.1,78.1,-0.4,-0.5096,78.82,79.07,,,,4510,5048,10874,10956.4,11419.2,34,36,38.4,-32043,199,3450660,3452153,3451721,557,566,300,212,167,84,3451429,3452886,3452104,0
2018/5/25,78.5,79.4,77.8,79,0.9,1.1524,78.88,78.99,,,,3450,4727,10588,10852.4,11238.2,84,45.6,42.4,-32163,-120,3450712,3451828,3451942,557,669,356,197,206,103,3451466,3452703,3452401,0
2018/5/28,79,79,78.1,78.2,-0.8,-1.0127,78.56,78.83,78.58,,,4194,4371,10797,10794.6,11081.9,82,54.6,46.2,-32033,130,3448705,3451046,3451747,556,623,407,56,184,109,3449318,3451852,3452263,0
2018/5/29,78.2,78.7,78,78.1,-0.1,-0.1279,78.38,78.67,78.47,,,2935,3804,10802,10775.8,10960.9,76,62.6,50,-32129,-96,3447554,3449969,3451286,306,526,434,100,157,119,3447961,3450652,3451838,0
2018/5/30,77.2,77.6,74.9,75.3,-2.8,-3.5851,77.74,78.25,78.45,,,14185,5854,10929,10798,10920.1,129,81,59.1,-32452,-323,3443443,3448215,3450296,0,396,429,0,113,119,3443443,3448724,3450844,0
2018/5/31,75.7,76,75.2,76,0.7,0.9296,77.32,78.07,78.495,,,14241,7801,10851,10793.4,10874.9,87,91.6,63.8,-32160,292,3444747,3447033,3449593,0,284,425,0,71,119,3444747,3447388,3450137,0
2018/6/1,75.4,76.2,75.2,76,0,0,76.72,77.8,78.285,,,5730,8257,10779,10831.6,10842,65,87.8,66.7,-31894,266,3446157,3446122,3448975,0,173,421,2,32,119,3446159,3446326,3449515,0
2018/6/4,76,76.9,75.8,76.8,0.8,1.0526,76.44,77.5,78.175,,,7788,8975,10875,10847.2,10820.9,54,82.2,68.4,-31492,402,3444423,3445265,3448156,0,61,342,39,28,106,3444462,3445355,3448604,0
2018/6/5,76.6,77.4,76.2,76.8,0,0,76.18,77.28,78.13,,,5868,9562,10893,10865.4,10820.6,50,77,69.8,-31548,-56,3444399,3444634,3447302,0,0,263,0,8,83,3444399,3444643,3447648,0
2018/6/6,77,78.2,76.9,77.6,0.8,1.0417,76.64,77.19,78.15,,,5805,7886,10822,10844,10821,49,61,71,-31161,387,3444100,3444766,3446490,0,0,198,64,21,67,3444164,3444787,3446755,0
