"95年07月14日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","11.93","5.05","1.22",
"1102","亞泥","7.81","8.68","1.00",
"1103","嘉泥","3.86","0.00","0.84",
"1104","環泥","9.96","9.87","0.51",
"1107","建台","2.31","0.00","1.23",
"1108","幸福","13.56","3.75","0.72",
"1109","信大","7.55","4.69","0.74",
"1110","東泥","15.32","3.47","0.50",
"1201","味全","18.00","0.00","1.58",
"1203","味王","-","0.00","0.77",
"1210","大成","8.43","2.33","0.95",
"1213","大飲","330.00","0.00","0.98",
"1215","卜蜂","28.00","0.00","0.46",
"1216","統一","31.46","1.40","1.95",
"1217","愛之味","18.17","0.00","0.60",
"1218","泰山","-","0.00","0.59",
"1219","福壽","26.17","3.18","0.38",
"1220","台榮","41.28","0.00","0.77",
"1225","福懋油","-","0.00","0.42",
"1227","佳格","16.01","5.98","1.08",
"1229","聯華","10.00","4.29","0.70",
"1231","聯華食","77.33","5.39","0.64",
"1232","大統益","8.25","9.55","1.13",
"1233","天仁","18.33","5.24","2.15",
"1234","黑松","75.83","1.83","0.79",
"1235","興泰","113.75","8.79","1.03",
"1236","宏亞","10.03","9.76","1.27",
"1301","台塑","10.03","9.85","1.41",
"1303","南亞","10.09","7.94","1.59",
"1304","台聚","13.75","7.83","0.67",
"1305","華夏","-","0.00","0.61",
"1307","三芳","11.01","6.13","1.11",
"1308","亞聚","10.73","6.43","0.73",
"1309","台達化","53.08","0.00","0.48",
"1310","台苯","-","0.00","1.15",
"1311","福聚","9.64","9.14","1.11",
"1312","國喬","13.39","0.00","0.72",
"1313","聯成","12.05","7.55","0.74",
"1314","中石化","5.90","0.00","0.67",
"1315","達新","13.12","5.87","0.80",
"1316","上曜","20.53","0.00","0.35",
"1319","東陽","10.69","5.22","1.57",
"1321","大洋","7.26","5.56","1.12",
"1323","永裕","67.83","4.30","0.65",
"1324","地球","33.81","8.45","0.58",
"1325","恆大","22.73","2.00","0.75",
"1326","台化","9.24","10.98","1.38",
"1402","遠東新","12.15","6.52","1.28",
"1409","新纖","48.57","0.00","0.60",
"1410","南染","-","0.00","0.53",
"1413","宏洲","-","0.00","0.31",
"1414","東和","-","0.00","0.57",
"1416","廣豐","-","0.00","0.48",
"1417","嘉裕","-","0.00","0.59",
"1418","東華","-","0.00","0.50",
"1419","新紡","38.03","1.99","1.66",
"1423","利華","37.67","0.00","0.42",
"1432","大魯閣","-","0.00","0.99",
"1434","福懋","10.75","7.25","0.69",
"1435","中福","88.73","0.00","1.21",
"1436","華友聯","-","0.00","0.71",
"1437","勤益控","-","0.00","1.15",
"1438","三地開發","-","0.00","0.81",
"1439","雋揚","358.33","1.86","0.73",
"1440","南紡","345.00","0.00","0.48",
"1441","大東","-","0.00","0.50",
"1442","名軒","28.24","0.00","0.59",
"1443","立益物流","-","0.00","0.42",
"1444","力麗","-","0.00","0.37",
"1445","大宇","-","0.00","0.40",
"1446","宏和","-","0.00","0.37",
"1447","力鵬","198.67","0.00","0.50",
"1449","佳和","-","0.00","0.48",
"1451","年興","7.01","8.88","0.85",
"1452","宏益","-","0.00","0.44",
"1453","大將","-","0.00","0.32",
"1454","台富","-","0.00","0.42",
"1455","集盛","-","1.66","0.50",
"1456","怡華","-","0.00","0.37",
"1457","宜進","-","0.00","0.34",
"1459","聯發","-","10.38","0.51",
"1460","宏遠","-","2.87","0.49",
"1463","強盛","214.00","3.50","0.40",
"1464","得力","-","3.00","0.46",
"1465","偉全","7.33","8.66","0.51",
"1466","聚隆","6.75","0.00","0.65",
"1467","南緯","8.88","2.16","0.84",
"1468","昶和","143.89","0.00","1.11",
"1469","理隆","-","10.59","0.73",
"1470","大統新創","431.00","0.00","0.49",
"1471","首利","13.28","3.86","1.90",
"1472","三洋實業","-","0.00","0.39",
"1473","台南","8.54","7.44","1.52",
"1474","弘裕","8.43","6.18","0.63",
"1475","業旺","-","0.00","2.05",
"1476","儒鴻","6.56","13.10","0.93",
"1477","聚陽","8.90","8.28","2.39",
"1503","士電","25.00","3.64","1.63",
"1504","東元","11.31","0.00","0.58",
"1506","正道","96.00","0.00","0.86",
"1507","永大","14.33","3.49","0.89",
"1512","瑞利","26.19","7.42","0.76",
"1513","中興電","9.95","6.19","1.42",
"1514","亞力","16.76","3.23","0.51",
"1515","力山","-","8.92","0.67",
"1516","川飛","348.00","0.00","0.42",
"1517","利奇","-","2.74","0.52",
"1519","華城","15.87","0.00","0.93",
"1520","復盛","9.19","9.83","1.65",
"1521","大億","9.06","9.92","1.38",
"1522","堤維西","-","0.00","1.35",
"1523","開億","15.66","4.22","0.84",
"1524","耿鼎","32.40","3.86","1.20",
"1525","江申","7.31","7.03","0.84",
"1526","日馳","-","0.00","0.57",
"1527","鑽全","8.73","9.09","2.03",
"1528","恩德","10.78","3.26","0.97",
"1529","樂事綠能","14.05","0.00","0.49",
"1530","亞崴","9.98","7.09","2.76",
"1531","高林股","7.63","9.26","1.01",
"1532","勤美","15.45","5.74","1.88",
"1533","車王電","45.00","2.22","1.58",
"1535","中宇","10.24","5.81","1.27",
"1536","和大","16.48","5.02","2.87",
"1537","廣隆","25.17","2.23","1.37",
"1538","正峰","13.18","6.52","2.47",
"1539","巨庭","-","0.00","0.55",
"1540","喬福","10.19","5.53","1.51",
"1541","錩泰","-","0.00","0.82",
"1560","中砂","33.14","1.79","5.12",
"1601","台光","-","0.00","1.13",
"1603","華電","24.75","0.00","0.51",
"1604","聲寶","-","18.78","0.56",
"1605","華新","13.33","0.00","0.75",
"1606","歌林","20.02","0.00","0.74",
"1608","華榮","8.66","0.00","0.64",
"1609","大亞","10.35","3.29","0.68",
"1611","中電","17.43","5.36","1.30",
"1612","宏泰","7.57","5.97","0.89",
"1613","台一","15.08","0.00","0.59",
"1614","三洋電","15.79","6.25","1.39",
"1615","大山","15.28","0.00","0.53",
"1616","億泰","16.64","2.96","0.69",
"1617","榮星","45.67","2.09","0.69",
"1618","合機","18.00","18.02","0.46",
"1701","中化","89.17","14.02","0.77",
"1702","南僑","-","0.00","0.55",
"1704","榮化","8.20","8.68","1.28",
"1707","葡萄王","10.05","6.15","0.80",
"1708","東鹼","13.65","6.03","0.76",
"1709","和益","11.68","6.58","0.87",
"1710","東聯","7.36","18.72","1.15",
"1711","永光","24.38","4.27","0.85",
"1712","興農","14.24","3.34","0.49",
"1713","國化","9.21","5.08","0.66",
"1714","和桐","-","16.86","0.66",
"1715","萬洲","8.52","9.21","0.61",
"1716","永信","14.23","7.25","1.35",
"1717","長興","16.96","4.49","2.58",
"1718","中纖","-","0.00","0.60",
"1720","生達","8.41","8.75","1.06",
"1721","三晃","97.17","0.00","0.89",
"1722","台肥","26.89","3.23","1.06",
"1723","中碳","9.32","9.09","2.47",
"1724","台硝","30.65","4.26","1.20",
"1725","元禎","10.32","12.12","1.06",
"1726","永記","8.91","6.13","1.33",
"1727","中華化","11.06","8.51","0.73",
"1729","必翔","20.20","4.26","4.05",
"1730","花仙子","11.19","6.64","0.91",
"1731","美吾華","30.31","2.06","0.69",
"1732","毛寶","59.29","0.00","1.18",
"1733","五鼎","10.73","7.47","2.22",
"1734","杏輝","11.86","7.56","1.11",
"1735","日勝化","22.03","5.38","0.98",
"1736","喬山","17.19","2.56","5.62",
"1737","臺鹽","45.00","5.05","0.78",
"1802","台玻","13.42","5.42","1.10",
"1805","寶徠","-","0.00","1.21",
"1806","冠軍","7.85","0.00","0.47",
"1808","潤隆","3.74","0.00","1.52",
"1809","中釉","13.13","2.72","0.56",
"1810","和成","54.31","0.00","0.50",
"1902","台紙","-","0.00","0.45",
"1903","士紙","-","0.00","2.53",
"1904","正隆","18.02","5.05","0.66",
"1905","華紙","13.38","5.90","1.03",
"1906","寶隆","21.76","0.00","0.47",
"1907","永豐餘","11.80","7.24","0.83",
"1909","榮成","9.81","10.42","0.65",
"2002","中鋼","7.88","13.51","1.53",
"2006","東和鋼鐵","8.26","9.63","1.36",
"2007","燁興","-","0.00","0.70",
"2008","高興昌","-","0.00","1.04",
"2009","第一銅","11.57","2.54","1.02",
"2010","春源","9.36","12.98","0.75",
"2012","春雨","21.71","5.62","0.77",
"2013","中鋼構","12.52","2.20","0.77",
"2014","中鴻","-","8.71","1.95",
"2015","豐興","8.70","9.14","1.43",
"2017","官田鋼","-","0.00","0.66",
"2020","美亞","-","13.17","1.22",
"2022","聚亨","-","0.00","0.52",
"2023","燁輝","18.38","8.00","0.68",
"2024","志聯","-","0.00","0.49",
"2025","千興","-","0.00","1.21",
"2027","大成鋼","12.21","5.96","1.49",
"2028","威致","-","0.00","0.74",
"2029","盛餘","12.99","7.66","1.09",
"2030","彰源","11.36","9.97","1.11",
"2031","新光鋼","-","4.93","1.20",
"2032","新鋼","-","0.00","1.16",
"2033","佳大","40.16","12.98","0.67",
"2034","允強","20.07","4.95","1.64",
"2101","南港","10.83","11.63","2.29",
"2102","泰豐","8.80","4.88","0.95",
"2103","台橡","6.53","13.77","1.29",
"2104","國際中橡","10.62","2.92","1.12",
"2105","正新","17.45","7.12","1.50",
"2106","建大","92.00","9.42","1.03",
"2107","厚生","118.85","0.00","1.10",
"2108","南帝","8.09","8.33","0.97",
"2109","華豐","-","0.00","0.56",
"2201","裕隆","9.56","0.82","0.98",
"2204","中華","8.11","1.04","0.88",
"2206","三陽工業","9.54","5.38","1.13",
"2207","和泰車","8.09","6.15","1.87",
"2227","裕日車","10.34","5.73","2.27",
"2301","光寶科","12.94","4.86","2.13",
"2302","麗正","26.43","0.00","0.22",
"2303","聯電","19.26","2.49","1.17",
"2305","全友","-","0.00","0.46",
"2308","台達電","19.15","4.07","3.64",
"2311","日月光","-","0.00","2.59",
"2312","金寶","11.67","5.88","0.75",
"2313","華通","21.07","0.00","1.03",
"2314","台揚","31.28","0.00","1.09",
"2315","神達","6.95","3.27","1.46",
"2316","楠梓電","14.58","7.73","0.66",
"2317","鴻海","17.64","2.35","3.95",
"2321","東訊","9.76","6.50","0.85",
"2323","中環","-","0.00","0.51",
"2324","仁寶","11.69","5.84","1.53",
"2325","矽品","8.27","7.79","1.52",
"2327","國巨","32.94","0.00","1.05",
"2328","廣宇","20.71","2.84","2.04",
"2329","華泰","-","0.00","0.63",
"2330","台積電","13.00","4.79","2.98",
"2331","精英","26.30","0.00","0.92",
"2332","友訊","11.07","6.47","1.60",
"2336","致伸","8.07","0.00","0.94",
"2337","旺宏","-","0.00","0.85",
"2338","光罩","9.03","8.56","1.33",
"2340","台亞","-","0.00","1.56",
"2341","英群","-","0.00","1.59",
"2342","茂矽","9.81","7.91","0.88",
"2344","華邦電","114.38","0.00","0.70",
"2345","智邦","-","0.00","1.56",
"2347","聯強","10.59","6.40","1.30",
"2348","海悅","5.52","0.00","0.57",
"2349","錸德","-","0.00","0.36",
"2350","環電","8.51","7.58","0.77",
"2351","順德","14.79","4.00","1.72",
"2352","佳世達","-","0.00","1.21",
"2353","宏碁","10.85","4.86","1.55",
"2354","鴻準","31.50","0.64","8.75",
"2355","敬鵬","8.23","8.27","0.99",
"2356","英業達","11.01","5.41","1.35",
"2357","華碩","13.70","3.31","1.96",
"2358","廷鑫","15.46","0.00","0.85",
"2359","所羅門","2.71","0.00","0.72",
"2360","致茂","10.00","7.23","1.85",
"2361","鴻友","-","8.48","0.39",
"2362","藍天","-","0.00","1.28",
"2363","矽統","18.15","3.61","1.15",
"2364","倫飛","-","0.00","0.40",
"2365","昆盈","7.87","6.75","1.41",
"2367","燿華","8.80","0.00","0.73",
"2368","金像電","7.98","5.07","1.24",
"2369","菱生","-","0.00","0.65",
"2371","大同","-","0.00","1.15",
"2373","震旦行","9.49","5.18","1.28",
"2374","佳能","8.93","0.00","1.41",
"2375","凱美","-","0.00","0.51",
"2376","技嘉","10.77","6.63","0.71",
"2377","微星","20.35","2.86","0.68",
"2379","瑞昱","11.64","5.02","1.31",
"2380","虹光","7.23","4.24","1.13",
"2381","華宇","-","0.00","0.72",
"2382","廣達","12.96","6.49","2.08",
"2383","台光電","17.63","3.96","1.19",
"2384","勝華","5.72","7.42","1.19",
"2385","群光","20.00","5.00","2.65",
"2387","精元","11.48","4.11","2.45",
"2388","威盛","24.81","0.00","2.06",
"2390","云辰","-","0.00","0.59",
"2391","合勤","11.34","6.41","2.19",
"2392","正崴","21.99","2.04","3.22",
