"95年01月06日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","11.34","5.06","1.27",
"1102","亞泥","7.63","10.44","0.92",
"1103","嘉泥","-","0.00","0.87",
"1104","環泥","9.95","10.43","0.52",
"1107","建台","-","0.00","23.00",
"1108","幸福","-","4.33","0.65",
"1109","信大","19.38","5.49","0.68",
"1110","東泥","23.85","3.88","0.46",
"1201","味全","-","0.00","1.28",
"1203","味王","-","0.00","0.67",
"1210","大成","6.62","2.71","0.88",
"1213","大飲","419.00","0.00","0.61",
"1215","卜蜂","-","0.00","0.46",
"1216","統一","15.88","2.22","1.26",
"1217","愛之味","26.92","0.00","0.63",
"1218","泰山","-","0.00","0.56",
"1219","福壽","38.08","0.00","0.41",
"1220","台榮","-","0.00","0.63",
"1225","福懋油","19.12","0.00","0.42",
"1227","佳格","8.19","6.43","0.99",
"1229","聯華","19.78","4.46","0.87",
"1231","聯華食","12.79","0.00","0.64",
"1232","大統益","8.24","7.14","1.22",
"1233","天仁","13.72","6.36","1.87",
"1234","黑松","90.90","2.20","0.52",
"1235","興泰","10.47","8.96","1.03",
"1236","宏亞","8.78","8.50","1.30",
"1301","台塑","6.95","8.81","1.93",
"1303","南亞","7.58","7.61","1.86",
"1304","台聚","8.95","10.16","0.76",
"1305","華夏","-","0.00","0.92",
"1307","三芳","14.22","3.67","1.39",
"1308","亞聚","8.59","8.22","0.88",
"1309","台達化","-","4.78","0.58",
"1310","台苯","-","6.15","1.55",
"1311","福聚","9.28","15.94","1.32",
"1312","國喬","26.56","0.00","0.88",
"1313","聯成","15.57","6.50","0.88",
"1314","中石化","6.97","0.00","0.78",
"1315","達新","8.49","6.93","0.83",
"1316","上曜","-","0.00","0.27",
"1319","東陽","19.50","5.03","2.40",
"1321","大洋","7.83","9.26","0.76",
"1323","永裕","9.37","7.95","0.68",
"1324","地球","11.87","8.43","0.58",
"1325","恆大","-","0.00","1.06",
"1326","台化","6.12","10.42","1.87",
"1402","遠東新","12.21","8.14","1.22",
"1409","新纖","35.28","0.00","0.59",
"1410","南染","-","0.00","0.43",
"1413","宏洲","-","0.00","0.30",
"1414","東和","-","0.00","0.45",
"1416","廣豐","-","0.00","0.48",
"1417","嘉裕","-","0.00","0.58",
"1418","東華","-","0.00","0.39",
"1419","新紡","22.78","0.00","0.83",
"1423","利華","-","0.00","0.32",
"1432","大魯閣","-","0.00","1.55",
"1434","福懋","10.54","6.04","1.18",
"1435","中福","-","0.00","1.81",
"1436","華友聯","-","0.00","0.67",
"1437","勤益控","-","0.00","0.77",
"1438","三地開發","-","0.00","0.46",
"1439","雋揚","99.11","2.24","0.61",
"1440","南紡","138.40","2.89","0.48",
"1441","大東","-","0.00","0.33",
"1442","名軒","15.22","0.00","0.58",
"1443","立益物流","-","0.00","0.33",
"1444","力麗","-","0.00","0.39",
"1445","大宇","-","0.00","0.38",
"1446","宏和","-","0.00","0.27",
"1447","力鵬","12.08","0.00","0.50",
"1449","佳和","-","0.00","-",
"1451","年興","11.60","9.03","1.31",
"1452","宏益","-","0.00","0.51",
"1453","大將","-","0.00","0.50",
"1454","台富","-","0.00","0.47",
"1455","集盛","24.31","14.18","0.57",
"1456","怡華","-","0.00","0.31",
"1457","宜進","-","0.00","0.44",
"1459","聯發","-","8.84","0.60",
"1460","宏遠","293.50","2.56","0.56",
"1463","強盛","19.26","9.62","0.49",
"1464","得力","-","3.07","0.57",
"1465","偉全","11.26","3.65","0.47",
"1466","聚隆","-","0.00","0.62",
"1467","南緯","23.00","2.72","0.73",
"1468","昶和","-","0.00","1.14",
"1469","理隆","-","9.95","0.76",
"1470","大統新創","-","0.00","0.43",
"1471","首利","30.99","1.69","3.80",
"1472","三洋實業","-","0.00","0.33",
"1473","台南","9.36","8.18","1.56",
"1474","弘裕","8.21","13.53","0.66",
"1475","業旺","-","0.00","2.02",
"1476","儒鴻","8.47","14.19","1.25",
"1477","聚陽","8.54","7.02","2.60",
"1503","士電","20.57","3.68","1.40",
"1504","東元","50.21","0.00","0.58",
"1506","正道","35.17","0.00","0.74",
"1507","永大","13.87","3.05","1.05",
"1512","瑞利","19.91","12.32","0.86",
"1513","中興電","11.31","5.90","1.73",
"1514","亞力","-","2.63","0.47",
"1515","力山","-","7.42","0.77",
"1516","川飛","-","0.00","0.43",
"1517","利奇","-","3.76","0.64",
"1519","華城","51.33","0.00","0.87",
"1520","復盛","15.31","7.81","2.52",
"1521","大億","9.37","11.42","1.81",
"1522","堤維西","-","6.82","1.37",
"1523","開億","9.76","7.98","1.24",
"1524","耿鼎","18.22","7.01","1.43",
"1525","江申","9.93","6.68","0.91",
"1526","日馳","-","0.00","0.60",
"1527","鑽全","12.54","5.53","3.60",
"1528","恩德","11.76","3.75","0.85",
"1529","樂事綠能","26.67","0.00","0.46",
"1530","亞崴","9.54","6.40","2.90",
"1531","高林股","11.28","6.77","1.49",
"1532","勤美","14.43","9.73","1.25",
"1533","車王電","623.33","3.21","1.10",
"1535","中宇","8.73","5.29","0.93",
"1536","和大","17.39","2.48","2.71",
"1537","廣隆","355.00","3.52","0.89",
"1538","正峰","12.80","1.49","2.73",
"1539","巨庭","-","2.30","0.57",
"1540","喬福","7.93","8.14","1.11",
"1541","錩泰","-","0.00","0.86",
"1560","中砂","27.32","3.24","3.18",
"1601","台光","-","0.00","1.17",
"1603","華電","-","0.00","0.44",
"1604","聲寶","-","17.02","0.50",
"1605","華新","-","18.04","0.69",
"1606","歌林","-","0.00","0.87",
"1608","華榮","-","9.47","0.45",
"1609","大亞","9.09","7.42","0.64",
"1611","中電","30.82","1.99","1.14",
"1612","宏泰","9.71","3.86","0.86",
"1613","台一","-","0.00","-",
"1614","三洋電","9.09","8.46","1.02",
"1615","大山","43.50","5.25","0.57",
"1616","億泰","10.05","3.51","0.58",
"1617","榮星","-","5.95","0.61",
"1618","合機","14.96","17.44","0.46",
"1701","中化","-","14.15","0.80",
"1702","南僑","497.00","0.00","0.55",
"1704","榮化","7.16","4.93","1.34",
"1707","葡萄王","10.54","6.37","0.74",
"1708","東鹼","14.67","2.66","0.70",
"1709","和益","14.55","5.29","0.84",
"1710","東聯","7.25","15.73","1.43",
"1711","永光","47.25","5.29","0.70",
"1712","興農","74.00","5.07","0.49",
"1713","國化","30.17","5.71","0.63",
"1714","和桐","-","13.33","0.77",
"1715","萬洲","11.06","5.49","0.67",
"1716","永信","12.30","5.00","1.54",
"1717","長興","15.69","5.65","1.88",
"1718","中纖","6.37","22.47","0.74",
"1720","生達","10.94","5.08","1.32",
"1721","三晃","28.76","0.00","0.72",
"1722","台肥","11.89","4.50","0.78",
"1723","中碳","8.39","10.76","2.66",
"1724","台硝","-","4.60","1.18",
"1725","元禎","7.55","12.16","1.40",
"1726","永記","10.60","6.48","1.36",
