"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","16.93","5.23","1.55",
"1102","亞泥","11.82","5.92","1.53",
"1103","嘉泥","4.81","0.00","0.94",
"1104","環泥","11.89","8.73","0.62",
"1107","建台","5.58","0.00","3.12",
"1108","幸福","11.96","4.53","0.90",
"1109","信大","7.77","4.10","0.84",
"1110","東泥","23.00","4.83","0.72",
"1201","味全","34.01","0.00","3.03",
"1203","味王","-","0.00","0.96",
"1210","大成","15.20","4.72","1.65",
"1213","大飲","-","7.04","1.26",
"1215","卜蜂","18.04","0.00","0.91",
"1216","統一","42.61","2.15","2.25",
"1217","愛之味","24.71","0.00","0.78",
"1218","泰山","-","0.00","0.73",
"1219","福壽","24.91","1.77","0.67",
"1220","台榮","23.83","0.00","0.85",
"1225","福懋油","-","0.00","0.69",
"1227","佳格","25.91","6.32","1.00",
"1229","聯華","10.47","4.75","0.86",
"1231","聯華食","106.00","4.72","0.74",
"1232","大統益","9.89","7.19","1.56",
"1233","天仁","19.65","5.30","2.22",
"1234","黑松","94.69","1.65","0.88",
"1235","興泰","1,610.00","3.11","1.22",
"1236","宏亞","13.26","11.50","1.23",
"1301","台塑","11.19","8.18","1.73",
"1303","南亞","9.71","6.83","1.79",
"1304","台聚","12.89","7.14","0.73",
"1305","華夏","13.19","0.00","0.72",
"1307","三芳","13.06","4.42","1.56",
"1308","亞聚","10.19","5.82","0.77",
"1309","台達化","26.53","0.00","0.61",
"1310","台苯","39.86","0.00","1.29",
"1311","福聚","5.01","5.63","1.51",
"1312","國喬","10.87","0.00","1.12",
"1313","聯成","9.18","3.61","1.09",
"1314","中石化","15.16","0.00","0.83",
"1315","達新","18.40","4.57","0.99",
"1316","上曜","12.26","0.00","0.86",
"1319","東陽","12.38","5.24","1.59",
"1321","大洋","22.59","5.46","1.31",
"1323","永裕","36.96","3.51","0.77",
"1324","地球","37.35","5.82","0.72",
"1325","恆大","21.39","1.73","0.88",
"1326","台化","10.00","9.68","1.66",
"1402","遠東新","13.11","5.76","1.53",
"1409","新纖","13.96","0.00","0.61",
"1410","南染","228.25","0.00","0.73",
"1413","宏洲","-","0.00","0.51",
"1414","東和","-","0.00","1.09",
"1416","廣豐","-","0.00","1.07",
"1417","嘉裕","-","0.00","0.69",
"1418","東華","-","0.00","0.75",
"1419","新紡","275.50","1.81","1.83",
"1423","利華","18.23","0.00","0.57",
"1432","大魯閣","-","0.00","1.23",
"1434","福懋","11.76","5.00","0.91",
"1435","中福","101.00","0.00","0.62",
"1436","華友聯","113.50","0.00","0.96",
"1437","勤益控","23.15","0.00","1.58",
"1438","三地開發","-","0.00","1.55",
"1439","雋揚","-","0.00","0.81",
"1440","南紡","-","0.00","1.02",
"1441","大東","-","0.00","0.94",
"1442","名軒","7.97","0.00","0.76",
"1443","立益物流","-","0.00","0.52",
"1444","力麗","-","0.00","0.54",
"1445","大宇","-","0.00","0.51",
"1446","宏和","-","0.00","0.60",
"1447","力鵬","23.21","0.00","0.78",
"1449","佳和","-","0.00","0.58",
"1451","年興","7.82","7.61","1.01",
"1452","宏益","-","0.00","0.58",
"1453","大將","-","0.00","0.42",
"1454","台富","-","0.00","0.56",
"1455","集盛","-","1.26","0.65",
"1456","怡華","-","0.00","0.82",
"1457","宜進","-","0.00","0.51",
"1459","聯發","-","0.00","0.76",
"1460","宏遠","46.00","0.00","0.64",
"1463","強盛","170.00","2.21","0.65",
"1464","得力","-","0.00","0.57",
"1465","偉全","7.73","7.44","0.59",
"1466","聚隆","7.14","0.00","0.99",
"1467","南緯","7.27","8.01","1.03",
"1468","昶和","-","0.00","1.06",
"1469","理隆","164.50","0.00","1.24",
"1470","大統新創","-","0.00","0.58",
"1471","首利","-","3.32","2.51",
"1472","三洋實業","-","0.00","0.54",
"1473","台南","11.84","5.14","2.28",
"1474","弘裕","11.52","5.05","0.74",
"1475","業旺","-","0.00","0.95",
"1476","儒鴻","9.15","9.27","1.40",
"1477","聚陽","12.57","5.42","3.76",
"1503","士電","21.84","3.61","1.65",
"1504","東元","15.53","3.72","0.83",
"1506","正道","-","0.00","1.15",
"1507","永大","14.96","5.06","1.03",
"1512","瑞利","41.70","7.30","0.80",
"1513","中興電","11.03","8.24","1.32",
"1514","亞力","21.94","2.53","0.65",
"1515","力山","-","0.00","1.00",
"1516","川飛","317.00","0.00","0.75",
"1517","利奇","27.02","0.97","1.38",
"1519","華城","11.75","1.92","1.52",
"1520","復盛","11.14","8.75","1.86",
"1521","大億","13.64","9.40","1.62",
"1522","堤維西","301.25","0.00","1.48",
"1523","開億","40.71","3.51","1.07",
"1524","耿鼎","33.91","3.22","1.38",
"1525","江申","8.33","5.91","0.98",
"1526","日馳","-","0.00","0.76",
"1527","鑽全","9.50","10.14","2.15",
"1528","恩德","9.08","4.63","1.25",
"1529","樂事綠能","-","0.00","0.53",
"1530","亞崴","12.58","5.23","4.03",
"1531","高林股","15.87","8.40","1.25",
"1532","勤美","16.32","2.60","2.64",
"1533","車王電","18.29","1.27","2.10",
"1535","中宇","14.12","4.00","1.90",
"1536","和大","20.37","4.75","3.01",
"1537","廣隆","34.30","1.28","2.35",
"1538","正峰","22.44","7.77","2.50",
"1539","巨庭","-","0.00","0.93",
"1540","喬福","11.27","4.28","2.35",
"1541","錩泰","-","0.00","1.00",
"1560","中砂","25.91","1.84","5.46",
"1601","台光","-","0.00","0.92",
"1603","華電","49.71","0.00","0.71",
"1604","聲寶","-","0.00","0.78",
"1605","華新","7.05","0.00","0.91",
"1606","歌林","18.65","0.00","0.86",
"1608","華榮","8.07","0.00","0.81",
"1609","大亞","13.93","1.92","1.21",
"1611","中電","10.96","5.81","1.23",
"1612","宏泰","10.06","4.55","1.19",
"1613","台一","12.83","0.00","0.97",
"1614","三洋電","16.67","6.25","1.45",
"1615","大山","8.53","0.00","1.00",
"1616","億泰","13.06","1.60","1.15",
"1617","榮星","13.24","1.78","0.78",
"1618","合機","22.59","3.41","0.62",
"1701","中化","21.70","6.09","0.86",
"1702","南僑","-","0.00","1.06",
"1704","榮化","11.24","6.51","1.75",
"1707","葡萄王","12.64","5.22","0.97",
"1708","東鹼","8.71","4.14","1.06",
"1709","和益","14.82","6.43","0.93",
"1710","東聯","8.90","10.90","1.34",
"1711","永光","29.84","2.70","1.37",
"1712","興農","17.33","1.92","0.84",
"1713","國化","12.50","3.70","0.93",
"1714","和桐","-","0.00","0.83",
"1715","萬洲","12.29","5.52","1.03",
"1716","永信","13.44","6.83","1.51",
"1717","長興","17.26","3.89","3.10",
"1718","中纖","-","0.00","0.64",
"1720","生達","9.31","7.94","1.22",
"1721","三晃","-","0.00","1.11",
"1722","台肥","26.44","3.85","1.15",
"1723","中碳","9.72","8.18","3.07",
"1724","台硝","20.34","5.85","1.28",
"1725","元禎","9.34","9.20","1.30",
"1726","永記","14.79","3.41","2.12",
"1727","中華化","14.10","7.88","0.83",
"1729","必翔","18.12","4.79","3.86",
"1730","花仙子","14.40","5.66","1.10",
"1731","美吾華","27.84","1.94","0.75",
"1732","毛寶","25.34","0.00","1.35",
"1733","五鼎","13.69","4.36","3.62",
"1734","杏輝","30.17","7.18","1.27",
"1735","日勝化","31.54","4.27","1.13",
"1736","喬山","29.06","1.56","10.25",
"1737","臺鹽","82.17","5.29","0.76",
"1802","台玻","18.18","4.37","1.33",
"1805","寶徠","6.22","0.00","1.76",
"1806","冠軍","12.82","0.00","1.08",
"1808","潤隆","5.77","1.89","2.47",
"1809","中釉","25.32","1.27","1.19",
"1810","和成","38.16","0.00","1.00",
"1902","台紙","-","0.00","0.62",
"1903","士紙","-","0.00","2.95",
"1904","正隆","16.76","4.03","0.84",
"1905","華紙","26.67","5.36","1.18",
"1906","寶隆","23.29","0.00","0.72",
"1907","永豐餘","18.18","6.54","0.99",
"1909","榮成","12.96","5.85","1.13",
"2002","中鋼","11.70","12.29","1.95",
"2006","東和鋼鐵","8.48","7.93","1.70",
"2007","燁興","-","0.00","0.69",
"2008","高興昌","-","0.00","1.15",
"2009","第一銅","7.99","1.84","1.24",
"2010","春源","13.81","11.72","0.88",
"2012","春雨","19.72","4.69","0.91",
"2013","中鋼構","10.40","4.46","0.88",
"2014","中鴻","-","0.00","1.69",
"2015","豐興","9.55","6.81","1.95",
"2017","官田鋼","-","0.00","0.65",
"2020","美亞","18.52","0.72","1.75",
"2022","聚亨","-","0.00","0.66",
"2023","燁輝","11.13","7.25","0.77",
"2024","志聯","21.79","0.00","0.74",
"2025","千興","25.68","0.00","1.16",
"2027","大成鋼","10.96","3.87","2.39",
"2028","威致","37.17","0.00","1.22",
"2029","盛餘","8.27","6.43","1.28",
"2030","彰源","9.11","7.34","1.47",
"2031","新光鋼","12.67","4.63","1.25",
"2032","新鋼","10.27","0.00","1.90",
"2033","佳大","27.17","10.41","0.80",
"2034","允強","9.71","3.49","2.61",
"2101","南港","15.03","10.08","2.49",
"2102","泰豐","12.45","4.14","1.14",
"2103","台橡","7.38","11.55","1.51",
"2104","國際中橡","17.88","2.97","1.57",
"2105","正新","19.88","4.50","1.91",
"2106","建大","33.66","2.92","1.39",
"2107","厚生","119.72","0.00","1.53",
"2108","南帝","12.82","6.28","1.35",
"2109","華豐","-","0.00","0.71",
"2201","裕隆","16.22","4.35","1.04",
"2204","中華","10.76","5.05","1.03",
"2206","三陽工業","13.07","4.69","1.30",
"2207","和泰車","11.69","7.24","2.34",
"2227","裕日車","12.94","7.60","2.19",
"2301","光寶科","15.83","5.40","2.16",
"2302","麗正","-","0.00","0.37",
"2303","聯電","12.68","2.31","1.37",
"2305","全友","-","0.00","0.73",
"2308","台達電","18.82","3.13","4.62",
"2311","日月光","9.84","0.00","2.75",
"2312","金寶","13.44","5.60","0.82",
"2313","華通","17.31","0.00","1.30",
"2314","台揚","17.18","0.00","1.24",
"2315","神達","10.43","4.81","2.11",
"2316","楠梓電","22.46","0.63","1.00",
"2317","鴻海","25.40","1.98","6.19",
"2321","東訊","9.77","5.50","1.02",
"2323","中環","-","0.00","0.65",
"2324","仁寶","12.46","5.78","1.62",
"2325","矽品","10.89","5.13","2.56",
"2327","國巨","21.89","0.00","1.27",
"2328","廣宇","62.34","1.17","5.10",
"2329","華泰","-","0.00","1.31",
"2330","台積電","13.83","3.71","3.82",
