"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","17.94","3.56","2.03",
"1102","亞泥","13.86","4.85","1.82",
"1103","嘉泥","25.86","0.00","1.22",
"1104","環泥","27.81","6.31","0.81",
"1108","幸福","96.67","3.88","1.09",
"1109","信大","19.34","5.08","0.82",
"1110","東泥","403.33","2.48","0.81",
"1201","味全","24.27","7.49","2.29",
"1203","味王","-","0.00","1.57",
"1210","大成","14.62","4.12","2.16",
"1213","大飲","630.00","0.00","1.12",
"1215","卜蜂","16.17","3.95","1.33",
"1216","統一","19.55","2.66","2.86",
"1217","愛之味","-","0.00","1.32",
"1218","泰山","30.00","0.00","0.94",
"1219","福壽","29.47","1.96","0.88",
"1220","台榮","-","0.00","1.10",
"1225","福懋油","18.98","0.00","0.89",
"1227","佳格","20.12","7.51","1.27",
"1229","聯華","9.67","5.25","0.81",
"1231","聯華食","14.81","4.27","0.80",
"1232","大統益","10.88","6.76","1.99",
"1233","天仁","19.26","4.21","2.21",
"1234","黑松","35.71","1.33","0.86",
"1235","興泰","25.17","2.26","1.27",
"1236","宏亞","13.76","3.60","1.24",
"1301","台塑","12.65","4.54","2.35",
"1303","南亞","12.47","5.43","2.59",
"1304","台聚","12.73","3.37","1.28",
"1305","華夏","-","0.00","0.96",
"1307","三芳","15.67","5.12","2.00",
"1308","亞聚","10.78","3.82","1.14",
"1309","台達化","15.38","0.00","0.75",
"1310","台苯","19.53","4.76","1.40",
"1311","福聚","10.44","5.83","1.31",
"1312","國喬","8.48","0.00","1.04",
"1313","聯成","8.68","5.88","1.16",
"1314","中石化","9.76","0.00","1.19",
"1315","達新","14.97","4.12","0.87",
"1316","上曜","-","0.00","0.59",
"1319","東陽","15.63","2.46","1.70",
"1321","大洋","-","0.96","1.55",
"1323","永裕","25.20","4.05","0.94",
"1324","地球","-","0.53","1.94",
"1325","恆大","14.15","2.41","0.91",
"1326","台化","10.46","5.75","1.85",
"1402","遠東新","18.60","3.87","2.12",
"1409","新纖","-","0.00","0.80",
"1410","南染","137.69","0.00","1.41",
"1413","宏洲","-","0.00","0.64",
"1414","東和","47.40","0.00","0.84",
"1416","廣豐","50.16","0.00","1.09",
"1417","嘉裕","-","0.00","0.73",
"1418","東華","-","0.00","0.82",
"1419","新紡","90.00","1.36","1.43",
"1423","利華","13.70","0.00","0.72",
"1432","大魯閣","1.33","0.00","0.49",
"1434","福懋","7.81","3.95","0.96",
"1435","中福","-","0.00","1.40",
"1436","華友聯","56.58","0.00","0.98",
"1437","勤益控","16.46","0.00","1.36",
"1438","三地開發","-","0.00","1.26",
"1439","雋揚","47.32","0.00","0.92",
"1440","南紡","15.00","1.62","1.00",
"1441","大東","157.50","0.00","0.94",
"1442","名軒","44.39","0.00","2.51",
"1443","立益物流","-","0.00","0.51",
"1444","力麗","21.14","0.00","0.88",
"1445","大宇","-","0.00","0.68",
"1446","宏和","13.78","0.00","0.80",
"1447","力鵬","20.40","0.00","0.81",
"1449","佳和","-","0.00","0.53",
"1451","年興","9.31","7.91","1.00",
"1452","宏益","10.24","2.79","0.75",
"1453","大將","-","0.00","0.39",
"1454","台富","-","0.00","0.58",
"1455","集盛","29.00","3.45","0.72",
"1456","怡華","-","0.00","0.68",
"1457","宜進","-","0.00","0.77",
"1459","聯發","10.39","1.35","1.12",
"1460","宏遠","30.60","1.63","0.83",
"1463","強盛","-","0.00","0.63",
"1464","得力","120.00","0.00","0.77",
"1465","偉全","49.20","4.88","0.68",
"1466","聚隆","7.74","0.00","1.09",
"1467","南緯","11.10","7.85","1.13",
"1468","昶和","-","0.00","1.29",
"1469","理隆","336.25","0.00","1.01",
"1470","大統新創","-","0.00","0.68",
"1471","首利","-","0.00","2.71",
"1472","三洋實業","-","0.00","0.49",
"1473","台南","10.22","7.92","1.73",
"1474","弘裕","16.27","5.21","0.77",
"1475","業旺","-","0.00","1.15",
"1476","儒鴻","10.57","10.22","1.27",
"1477","聚陽","10.26","5.41","3.84",
"1503","士電","18.78","3.55","1.68",
"1504","東元","10.48","4.02","0.89",
"1506","正道","-","0.00","1.75",
"1507","永大","12.80","2.87","1.33",
"1512","瑞利","12.78","4.03","0.99",
"1513","中興電","11.74","5.52","1.69",
"1514","亞力","36.67","2.07","0.99",
"1515","力山","32.93","0.00","0.84",
"1516","川飛","-","0.00","0.91",
"1517","利奇","20.39","3.82","1.36",
"1519","華城","15.10","3.27","2.99",
"1520","復盛","14.17","7.46","2.13",
"1521","大億","15.15","5.26","1.48",
"1522","堤維西","17.20","1.26","1.31",
"1523","開億","12.86","1.75","0.84",
