"98年07月30日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","24.51","3.79","1.54",
"1102","亞泥","16.78","6.02","1.47",
"1103","嘉泥","-","0.00","0.76",
"1104","環泥","-","0.00","0.86",
"1108","幸福","-","0.00","0.76",
"1109","信大","39.50","2.11","0.67",
"1110","東泥","-","0.00","0.83",
"1201","味全","35.66","0.00","4.05",
"1203","味王","5.51","3.94","1.29",
"1210","大成","16.27","4.82","1.69",
"1213","大飲","53.59","0.00","0.80",
"1215","卜蜂","16.65","4.33","1.38",
"1216","統一","28.58","2.57","2.13",
"1217","愛之味","37.08","0.00","1.33",
"1218","泰山","-","0.00","1.07",
"1219","福壽","-","0.00","0.91",
"1220","台榮","-","0.00","0.74",
"1225","福懋油","-","0.00","1.05",
"1227","佳格","13.66","4.68","1.87",
"1229","聯華","143.18","3.81","0.87",
"1231","聯華食","16.14","5.22","0.89",
"1232","大統益","11.67","7.00","1.98",
"1233","天仁","20.91","4.06","2.46",
"1234","黑松","38.95","1.79","0.95",
"1235","興泰","-","0.85","2.76",
"1236","宏亞","10.39","6.25","1.09",
"1301","台塑","22.03","4.43","1.84",
"1303","南亞","-","2.62","1.41",
"1304","台聚","-","0.00","1.08",
"1305","華夏","-","0.00","1.03",
"1307","三芳","9.74","5.42","1.65",
"1308","亞聚","21.20","4.91","0.99",
"1309","台達化","-","0.00","0.88",
"1310","台苯","-","0.00","1.22",
"1312","國喬","-","0.00","1.16",
"1313","聯成","-","1.40","0.87",
"1314","中石化","-","0.00","0.94",
"1315","達新","12.93","4.63","0.92",
"1316","上曜","-","0.00","0.49",
"1319","東陽","25.17","1.62","1.80",
"1321","大洋","-","0.00","2.38",
"1323","永裕","14.36","5.36","0.79",
"1324","地球","20.16","0.79","1.02",
"1325","恆大","14.64","2.44","1.62",
"1326","台化","-","2.32","1.59",
"1402","遠東新","62.71","2.70","1.94",
"1409","新纖","-","0.00","0.86",
"1410","南染","-","0.00","1.14",
"1413","宏洲","-","0.00","0.41",
"1414","東和","-","0.00","0.74",
"1416","廣豐","-","0.00","0.75",
"1417","嘉裕","-","0.00","0.64",
"1418","東華","-","0.00","0.65",
"1419","新紡","648.33","0.00","2.69",
"1423","利華","-","0.00","0.43",
"1432","大魯閣","-","0.00","0.66",
"1434","福懋","12.99","6.83","0.84",
"1435","中福","-","0.00","0.68",
"1436","華友聯","-","0.00","0.77",
"1437","勤益控","-","0.00","1.30",
"1438","三地開發","-","0.00","2.36",
"1439","雋揚","57.69","0.00","1.03",
"1440","南紡","-","0.00","0.89",
"1441","大東","-","0.00","1.22",
"1442","名軒","8.65","7.79","1.22",
"1443","立益物流","-","0.00","0.38",
"1444","力麗","-","0.00","0.64",
"1445","大宇","21.33","3.13","0.51",
"1446","宏和","-","0.00","0.57",
"1447","力鵬","-","0.00","1.08",
"1449","佳和","-","0.00","0.46",
"1451","年興","135.42","3.08","0.87",
"1452","宏益","-","0.00","0.56",
"1453","大將","-","0.00","0.65",
"1454","台富","87.71","3.26","0.56",
"1455","集盛","-","0.00","0.71",
"1456","怡華","-","0.00","0.30",
"1457","宜進","-","0.00","0.46",
"1459","聯發","-","0.00","1.01",
"1460","宏遠","-","0.00","0.59",
"1463","強盛","-","0.00","0.61",
"1464","得力","-","0.00","0.49",
"1465","偉全","13.67","5.51","0.53",
"1466","聚隆","-","0.00","0.65",
"1467","南緯","-","0.00","0.66",
"1468","昶和","-","0.00","1.00",
"1469","理隆","-","0.00","0.74",
"1470","大統新創","9.41","0.00","0.73",
"1471","首利","-","0.00","1.65",
"1472","三洋實業","-","0.00","0.41",
"1473","台南","19.91","6.44","0.80",
"1474","弘裕","38.75","0.00","0.48",
"1475","業旺","-","0.00","0.53",
"1476","儒鴻","10.54","3.60","1.08",
"1477","聚陽","23.32","3.65","2.59",
"1503","士電","27.08","1.54","1.54",
"1504","東元","18.02","3.42","0.79",
"1506","正道","-","0.00","2.04",
"1507","永大","11.77","4.69","0.91",
"1512","瑞利","-","0.00","0.72",
"1513","中興電","18.74","5.16","1.11",
"1514","亞力","-","0.00","0.60",
"1515","力山","-","0.00","0.98",
"1516","川飛","12.40","0.00","1.86",
"1517","利奇","9.33","6.25","0.91",
"1519","華城","10.98","8.17","2.23",
"1521","大億","21.80","4.73","1.24",
"1522","堤維西","17.33","2.88","1.12",
"1523","開億","14.55","2.07","0.95",
"1524","耿鼎","16.40","3.45","0.65",
"1525","江申","11.47","4.28","0.65",
"1526","日馳","123.20","0.00","0.95",
"1527","鑽全","7.52","4.40","1.84",
"1528","恩德","34.56","1.50","0.68",
"1529","樂事綠能","-","0.00","0.53",
"1530","亞崴","8.38","5.28","1.19",
"1531","高林股","9.48","4.76","0.68",
"1532","勤美","49.43","1.79","1.23",
"1533","車王電","-","0.00","0.91",
"1535","中宇","13.01","4.49","2.60",
"1536","和大","-","0.00","1.07",
"1537","廣隆","-","1.60","1.16",
"1538","正峰","6.17","8.85","1.53",
"1539","巨庭","-","0.00","0.48",
"1540","喬福","7.08","9.74","1.69",
"1541","錩泰","10.89","0.00","0.97",
"1560","中砂","-","3.04","1.64",
"1583","程泰","26.24","3.63","1.25",
"1603","華電","19.21","0.00","0.79",
"1604","聲寶","2.77","0.00","0.60",
"1605","華新","-","0.00","0.63",
"1608","華榮","-","0.00","0.75",
"1609","大亞","-","0.00","0.55",
"1611","中電","26.81","3.24","1.30",
"1612","宏泰","100.45","2.35","0.75",
"1613","台一","-","0.00","0.58",
"1614","三洋電","40.74","0.94","2.04",
"1615","大山","24.59","2.99","0.72",
"1616","億泰","-","0.00","0.52",
"1617","榮星","-","0.00","0.57",
"1618","合機","-","0.92","0.88",
