"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","18.65","3.89","1.45",
"1102","亞泥","14.39","6.16","1.42",
"1103","嘉泥","38.89","0.00","0.75",
"1104","環泥","68.00","0.00","0.85",
"1108","幸福","-","0.00","0.80",
"1109","信大","35.86","1.92","0.72",
"1110","東泥","125.00","0.00","0.76",
"1201","味全","38.20","0.00","4.49",
"1203","味王","4.90","3.98","1.29",
"1210","大成","16.75","4.74","1.79",
"1213","大飲","-","0.00","0.81",
"1215","卜蜂","20.06","4.42","1.28",
"1216","統一","25.70","2.27","2.37",
"1217","愛之味","30.85","0.00","1.19",
"1218","泰山","-","0.00","1.16",
"1219","福壽","73.82","0.00","0.96",
"1220","台榮","-","0.00","0.90",
"1225","福懋油","-","0.00","1.27",
"1227","佳格","16.52","3.82","2.40",
"1229","聯華","70.00","3.90","0.82",
"1231","聯華食","11.61","5.24","0.90",
"1232","大統益","13.18","6.37","2.25",
"1233","天仁","18.32","4.13","2.42",
"1234","黑松","31.00","1.61","1.04",
"1235","興泰","-","0.94","2.20",
"1236","宏亞","11.90","5.80","1.23",
"1301","台塑","77.18","3.81","1.91",
"1303","南亞","-","1.97","1.83",
"1304","台聚","26.37","0.00","1.22",
"1305","華夏","-","0.00","1.02",
"1307","三芳","12.47","4.41","2.22",
"1308","亞聚","13.98","3.85","1.13",
"1309","台達化","-","0.00","1.16",
"1310","台苯","37.64","0.00","1.25",
"1312","國喬","-","0.00","1.25",
"1313","聯成","-","1.19","0.97",
"1314","中石化","-","0.00","1.01",
"1315","達新","41.61","4.29","0.91",
"1316","上曜","41.20","0.00","0.67",
"1319","東陽","26.62","1.03","2.73",
"1321","大洋","-","0.00","1.97",
"1323","永裕","18.13","3.09","1.37",
"1324","地球","19.76","0.60","1.31",
"1325","恆大","20.76","2.08","1.90",
"1326","台化","-","1.78","1.77",
"1402","遠東新","36.48","2.61","2.02",
"1409","新纖","90.20","0.00","0.75",
"1410","南染","398.75","0.00","1.26",
"1414","東和","-","0.00","0.74",
"1416","廣豐","-","0.00","1.07",
"1417","嘉裕","36.87","0.00","0.78",
"1418","東華","32.63","0.00","1.48",
"1419","新紡","250.71","0.00","2.07",
"1423","利華","-","0.00","0.56",
"1432","大魯閣","-","0.00","0.88",
"1434","福懋","-","6.33","0.80",
"1435","中福","-","0.00","0.96",
"1436","華友聯","-","0.00","0.83",
"1437","勤益控","-","0.00","1.30",
"1438","三地開發","-","0.00","11.25",
"1439","雋揚","84.52","0.00","1.78",
"1440","南紡","-","0.00","0.82",
"1441","大東","-","0.00","1.10",
"1442","名軒","12.48","7.95","1.23",
"1443","立益物流","-","0.00","0.45",
"1444","力麗","-","0.00","0.74",
"1445","大宇","35.15","2.84","0.55",
"1446","宏和","34.91","0.00","0.57",
"1447","力鵬","-","0.00","1.40",
"1451","年興","14.44","2.96","0.85",
"1452","宏益","67.33","0.00","0.59",
"1453","大將","-","0.00","0.77",
"1454","台富","-","3.20","0.57",
"1455","集盛","-","0.00","1.12",
"1456","怡華","-","0.00","0.44",
"1457","宜進","-","0.00","0.58",
"1459","聯發","-","0.00","0.93",
"1460","宏遠","-","0.00","0.61",
"1463","強盛","-","0.00","1.06",
"1464","得力","-","0.00","0.57",
"1465","偉全","-","5.45","0.57",
"1466","聚隆","-","0.00","0.99",
"1467","南緯","-","0.00","0.75",
"1468","昶和","-","0.00","1.04",
"1469","理隆","-","0.00","0.88",
"1470","大統新創","15.48","0.00","1.01",
"1471","首利","-","0.00","3.00",
"1472","三洋實業","-","0.00","0.66",
"1473","台南","24.63","5.03","1.13",
"1474","弘裕","45.50","0.00","0.50",
"1475","業旺","-","0.00","1.42",
"1476","儒鴻","9.31","3.07","1.26",
"1477","聚陽","17.03","3.38","2.69",
"1503","士電","6.48","1.50","1.34",
"1504","東元","19.30","3.65","0.72",
"1506","正道","-","0.00","2.08",
"1507","永大","12.05","4.01","1.09",
"1512","瑞利","-","0.00","0.91",
"1513","中興電","23.18","4.47","1.28",
"1514","亞力","-","0.00","1.41",
"1515","力山","-","0.00","1.20",
"1516","川飛","-","0.00","1.50",
"1517","利奇","13.27","6.51","0.91",
"1519","華城","16.19","7.94","2.66",
"1521","大億","24.13","2.06","2.78",
"1522","堤維西","29.44","2.08","1.57",
"1523","開億","430.00","1.33","1.36",
"1524","耿鼎","-","1.97","1.18",
"1525","江申","23.59","1.45","1.97",
"1526","日馳","-","0.00","0.97",
"1527","鑽全","17.95","3.67","2.22",
"1528","恩德","-","1.31","0.80",
"1529","樂事綠能","-","0.00","0.71",
"1530","亞崴","51.08","4.61","1.61",
"1531","高林股","62.22","4.17","0.84",
"1532","勤美","4.52","0.94","1.28",
"1533","車王電","-","0.00","1.46",
"1535","中宇","14.42","4.23","2.77",
"1536","和大","-","0.00","1.36",
"1537","廣隆","19.68","0.89","1.88",
"1538","正峰","-","6.21","3.07",
"1539","巨庭","-","0.00","0.67",
"1540","喬福","9.16","10.14","1.89",
"1541","錩泰","10.35","0.00","1.75",
"1560","中砂","-","3.06","1.74",
"1583","程泰","-","3.70","1.31",
"1603","華電","11.81","0.00","1.09",
"1604","聲寶","2.66","0.00","0.60",
"1605","華新","-","0.00","0.63",
"1608","華榮","-","0.00","0.96",
"1609","大亞","-","0.00","0.68",
"1611","中電","91.48","2.43","1.79",
"1612","宏泰","105.77","1.89","0.91",
"1613","台一","-","0.00","0.80",
"1614","三洋電","44.00","0.94","1.94",
"1615","大山","26.20","1.91","1.03",
"1616","億泰","-","0.00","0.64",
"1617","榮星","-","0.00","0.60",
"1618","合機","-","0.91","0.54",
"1701","中化","54.02","0.80","1.76",
"1702","南僑","24.65","0.00","2.63",
"1704","榮化","11.89","5.21","1.68",
"1707","葡萄王","21.43","2.06","3.55",
"1708","東鹼","26.92","4.64","1.55",
"1709","和益","29.88","3.89","0.94",
"1710","東聯","46.48","3.98","1.55",
"1711","永光","139.20","0.57","2.53",
"1712","興農","19.72","5.63","1.10",
"1713","國化","-","0.87","0.80",
"1714","和桐","17.50","3.49","1.33",
"1715","萬洲","14.32","1.23","0.69",
"1716","永信","18.14","4.05","1.85",
"1717","長興","10.18","5.02","1.62",
"1718","中纖","-","0.00","0.65",
"1720","生達","16.40","5.23","1.73",
"1722","台肥","167.69","1.65","2.16",
"1723","中碳","17.19","5.42","4.33",
"1724","台硝","27.09","5.67","1.01",
"1725","元禎","21.25","0.00","1.34",
"1726","永記","12.91","4.08","1.23",
"1727","中華化","40.71","4.68","1.32",
"1729","必翔","759.00","1.30","4.82",
"1730","花仙子","15.40","2.90","1.36",
"1731","美吾華","34.50","1.74","1.16",
"1732","毛寶","31.58","0.00","1.54",
"1733","五鼎","19.88","4.64","4.53",
"1734","杏輝","32.83","1.02","1.98",
"1735","日勝化","18.43","0.00","1.16",
"1736","喬山","-","0.97","2.14",
"1737","臺鹽","39.42","0.00","0.87",
"1773","勝一","16.90","4.44","1.63",
"1802","台玻","-","1.95","1.30",
"1805","寶徠","-","0.00","1.69",
"1806","冠軍","32.42","0.70","1.50",
"1808","潤隆","8.53","9.38","1.42",
"1809","中釉","16.59","0.00","1.42",
"1810","和成","-","0.00","0.75",
"1902","台紙","-","0.00","0.64",
"1903","士紙","-","0.00","4.51",
"1904","正隆","60.45","0.00","0.83",
"1905","華紙","-","0.93","1.25",
"1906","寶隆","-","0.00","0.67",
"1907","永豐餘","-","0.00","1.04",
"1909","榮成","-","0.00","0.93",
