"107年04月13日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","3.80","105","21.34","1.19","106/4",
"1102","亞泥","4.12","106","17.88","0.77","106/4",
"1103","嘉泥","4.22","106","8.53","0.44","106/4",
"1104","環泥","4.95","106","10.28","0.85","106/4",
"1108","幸福","7.82","105","-","0.70","106/4",
"1109","信大","0.73","106","9.96","0.87","106/4",
"1110","東泥","0.71","106","127.27","0.93","106/4",
"1201","味全","0.00","105","18.40","2.36","106/4",
"1203","味王","5.00","106","13.98","1.36","106/4",
"1210","大成","4.30","105","10.66","1.49","106/4",
"1213","大飲","0.00","105","375.00","1.22","106/4",
"1215","卜蜂","4.75","105","11.81","2.54","106/4",
"1216","統一","7.78","106","10.09","3.35","106/4",
"1217","愛之味","0.00","105","28.22","0.70","106/4",
"1218","泰山","2.29","106","18.76","1.56","106/4",
"1219","福壽","2.13","105","42.73","1.55","106/4",
"1220","台榮","3.42","106","26.59","0.93","106/4",
"1225","福懋油","1.70","106","65.04","5.03","106/4",
"1227","佳格","2.95","106","28.33","4.16","106/4",
"1229","聯華","7.35","106","12.25","1.44","106/4",
"1231","聯華食","5.16","106","13.74","1.79","106/4",
"1232","大統益","5.30","106","18.45","4.00","106/4",
"1233","天仁","5.94","106","19.54","2.29","106/4",
"1234","黑松","4.79","106","23.19","0.72","106/4",
"1235","興泰","2.82","106","6.79","0.50","106/4",
"1236","宏亞","0.56","106","356.00","1.10","106/4",
"1256","鮮活果汁-KY","2.94","106","18.24","3.51","106/4",
"1262","綠悅-KY","0.75","106","8.53","0.60","106/4",
"1301","台塑","5.35","106","13.72","1.96","106/4",
"1303","南亞","6.06","106","12.24","1.88","106/4",
"1304","台聚","3.37","106","14.01","0.86","106/4",
"1305","華夏","5.42","106","12.87","2.09","106/4",
"1307","三芳","5.19","106","14.43","1.55","106/4",
"1308","亞聚","4.95","106","16.70","0.96","106/4",
"1309","台達化","0.00","105","8.17","1.05","106/4",
"1310","台苯","7.37","106","10.85","1.57","106/4",
"1312","國喬","3.13","106","8.94","1.42","106/4",
"1313","聯成","8.87","106","10.10","1.11","106/4",
"1314","中石化","0.00","106","5.69","0.56","106/4",
"1315","達新","4.08","106","29.94","0.70","106/4",
"1316","上曜","9.69","106","7.85","1.50","106/4",
"1319","東陽","3.75","106","13.79","1.58","106/4",
"1321","大洋","0.00","105","-","1.25","106/4",
"1323","永裕","3.70","106","12.58","1.75","106/4",
"1324","地球","3.08","105","16.25","0.95","106/4",
"1325","恆大","1.94","106","35.29","0.91","106/4",
"1326","台化","6.36","106","11.79","1.79","106/4",
"1337","再生-KY","0.60","105","17.28","0.32","106/4",
"1338","廣華-KY","4.76","106","11.35","1.35","106/4",
"1339","昭輝","5.03","106","10.70","0.93","106/4",
"1340","勝悅-KY","4.80","105","6.94","0.88","106/4",
"1402","遠東新","4.50","106","17.65","0.73","106/4",
"1409","新纖","5.02","106","16.62","0.59","106/4",
"1410","南染","5.91","106","18.52","1.42","106/4",
"1413","宏洲","0.00","105","15.11","1.96","106/4",
"1414","東和","2.51","105","19.41","0.56","106/4",
"1416","廣豐","6.70","106","14.92","0.79","106/4",
"1417","嘉裕","0.00","105","-","0.50","106/4",
"1418","東華","0.00","105","-","5.12","106/4",
"1419","新紡","7.77","106","11.57","1.56","106/4",
"1423","利華","0.00","105","41.11","0.73","106/4",
"1432","大魯閣","0.00","105","-","0.98","106/4",
"1434","福懋","5.81","106","12.87","0.79","106/4",
"1435","中福","0.00","105","585.00","0.78","106/4",
"1436","華友聯","7.59","106","12.56","1.23","106/4",
"1437","勤益控","5.49","106","11.38","0.66","106/4",
"1438","三地開發","0.00","105","-","1.39","106/4",
"1439","雋揚","1.29","105","-","1.87","106/4",
"1440","南紡","2.69","106","29.78","0.89","106/4",
"1441","大東","0.00","105","-","1.85","106/4",
"1442","名軒","9.05","106","10.64","1.06","106/4",
"1443","立益物流","0.00","105","-","0.92","106/4",
"1444","力麗","0.00","105","-","0.97","106/4",
"1445","大宇","2.36","106","94.11","0.63","106/4",
"1446","宏和","1.32","106","-","1.86","106/4",
"1447","力鵬","0.00","105","-","0.69","106/4",
"1449","佳和","0.00","105","13.09","1.03","106/4",
"1451","年興","5.98","106","17.68","0.69","106/4",
"1452","宏益","6.59","106","13.04","1.14","106/4",
"1453","大將","0.00","105","-","0.92","106/4",
"1454","台富","2.39","106","59.86","0.69","106/4",
"1455","集盛","3.83","106","17.71","0.82","106/4",
"1456","怡華","0.00","105","23.73","0.78","106/4",
"1457","宜進","4.91","106","5.54","0.86","106/4",
"1459","聯發","1.07","106","31.27","0.86","106/4",
"1460","宏遠","1.52","106","28.09","1.24","106/4",
"1463","強盛","12.85","106","6.71","1.52","106/4",
"1464","得力","8.59","106","23.06","1.72","106/4",
"1465","偉全","2.68","106","59.60","0.94","106/4",
"1466","聚隆","0.00","105","-","0.72","106/4",
"1467","南緯","0.00","105","-","1.20","106/4",
"1468","昶和","0.00","105","-","1.60","106/4",
"1469","理隆","0.00","105","-","1.00","106/4",
"1470","大統新創","2.78","106","36.73","1.63","106/4",
"1471","首利","0.00","105","-","0.83","106/4",
"1472","三洋實業","0.00","105","-","3.12","106/4",
"1473","台南","2.11","106","36.95","0.91","106/4",
"1474","弘裕","5.00","106","14.29","0.83","106/4",
"1475","業旺","0.00","105","-","3.98","106/4",
"1476","儒鴻","2.57","106","33.27","6.74","106/4",
"1477","聚陽","4.27","106","22.88","3.50","106/4",
"1503","士電","3.12","106","16.33","0.99","106/4",
"1504","東元","3.52","106","15.67","0.93","106/4",
"1506","正道","0.00","105","-","2.09","106/4",
"1507","永大","3.71","106","19.53","1.90","106/4",
"1512","瑞利","0.00","105","-","3.42","106/4",
"1513","中興電","4.46","106","18.82","1.27","106/4",
"1514","亞力","3.13","106","27.59","1.18","106/4",
"1515","力山","2.56","106","31.44","3.48","106/4",
"1516","川飛","2.58","106","34.55","1.64","106/4",
"1517","利奇","1.87","105","-","0.75","106/4",
"1519","華城","1.59","106","70.00","2.11","106/4",
"1521","大億","6.36","106","12.49","3.22","106/4",
"1522","堤維西","5.12","106","14.74","1.55","106/4",
"1524","耿鼎","4.23","106","11.58","0.89","106/4",
"1525","江申","2.76","106","11.79","1.64","106/4",
"1526","日馳","1.61","106","22.95","4.09","106/4",
"1527","鑽全","7.81","105","35.47","2.43","106/4",
"1528","恩德","3.14","106","28.91","1.22","106/4",
"1529","樂事綠能","0.00","105","36.60","3.36","106/4",
"1530","亞崴","3.77","106","18.11","1.16","106/4",
"1531","高林股","3.50","106","26.88","1.10","106/4",
"1532","勤美","5.00","106","18.99","0.99","106/4",
"1533","車王電","0.79","106","32.87","1.65","106/4",
"1535","中宇","2.76","106","29.97","1.83","106/4",
"1536","和大","2.90","106","27.44","5.03","106/4",
"1537","廣隆","6.48","106","13.29","3.30","106/4",
"1538","正峰","0.00","105","-","1.07","106/4",
"1539","巨庭","5.67","106","15.09","1.05","106/4",
"1540","喬福","3.86","106","28.80","0.97","106/4",
"1541","錩泰","3.75","106","23.42","2.76","106/4",
"1558","伸興","6.56","106","14.92","1.79","106/4",
"1560","中砂","4.21","106","15.98","2.89","106/4",
"1568","倉佑","2.63","106","16.34","1.97","106/4",
"1582","信錦","7.56","106","12.54","1.83","106/4",
"1583","程泰","3.91","106","18.60","1.72","106/4",
"1589","永冠-KY","1.67","106","39.47","1.13","106/4",
"1590","亞德客-KY","1.26","106","33.62","6.96","106/4",
"1592","英瑞-KY","3.15","106","11.53","1.01","106/4",
"1598","岱宇","1.26","106","-","2.00","106/4",
"1603","華電","1.86","105","15.23","0.84","106/4",
"1604","聲寶","1.47","106","20.07","0.96","106/4",
"1605","華新","4.95","106","10.25","0.95","106/4",
"1608","華榮","6.06","106","11.59","0.71","106/4",
"1609","大亞","0.00","105","19.39","1.35","106/4",
"1611","中電","8.06","106","8.00","1.00","106/4",
"1612","宏泰","4.22","106","18.23","0.80","106/4",
"1614","三洋電","2.99","106","28.54","1.19","106/4",
"1615","大山","4.44","105","12.90","1.19","106/4",
"1616","億泰","0.00","105","-","0.75","106/4",
"1617","榮星","4.23","106","17.75","1.23","106/4",
"1618","合機","3.03","105","28.31","0.58","106/4",
"1626","艾美特-KY","0.43","106","773.33","1.10","106/4",
"1701","中化","2.99","106","19.10","1.07","106/4",
"1702","南僑","4.38","106","15.36","2.66","106/4",
"1704","榮化","6.46","106","10.72","1.42","106/4",
"1707","葡萄王","2.56","106","26.10","6.79","106/4",
"1708","東鹼","3.28","105","12.48","1.11","106/4",
"1709","和益","8.00","106","14.65","1.24","106/4",
