"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","8.85","107","10.81","1.24","108/1",
"1102","亞泥","5.96","107","13.02","1.10","108/1",
"1103","嘉泥","5.99","107","15.90","0.52","108/1",
"1104","環泥","5.10","107","10.59","0.71","108/1",
"1108","幸福","0.00","106","-","0.66","108/1",
"1109","信大","4.22","107","7.67","1.01","108/1",
"1110","東泥","0.60","107","118.93","1.10","108/1",
"1201","味全","2.44","107","8.38","2.25","108/1",
"1203","味王","3.80","107","13.08","1.28","108/1",
"1210","大成","5.07","107","17.30","1.67","108/1",
"1215","卜蜂","4.68","107","18.47","2.35","108/1",
"1216","統一","3.11","107","24.81","4.03","108/1",
"1217","愛之味","0.00","106","141.20","0.62","108/1",
"1218","泰山","3.86","107","20.54","1.55","108/1",
"1219","福壽","0.56","107","-","1.52","108/1",
"1220","台榮","4.09","107","28.85","0.89","108/1",
"1225","福懋油","1.58","107","63.22","4.88","108/1",
"1227","佳格","4.12","107","18.39","3.29","108/1",
"1229","聯華","5.74","107","12.84","1.42","108/1",
"1231","聯華食","5.15","107","14.36","2.10","108/1",
"1232","大統益","4.24","107","18.76","4.52","108/1",
"1233","天仁","4.91","107","19.45","2.15","108/1",
"1234","黑松","4.93","107","17.54","0.73","108/1",
"1235","興泰","4.55","107","38.73","0.51","108/1",
"1236","宏亞","2.99","107","-","0.80","108/1",
"1256","鮮活果汁-KY","3.97","107","11.95","2.97","108/1",
"1262","綠悅-KY","1.09","106","-","0.44","108/1",
"1301","台塑","5.16","107","15.63","1.92","108/1",
"1303","南亞","6.35","107","14.08","1.61","108/1",
"1304","台聚","2.55","107","23.04","0.67","108/1",
"1305","華夏","8.28","107","12.68","1.36","108/1",
"1307","三芳","2.04","107","32.30","1.17","108/1",
"1308","亞聚","2.18","107","22.54","0.77","108/1",
"1309","台達化","3.88","107","15.85","0.80","108/1",
"1310","台苯","8.32","107","10.98","1.65","108/1",
"1312","國喬","4.96","106","7.25","0.80","108/1",
"1313","聯成","4.44","107","80.36","0.68","108/1",
"1314","中石化","8.81","107","8.80","0.45","108/1",
"1315","達新","3.85","107","24.53","0.75","108/1",
"1316","上曜","12.52","107","-","1.20","108/1",
"1319","東陽","3.95","107","13.19","1.18","108/1",
"1321","大洋","0.00","106","-","1.13","108/1",
"1323","永裕","5.31","107","10.21","1.48","108/1",
"1324","地球","2.67","107","281.25","0.84","108/1",
"1325","恆大","3.13","107","21.62","0.79","108/1",
"1326","台化","5.56","107","14.67","1.67","108/1",
"1337","再生-KY","0.45","106","-","0.23","108/1",
"1338","廣華-KY","5.38","107","11.95","0.81","108/1",
"1339","昭輝","5.64","107","7.29","0.77","108/1",
"1340","勝悅-KY","6.69","107","105.59","0.37","108/1",
"1341","富林-KY","5.49","107","17.90","2.32","108/1",
"1402","遠東新","5.44","107","15.32","0.85","108/1",
"1409","新纖","6.49","107","8.24","0.72","108/1",
"1410","南染","4.81","107","19.46","1.59","108/1",
"1413","宏洲","0.00","107","7.08","1.38","108/1",
"1414","東和","2.92","107","68.40","0.49","108/1",
"1416","廣豐","7.72","107","15.71","0.68","108/1",
"1417","嘉裕","0.00","106","-","0.65","108/1",
"1418","東華","0.00","106","-","0.52","108/1",
"1419","新紡","2.02","107","37.50","1.44","108/1",
"1423","利華","0.00","106","15.00","0.60","108/1",
"1432","大魯閣","0.00","106","-","0.74","108/1",
"1434","福懋","5.44","107","13.31","0.90","108/1",
"1435","中福","0.00","106","133.50","0.74","108/1",
"1436","華友聯","9.85","107","10.68","1.21","108/1",
"1437","勤益控","2.39","107","14.41","0.70","108/1",
"1438","三地開發","0.00","107","-","1.92","108/1",
"1439","雋揚","0.00","106","-","1.58","108/1",
"1440","南紡","3.31","107","21.61","0.79","108/1",
"1441","大東","22.68","107","1.25","0.82","108/1",
"1442","名軒","6.06","107","150.00","0.95","108/1",
"1443","立益物流","0.00","106","-","0.94","108/1",
"1444","力麗","4.02","107","18.43","0.87","108/1",
"1445","大宇","2.62","107","-","0.58","108/1",
"1446","宏和","1.02","107","-","2.52","108/1",
"1447","力鵬","2.68","107","20.19","0.62","108/1",
"1449","佳和","0.00","106","18.25","0.77","108/1",
"1451","年興","7.14","107","11.29","0.72","108/1",
"1452","宏益","6.73","107","14.15","1.08","108/1",
"1453","大將","10.96","107","-","0.62","108/1",
"1454","台富","2.40","107","36.05","0.65","108/1",
"1455","集盛","2.27","107","-","0.71","108/1",
"1456","怡華","0.00","106","61.60","0.75","108/1",
"1457","宜進","4.81","107","8.93","0.74","108/1",
"1459","聯發","1.27","106","-","0.80","108/1",
"1460","宏遠","1.75","107","42.41","1.04","108/1",
"1463","強盛","8.95","107","12.52","1.09","108/1",
"1464","得力","5.58","107","26.90","1.95","108/1",
"1465","偉全","1.99","107","4.06","0.77","108/1",
"1466","聚隆","0.00","106","-","0.60","108/1",
"1467","南緯","0.00","106","40.52","0.91","108/1",
"1468","昶和","0.00","106","22.22","1.49","108/1",
"1470","大統新創","1.77","107","30.89","2.02","108/1",
"1471","首利","0.00","106","-","0.70","108/1",
"1472","三洋實業","0.00","106","-","4.38","108/1",
"1473","台南","1.70","107","18.85","1.08","108/1",
"1474","弘裕","2.99","107","17.95","0.68","108/1",
"1475","業旺","0.00","106","-","2.90","108/1",
"1476","儒鴻","2.72","107","25.31","6.23","108/1",
"1477","聚陽","3.52","107","25.22","4.55","108/1",
"1503","士電","3.26","107","14.82","1.01","108/1",
"1504","東元","3.92","107","13.74","0.80","108/1",
"1506","正道","0.00","106","-","2.05","108/1",
"1507","永大","2.64","107","61.91","2.40","108/1",
"1512","瑞利","0.00","106","-","1.53","108/1",
"1513","中興電","4.76","107","15.00","1.14","108/1",
"1514","亞力","6.04","107","14.27","1.13","108/1",
"1515","力山","2.42","107","12.37","4.45","108/1",
"1516","川飛","3.02","107","39.10","1.32","108/1",
"1517","利奇","2.60","107","15.50","0.67","108/1",
"1519","華城","1.13","107","25.19","2.15","108/1",
"1521","大億","6.11","107","14.07","2.41","108/1",
"1522","堤維西","4.79","107","14.60","1.26","108/1",
"1524","耿鼎","4.78","107","9.17","0.81","108/1",
"1525","江申","3.22","107","9.05","0.95","108/1",
"1526","日馳","3.35","107","14.63","1.79","108/1",
"1527","鑽全","7.05","107","6.03","1.92","108/1",
"1528","恩德","2.16","107","92.40","0.71","108/1",
"1529","樂事綠能","1.30","107","24.44","1.44","108/1",
"1530","亞崴","6.61","107","8.77","0.96","108/1",
"1531","高林股","3.13","107","20.51","0.77","108/1",
"1532","勤美","7.76","107","8.61","1.03","108/1",
"1533","車王電","2.32","107","15.56","1.37","108/1",
"1535","中宇","3.41","107","46.14","1.31","108/1",
"1536","和大","3.70","107","20.98","3.44","108/1",
"1537","廣隆","6.12","107","12.85","3.19","108/1",
"1538","正峰","0.00","106","-","0.84","108/1",
"1539","巨庭","7.50","107","4.36","1.12","108/1",
"1540","喬福","7.03","107","10.12","1.21","108/1",
"1541","錩泰","2.58","107","25.53","2.65","108/1",
"1558","伸興","7.43","107","8.46","1.83","108/1",
"1560","中砂","5.87","107","12.52","1.92","108/1",
"1568","倉佑","3.30","107","41.04","1.25","108/1",
"1582","信錦","8.01","107","10.34","1.72","108/1",
"1583","程泰","5.23","107","9.90","1.36","108/1",
"1587","吉茂","1.61","107","23.61","1.00","108/1",
"1589","永冠-KY","2.54","106","-","0.79","108/1",
"1590","亞德客-KY","1.75","107","21.71","3.16","108/1",
"1592","英瑞-KY","0.00","107","-","0.87","108/1",
"1598","岱宇","1.57","107","15.02","2.17","108/1",
"1604","聲寶","8.00","107","9.83","1.00","108/1",
"1605","華新","8.08","107","5.89","0.62","108/1",
"1608","華榮","7.19","106","-","0.67","108/1",
"1609","大亞","6.31","107","19.82","0.91","108/1",
"1611","中電","1.62","107","33.14","0.81","108/1",
"1612","宏泰","3.18","107","20.10","0.70","108/1",
"1614","三洋電","3.03","107","33.81","1.35","108/1",
"1615","大山","7.89","107","10.00","1.12","108/1",
"1616","億泰","0.00","106","-","0.52","108/1",
"1617","榮星","7.46","107","9.37","1.07","108/1",
"1618","合機","3.58","107","-","0.51","108/1",
"1626","艾美特-KY","0.00","107","35.43","1.13","108/1",
"1701","中化","4.22","107","16.34","0.96","108/1",
"1702","南僑","4.92","107","13.73","2.11","108/1",
"1707","葡萄王","2.98","107","22.80","4.92","108/1",
"1708","東鹼","3.82","107","17.12","0.89","108/1",
"1709","和益","3.75","107","19.35","0.93","108/1",
"1710","東聯","6.92","107","16.43","1.43","108/1",
"1711","永光","2.96","107","21.95","1.18","108/1",
"1712","興農","6.05","107","11.56","1.26","108/1",
"1713","國化","3.75","107","28.71","1.23","108/1",
"1714","和桐","2.02","107","26.54","0.66","108/1",
"1717","長興","3.35","107","16.27","1.48","108/1",
"1718","中纖","8.23","107","15.18","0.49","108/1",
"1720","生達","4.53","107","15.47","1.58","108/1",
"1721","三晃","2.18","106","38.17","0.87","108/1",
"1722","台肥","4.60","107","19.43","0.91","108/1",
"1723","中碳","4.00","107","19.54","4.14","108/1",
"1724","台硝","3.79","107","16.92","0.84","108/1",
"1725","元禎","5.68","107","12.44","0.82","108/1",
"1726","永記","4.72","107","17.10","1.39","108/1",
"1727","中華化","4.55","107","22.37","0.97","108/1",
"1730","花仙子","3.91","107","14.88","3.39","108/1",
"1731","美吾華","3.73","107","20.00","1.01","108/1",
"1732","毛寶","0.00","106","43.54","1.02","108/1",
"1733","五鼎","2.73","107","31.15","1.86","108/1",
"1734","杏輝","0.52","107","483.75","1.10","108/1",
"1735","日勝化","0.94","107","49.84","1.12","108/1",
"1736","喬山","0.97","107","33.12","2.37","108/1",
"1737","臺鹽","5.33","107","14.70","1.08","108/1",
"1760","寶齡富錦","1.99","107","35.95","4.98","108/1",
"1762","中化生","4.52","107","7.59","1.01","108/1",
"1773","勝一","6.13","107","13.49","2.44","108/1",
"1776","展宇","5.23","107","-","1.03","108/1",
"1783","和康生","2.76","107","30.75","2.01","108/1",
"1786","科妍","2.54","107","45.00","2.69","108/1",
"1789","神隆","1.99","107","50.31","1.80","108/1",
"1802","台玻","2.50","107","-","0.78","108/1",
"1805","寶徠","0.00","106","-","1.35","108/1",
"1806","冠軍","0.00","106","-","0.48","108/1",
"1808","潤隆","12.52","107","15.36","2.66","108/1",
"1809","中釉","1.34","107","1,495.00","0.80","108/1",
"1810","和成","2.54","107","-","0.52","108/1",
"1817","凱撒衛","5.95","107","11.75","1.60","108/1",
"1902","台紙","1.92","107","23.95","1.17","108/1",
"1903","士紙","0.00","106","-","3.12","108/1",
"1904","正隆","5.53","107","9.95","0.96","108/1",
"1905","華紙","3.66","107","21.75","0.66","108/1",
"1906","寶隆","3.72","107","3.88","0.46","108/1",
"1907","永豐餘","5.15","107","13.39","0.51","108/1",
"1909","榮成","3.47","107","20.28","0.74","108/1",
"2002","中鋼","4.07","107","16.18","1.20","108/1",
"2006","東和鋼鐵","5.25","107","24.05","0.94","108/1",
"2007","燁興","0.00","106","-","0.81","108/1",
"2008","高興昌","0.00","106","-","1.06","108/1",
"2009","第一銅","0.00","106","59.41","1.00","108/1",
"2010","春源","5.26","107","34.35","0.66","108/1",
"2012","春雨","5.58","107","12.73","1.58","108/1",
"2013","中鋼構","1.84","107","44.91","1.16","108/1",
"2014","中鴻","0.97","107","6.20","0.99","108/1",
"2015","豐興","6.39","107","12.35","1.88","108/1",
"2017","官田鋼","5.02","107","34.65","0.66","108/1",
"2020","美亞","8.54","107","8.45","1.12","108/1",
"2022","聚亨","0.00","106","-","0.64","108/1",
"2023","燁輝","3.26","107","-","0.63","108/1",
"2024","志聯","5.61","107","16.46","0.87","108/1",
"2025","千興","0.00","106","-","0.62","108/1",
"2027","大成鋼","6.52","107","9.50","1.78","108/1",
"2028","威致","0.00","106","7.52","1.29","108/1",
"2029","盛餘","1.34","107","97.89","0.69","108/1",
"2030","彰源","7.87","107","7.99","0.86","108/1",
"2031","新光鋼","4.82","107","51.83","1.39","108/1",
"2032","新鋼","1.48","107","58.67","0.69","108/1",
"2033","佳大","2.06","107","97.00","0.80","108/1",
"2034","允強","6.73","107","11.24","1.34","108/1",
"2038","海光","0.00","106","-","0.40","108/1",
"2049","上銀","3.01","107","15.19","2.90","108/1",
"2059","川湖","3.19","107","14.92","2.69","108/1",
"2062","橋椿","0.86","107","41.55","1.03","108/1",
"2069","運錩","10.53","107","4.49","0.97","108/1",
"2101","南港","0.58","107","75.43","2.59","108/1",
"2102","泰豐","0.00","106","-","0.69","108/1",
"2103","台橡","3.58","107","18.27","1.42","108/1",
"2104","國際中橡","7.71","107","10.55","1.00","108/1",
"2105","正新","2.76","107","38.64","1.58","108/1",
"2106","建大","3.45","107","31.52","1.31","108/1",
"2107","厚生","3.76","107","23.51","0.60","108/1",
"2108","南帝","5.22","107","9.91","2.00","108/1",
"2109","華豐","0.00","106","-","1.38","108/1",
"2114","鑫永銓","6.37","107","13.89","2.43","108/1",
"2115","六暉-KY","3.86","107","13.65","1.36","108/1",
"2201","裕隆","3.12","107","33.59","0.46","108/1",
"2204","中華","6.23","107","12.47","0.71","108/1",
"2206","三陽工業","4.64","107","6.34","1.18","108/1",
"2207","和泰車","2.34","107","28.48","5.34","108/1",
"2208","台船","0.00","106","-","1.57","108/1",
"2227","裕日車","6.48","107","12.99","3.66","108/1",
"2228","劍麟","5.80","107","12.47","1.67","108/1",
"2231","為升","3.29","107","24.73","7.28","108/1",
"2236","百達-KY","3.96","107","10.06","0.87","108/1",
"2239","英利-KY","4.25","107","11.98","1.09","108/1",
"2243","宏旭-KY","3.47","106","-","0.62","108/1",
"2301","光寶科","6.50","107","12.44","1.41","108/1",
"2302","麗正","0.00","106","34.41","0.76","108/1",
"2303","聯電","4.38","107","32.32","0.75","108/1",
"2305","全友","0.00","107","296.00","0.54","108/1",
"2308","台達電","3.29","107","21.02","2.93","108/1",
"2312","金寶","2.99","107","15.46","0.83","108/1",
"2313","華通","3.22","107","13.29","1.22","108/1",
"2314","台揚","0.82","107","105.65","1.99","108/1",
"2316","楠梓電","4.65","107","10.09","0.65","108/1",
"2317","鴻海","5.27","107","8.43","0.83","108/1",
"2321","東訊","0.00","106","-","1.50","108/1",
"2323","中環","0.00","107","11.16","0.63","108/1",
"2324","仁寶","6.03","107","9.75","0.80","108/1",
"2327","國巨","17.44","107","3.40","1.75","108/1",
"2328","廣宇","4.61","107","10.19","1.10","108/1",
"2329","華泰","0.00","106","157.78","1.41","108/1",
"2330","台積電","3.40","107","18.92","3.50","108/1",
"2331","精英","8.66","106","64.17","0.58","108/1",
"2332","友訊","1.65","107","-","0.87","108/1",
"2337","旺宏","5.57","107","5.46","1.25","108/1",
"2338","光罩","3.68","107","24.78","1.68","108/1",
"2340","台亞","2.46","107","14.85","1.18","108/1",
"2342","茂矽","1.36","107","23.14","1.36","108/1",
"2344","華邦電","6.99","107","9.05","0.89","108/1",
