"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","4.79","110","14.55","1.23","111/1",
"1102","亞泥","7.59","110","11.03","0.96","111/1",
"1103","嘉泥","3.49","110","17.06","0.47","111/1",
"1104","環泥","4.56","110","10.31","0.71","111/1",
"1108","幸福","5.43","110","17.00","1.00","111/1",
"1109","信大","7.52","110","10.23","0.85","111/1",
"1110","東泥","1.01","110","73.52","1.30","111/1",
"1201","味全","2.38","110","20.39","1.51","111/1",
"1203","味王","3.34","110","17.05","1.43","111/1",
"1210","大成","4.08","110","24.14","2.01","111/1",
"1213","大飲","0.00","109","-","1.15","111/1",
"1215","卜蜂","4.87","110","16.96","2.62","111/1",
"1216","統一","4.13","110","19.85","2.99","111/1",
"1217","愛之味","2.69","110","30.14","0.82","111/1",
"1218","泰山","3.29","110","25.98","2.23","111/1",
"1219","福壽","4.93","110","24.78","1.55","111/1",
"1220","台榮","5.63","110","21.39","1.31","111/1",
"1225","福懋油","3.27","110","23.44","2.93","111/1",
"1227","佳格","3.98","110","19.57","2.34","111/1",
"1229","聯華","3.94","110","19.93","2.10","111/1",
"1231","聯華食","3.08","110","20.12","3.57","111/1",
"1232","大統益","3.90","110","20.03","4.61","111/1",
"1233","天仁","2.41","110","67.86","2.02","111/1",
"1234","黑松","4.89","110","17.76","0.77","111/1",
"1235","興泰","6.88","110","46.78","1.39","111/1",
"1236","宏亞","1.96","110","8.30","1.09","111/1",
"1256","鮮活果汁-KY","4.44","110","17.90","2.59","111/1",
"1301","台塑","7.63","110","9.38","1.60","111/1",
"1303","南亞","8.88","110","8.52","1.53","111/1",
"1304","台聚","8.37","110","6.29","1.06","111/1",
"1305","華夏","7.61","110","9.13","1.64","111/1",
"1307","三芳","2.50","110","400.00","1.02","111/1",
"1308","亞聚","10.17","110","6.30","1.11","111/1",
"1309","台達化","8.31","110","7.03","1.43","111/1",
"1310","台苯","0.93","110","-","1.18","111/1",
"1312","國喬","8.13","110","5.02","0.65","111/1",
"1313","聯成","5.78","110","12.36","0.75","111/1",
"1314","中石化","3.57","110","16.23","0.52","111/1",
"1315","達新","5.75","110","137.19","0.64","111/1",
"1316","上曜","0.00","110","-","1.68","111/1",
"1319","東陽","2.03","110","33.44","1.12","111/1",
"1321","大洋","2.17","110","129.00","1.07","111/1",
"1323","永裕","4.60","110","11.25","1.36","111/1",
"1324","地球","1.86","110","537.50","0.85","111/1",
"1325","恆大","6.15","110","22.11","0.93","111/1",
"1326","台化","5.88","110","15.16","1.19","111/1",
"1337","再生-KY","0.00","109","-","0.34","111/1",
