"115年03月27日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","22.80","3.51","114","-","0.76","114/4",
"1102","亞泥","34.55","6.66","114","12.21","0.68","114/4",
"1103","嘉泥","13.75","4.00","113","16.37","0.50","114/4",
"1104","環泥","29.70","6.23","114","11.60","0.84","114/4",
"1108","幸福","14.85","6.73","114","6.35","1.06","114/3",
"1109","信大","15.20","5.92","114","14.76","0.62","114/4",
"1110","東泥","15.35","1.95","114","42.64","0.92","114/4",
"1201","味全","13.40","1.57","114","33.50","0.89","114/4",
"1203","味王","39.55","3.03","113","19.20","1.54","114/3",
"1210","大成","54.30","5.52","114","12.54","1.71","114/4",
"1213","大飲","9.98","3.51","113","-","0.87","114/4",
"1215","卜蜂","142.50","4.91","114","13.72","3.38","114/4",
"1216","統一","72.00","4.17","114","20.87","3.01","114/4",
"1217","愛之味","10.30","2.43","114","24.52","0.65","114/4",
"1218","泰山","19.30","6.84","114","12.14","0.72","114/4",
"1219","福壽","13.90","3.60","113","30.89","1.03","114/4",
"1220","台榮","12.40","1.61","114","155.00","0.94","114/4",
"1225","福懋油","32.30","3.10","114","19.94","2.00","114/4",
"1227","佳格","30.35","4.42","114","20.79","1.54","114/3",
"1229","聯華","44.85","4.46","114","17.45","1.40","114/4",
"1231","聯華食","92.20","2.71","114","24.20","3.80","114/4",
"1232","大統益","150.00","4.80","114","18.16","4.06","114/4",
"1233","天仁","29.25","0.68","114","39.00","1.96","114/4",
"1234","黑松","36.05","4.58","114","18.03","0.77","114/4",
"1235","興泰","39.55","6.32","113","-","0.54","114/3",
"1236","宏亞","26.35","6.26","114","-","0.91","114/4",
"1256","鮮活果汁-KY","150.00","4.40","114","14.03","1.36","114/4",
"1301","台塑","46.90","1.07","114","-","0.82","114/4",
"1303","南亞","74.20","1.08","114","130.18","1.65","114/4",
"1304","台聚","16.20","0.93","114","-","0.99","114/4",
"1305","華夏","16.75","0.60","114","-","1.26","114/4",
"1307","三芳","34.15","6.44","114","11.98","1.35","114/4",
"1308","亞聚","17.65","1.13","114","-","1.02","114/4",
"1309","台達化","22.15","0.68","114","-","1.53","114/4",
"1310","台苯","11.25","0.00","113","-","0.80","114/4",
"1312","國喬","13.75","0.00","113","-","0.54","114/4",
"1313","聯成","12.80","0.78","114","-","0.58","114/4",
"1314","中石化","8.11","0.00","113","-","0.40","114/4",
"1315","達新","63.00","7.14","114","40.65","0.59","114/4",
"1316","上曜","12.15","0.00","113","-","1.00","114/3",
"1319","東陽","83.40","6.00","114","12.97","1.76","114/4",
"1321","大洋","34.35","1.11","113","-","1.33","114/4",
"1323","永裕","19.10","4.71","114","73.46","0.68","114/4",
"1324","地球","10.60","1.89","113","-","0.89","114/4",
"1325","恆大","27.15","1.10","113","-","0.89","114/4",
"1326","台化","44.25","1.36","114","-","0.75","114/4",
"1337","再生-KY","6.12","0.00","113","-","0.45","114/4",
"1338","廣華-KY","14.20","2.11","114","-","0.20","114/4",
"1339","昭輝","41.25","6.06","114","17.12","0.76","114/4",
"1340","勝悅-KY","6.68","0.00","113","-","0.39","114/4",
"1341","富林-KY","58.90","6.79","114","15.88","2.41","114/4",
"1342","八貫","84.70","7.08","114","14.91","2.76","114/4",
"1402","遠東新","26.25","4.76","114","17.98","0.61","114/4",
"1409","新纖","15.95","5.64","114","13.29","0.62","114/4",
"1410","南染","32.00","0.63","114","54.24","1.88","114/4",
"1413","宏洲","9.82","0.00","113","21.82","1.15","114/4",
"1414","東和","18.05","1.11","114","150.42","1.28","114/3",
"1416","廣豐","11.40","5.00","114","14.07","0.48","114/4",
