"95年08月07日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","11.93","5.05","1.22",
"1102","亞泥","8.03","8.44","1.03",
"1103","嘉泥","3.94","0.00","0.86",
"1104","環泥","10.10","10.78","0.52",
"1107","建台","2.38","0.00","1.27",
"1108","幸福","12.90","3.94","0.69",
"1109","信大","7.16","4.95","0.70",
"1110","東泥","14.47","3.68","0.47",
"1201","味全","18.46","0.00","1.62",
"1203","味王","-","0.00","0.74",
"1210","大成","8.56","2.29","0.97",
"1213","大飲","345.00","0.00","1.02",
"1215","卜蜂","28.59","0.00","0.47",
"1216","統一","29.21","1.50","1.81",
"1217","愛之味","18.33","0.00","0.61",
"1218","泰山","-","0.00","0.62",
"1219","福壽","28.00","2.98","0.41",
"1220","台榮","45.44","0.00","0.85",
"1225","福懋油","-","0.00","0.46",
"1227","佳格","16.17","5.92","1.09",
"1229","聯華","9.93","4.32","0.70",
"1231","聯華食","77.50","5.38","0.64",
"1232","大統益","8.37","9.41","1.15",
"1233","天仁","18.30","5.25","2.15",
"1234","黑松","74.72","1.86","0.78",
"1235","興泰","116.67","8.57","1.05",
"1236","宏亞","9.65","10.91","1.22",
"1301","台塑","9.97","9.92","1.40",
"1303","南亞","9.49","8.71","1.49",
"1304","台聚","12.48","8.63","0.61",
"1305","華夏","-","0.00","0.60",
"1307","三芳","11.28","5.99","1.14",
"1308","亞聚","10.17","6.78","0.69",
"1309","台達化","54.69","0.00","0.49",
"1310","台苯","-","0.00","1.16",
"1311","福聚","10.49","8.40","1.21",
"1312","國喬","13.91","0.00","0.74",
"1313","聯成","12.78","7.11","0.79",
"1314","中石化","5.83","0.00","0.67",
"1315","達新","11.96","6.43","0.73",
"1316","上曜","19.47","0.00","0.34",
"1319","東陽","9.13","6.11","1.34",
"1321","大洋","6.40","6.54","0.99",
"1323","永裕","66.58","4.38","0.64",
"1324","地球","35.05","8.15","0.60",
"1325","恆大","23.07","1.97","0.77",
"1326","台化","8.47","12.35","1.27",
"1402","遠東新","12.05","6.57","1.27",
"1409","新纖","47.86","0.00","0.59",
"1410","南染","-","0.00","0.51",
"1413","宏洲","-","0.00","0.29",
"1414","東和","-","0.00","0.53",
"1416","廣豐","-","0.00","0.48",
"1417","嘉裕","-","0.00","0.58",
"1418","東華","-","0.00","0.48",
"1419","新紡","36.21","2.09","1.58",
"1423","利華","37.87","0.00","0.42",
"1432","大魯閣","-","0.00","0.90",
"1434","福懋","10.84","7.19","0.69",
"1435","中福","54.18","0.00","0.74",
"1436","華友聯","-","0.00","0.74",
"1437","勤益控","-","0.00","1.06",
"1438","三地開發","-","0.00","0.47",
"1439","雋揚","360.00","1.85","0.73",
"1440","南紡","354.00","0.00","0.49",
"1441","大東","-","0.00","0.44",
"1442","名軒","30.68","0.00","0.64",
"1443","立益物流","-","0.00","0.41",
"1444","力麗","-","0.00","0.36",
"1445","大宇","-","0.00","0.39",
"1446","宏和","-","0.00","0.33",
"1447","力鵬","204.00","0.00","0.51",
"1449","佳和","-","0.00","0.42",
"1451","年興","7.16","8.70","0.87",
"1452","宏益","-","0.00","0.47",
"1453","大將","-","0.00","0.34",
"1454","台富","-","0.00","0.41",
"1455","集盛","-","1.65","0.51",
"1456","怡華","-","0.00","0.29",
"1457","宜進","-","0.00","0.33",
"1459","聯發","-","10.66","0.50",
"1460","宏遠","-","2.77","0.50",
"1463","強盛","208.50","3.60","0.39",
"1464","得力","-","3.06","0.45",
"1465","偉全","6.69","9.49","0.46",
"1466","聚隆","7.16","0.00","0.69",
"1467","南緯","7.81","2.46","0.74",
"1468","昶和","140.56","0.00","1.08",
"1469","理隆","-","10.88","0.71",
"1470","大統新創","426.00","0.00","0.48",
