"109年11月11日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","7.03","108","10.15","1.31","109/3",
"1102","亞泥","6.87","108","10.67","1.07","109/2",
"1103","嘉泥","5.81","108","22.05","0.52","109/2",
"1104","環泥","4.78","108","11.81","0.79","109/2",
"1108","幸福","1.29","108","16.18","1.05","109/2",
"1109","信大","5.58","108","7.30","1.01","109/2",
"1110","東泥","0.59","108","-","1.15","109/3",
"1201","味全","6.49","108","27.33","1.58","109/3",
"1203","味王","2.78","108","19.64","1.72","109/2",
"1210","大成","4.74","108","14.34","2.07","109/2",
"1213","大飲","0.00","108","-","0.91","109/2",
"1215","卜蜂","5.52","108","11.02","2.45","109/3",
"1216","統一","3.84","108","19.67","3.59","109/2",
"1217","愛之味","0.00","108","36.00","0.65","109/2",
"1218","泰山","3.98","108","15.80","1.69","109/2",
"1219","福壽","2.09","108","12.28","1.49","109/2",
"1220","台榮","5.02","108","13.13","0.94","109/2",
"1225","福懋油","4.11","108","20.96","2.27","109/2",
"1227","佳格","4.14","108","16.12","3.72","109/2",
"1229","聯華","7.57","108","17.11","1.70","109/2",
"1231","聯華食","4.72","108","12.52","2.15","109/3",
"1232","大統益","4.00","108","18.20","4.85","109/3",
"1233","天仁","4.41","108","47.70","2.27","109/3",
"1234","黑松","5.15","108","15.07","0.74","109/3",
"1235","興泰","4.37","108","27.04","0.79","109/2",
"1236","宏亞","2.21","108","71.58","0.90","109/2",
"1256","鮮活果汁-KY","2.09","108","14.28","4.15","109/3",
"1301","台塑","4.94","108","45.41","1.94","109/3",
"1303","南亞","3.37","108","29.28","1.64","109/3",
"1304","台聚","2.50","108","19.61","1.16","109/2",
"1305","華夏","4.18","108","19.01","1.53","109/2",
"1307","三芳","3.75","108","33.36","1.08","109/2",
"1308","亞聚","5.42","108","13.27","1.13","109/2",
"1309","台達化","1.89","108","18.82","2.31","109/2",
"1310","台苯","5.87","108","-","1.44","109/3",
"1312","國喬","0.00","108","14.63","0.89","109/2",
"1313","聯成","1.30","108","25.25","0.89","109/3",
"1314","中石化","3.27","108","24.16","0.43","109/2",
"1315","達新","5.22","108","2.45","1.05","109/2",
"1316","上曜","0.00","108","-","1.17","109/2",
"1319","東陽","4.60","108","17.53","1.11","109/2",
"1321","大洋","0.00","108","13.95","1.32","109/3",
"1323","永裕","4.71","108","10.48","1.47","109/3",
"1324","地球","3.03","108","45.00","0.77","109/3",
"1325","恆大","0.24","108","7.33","3.26","109/3",
"1326","台化","4.87","108","36.62","1.52","109/3",
"1337","再生-KY","0.00","108","-","0.31","109/3",
"1338","廣華-KY","6.13","108","21.23","0.82","109/2",
"1339","昭輝","4.64","108","20.92","0.95","109/2",
"1340","勝悅-KY","0.00","108","-","0.34","109/2",
"1341","富林-KY","8.52","108","10.65","2.56","109/3",
"1402","遠東新","5.42","108","16.69","0.75","109/2",
"1409","新纖","4.60","108","7.91","0.64","109/2",
"1410","南染","2.93","108","40.18","2.01","109/3",
"1413","宏洲","0.00","108","-","1.05","109/2",
"1414","東和","1.21","108","68.75","1.19","109/2",
"1416","廣豐","0.00","108","-","0.60","109/2",
"1417","嘉裕","4.42","108","7.90","0.75","109/2",
"1418","東華","0.00","108","-","0.85","109/2",
"1419","新紡","2.32","108","35.66","1.58","109/2",
"1423","利華","0.77","108","-","0.96","109/3",
"1432","大魯閣","17.98","108","-","3.62","109/2",
"1434","福懋","7.67","108","14.75","1.03","109/3",
"1435","中福","0.00","108","-","2.93","109/2",
"1436","華友聯","6.64","108","8.20","1.32","109/3",
"1437","勤益控","4.59","108","16.52","0.78","109/3",
"1438","三地開發","0.00","108","26.81","2.29","109/3",
"1439","雋揚","18.15","108","162.06","1.09","109/2",
"1440","南紡","1.37","108","86.18","1.00","109/3",
"1441","大東","0.00","108","-","0.90","109/2",
"1442","名軒","5.37","108","40.11","1.18","109/2",
"1443","立益物流","0.00","108","-","1.14","109/2",
"1444","力麗","0.00","108","-","1.21","109/2",
"1445","大宇","1.83","108","-","0.89","109/3",
"1446","宏和","0.86","108","-","3.22","109/2",
"1447","力鵬","0.00","108","-","0.74","109/2",
"1449","佳和","0.00","108","-","2.47","109/2",
"1451","年興","0.00","108","-","0.46","109/3",
"1452","宏益","7.69","108","28.89","0.85","109/3",
"1453","大將","2.31","108","-","0.68","109/2",
"1454","台富","3.07","108","-","0.71","109/3",
"1455","集盛","0.00","108","-","0.73","109/3",
"1456","怡華","0.00","108","325.00","0.76","109/2",
"1457","宜進","7.07","108","6.32","0.70","109/2",
"1459","聯發","0.00","108","-","1.00","109/3",
"1460","宏遠","0.00","108","-","1.05","109/2",
"1463","強盛","4.94","108","25.31","0.94","109/2",
"1464","得力","7.98","108","67.14","1.52","109/2",
"1465","偉全","11.54","108","-","0.78","109/3",
"1466","聚隆","0.00","108","-","1.33","109/3",
"1467","南緯","0.00","108","-","1.61","109/2",
"1468","昶和","0.00","108","40.50","1.56","109/3",
"1470","大統新創","4.42","108","38.51","1.68","109/2",
"1471","首利","0.00","108","-","1.29","109/2",
"1472","三洋實業","0.00","108","-","2.11","109/2",
"1473","台南","2.74","108","-","0.76","109/3",
"1474","弘裕","0.00","108","19.77","0.87","109/2",
"1475","業旺","0.00","108","-","6.09","109/2",
"1476","儒鴻","2.64","108","30.09","6.48","109/3",
"1477","聚陽","2.64","108","20.89","4.40","109/3",
"1503","士電","3.12","108","15.93","1.11","109/2",
"1504","東元","3.27","108","17.49","0.95","109/2",
"1506","正道","0.00","108","-","1.78","109/2",
"1507","永大","3.26","108","22.17","2.57","109/2",
"1512","瑞利","0.00","108","-","5.09","109/2",
"1513","中興電","2.47","108","27.03","2.67","109/2",
"1514","亞力","4.35","108","17.47","1.87","109/3",
"1515","力山","3.83","108","21.69","4.27","109/3",
"1516","川飛","1.74","108","27.26","1.91","109/3",
"1517","利奇","1.38","108","-","1.07","109/2",
"1519","華城","2.04","108","25.68","3.79","109/3",
"1521","大億","6.93","108","20.83","2.63","109/2",
"1522","堤維西","6.42","108","23.19","1.10","109/2",
"1524","耿鼎","4.22","108","23.68","0.72","109/3",
"1525","江申","3.00","108","17.67","1.23","109/2",
"1526","日馳","1.61","108","17.23","2.71","109/3",
"1527","鑽全","2.87","108","21.24","1.49","109/2",
"1528","恩德","1.25","108","-","0.73","109/3",
"1529","樂事綠能","3.50","108","26.00","1.34","109/2",
"1530","亞崴","4.96","108","8.47","0.95","109/3",
"1531","高林股","1.70","108","-","0.62","109/2",
"1532","勤美","2.66","108","82.26","1.17","109/2",
"1533","車王電","1.51","108","56.02","1.34","109/3",
"1535","中宇","3.50","108","25.04","1.46","109/3",
"1536","和大","2.11","108","62.30","3.90","109/2",
"1537","廣隆","7.17","108","12.86","3.00","109/3",
"1539","巨庭","4.02","108","58.53","1.01","109/2",
"1540","喬福","6.60","108","-","0.97","109/2",
"1541","錩泰","0.00","108","10.85","2.70","109/2",
"1558","伸興","6.31","108","11.51","1.76","109/3",
"1560","中砂","4.68","108","15.18","1.97","109/3",
"1568","倉佑","2.73","108","261.43","1.26","109/3",
"1582","信錦","5.11","108","10.95","1.95","109/3",
"1583","程泰","5.03","108","13.22","1.39","109/2",
"1587","吉茂","1.86","108","18.05","1.46","109/2",
"1589","永冠-KY","0.54","108","29.42","1.32","109/2",
"1590","亞德客-KY","0.57","108","52.31","8.44","109/2",
"1592","英瑞-KY","0.00","108","-","0.56","109/2",
"1598","岱宇","0.83","108","45.12","5.53","109/2",
"1603","華電","1.76","108","19.22","0.88","109/2",
"1604","聲寶","5.77","108","22.22","1.59","109/2",
"1605","華新","2.84","108","14.71","0.80","109/2",
"1608","華榮","6.17","108","11.26","0.71","109/3",
"1609","大亞","1.56","108","14.01","1.51","109/3",
"1611","中電","10.62","108","4.52","0.88","109/3",
"1612","宏泰","3.32","108","12.04","0.95","109/3",
"1614","三洋電","2.31","108","24.66","1.77","109/3",
"1615","大山","8.91","108","8.91","1.45","109/3",
"1616","億泰","0.00","108","-","0.71","109/2",
"1617","榮星","2.33","108","15.86","1.11","109/2",
"1618","合機","2.74","108","16.59","0.65","109/2",
"1626","艾美特-KY","4.15","108","32.13","1.11","109/3",
"1701","中化","3.40","108","13.69","1.09","109/2",
"1702","南僑","4.50","108","12.65","1.96","109/2",
"1707","葡萄王","3.80","108","18.21","3.77","109/3",
"1708","東鹼","7.02","108","26.21","0.84","109/2",
"1709","和益","3.50","108","21.67","1.00","109/2",
"1710","東聯","1.71","108","-","1.22","109/3",
"1711","永光","1.78","108","38.41","1.20","109/2",
"1712","興農","6.28","108","11.37","1.22","109/3",
"1713","國化","3.14","108","38.44","1.22","109/3",
"1714","和桐","0.00","108","5.86","0.88","109/2",
"1717","長興","4.02","108","21.75","2.17","109/2",
"1718","中纖","0.00","108","-","0.54","109/2",
"1720","生達","3.95","108","14.73","1.78","109/3",
"1721","三晃","0.00","108","3.81","0.76","109/2",
"1722","台肥","4.13","108","20.34","1.04","109/2",
"1723","中碳","5.16","108","34.00","3.64","109/3",
"1724","台硝","3.92","108","49.04","0.84","109/3",
"1725","元禎","5.79","108","14.89","0.79","109/2",
"1726","永記","4.49","108","13.99","1.36","109/3",
"1727","中華化","1.90","108","-","0.90","109/2",
"1730","花仙子","5.24","108","17.22","2.96","109/2",
"1731","美吾華","3.44","108","14.91","1.26","109/3",
"1732","毛寶","0.00","108","21.70","1.93","109/2",
"1733","五鼎","4.54","108","16.98","1.51","109/3",
"1734","杏輝","0.60","108","92.22","2.09","109/2",
"1735","日勝化","3.78","108","31.27","1.25","109/2",
"1736","喬山","1.76","108","26.93","2.77","109/3",
"1737","臺鹽","4.62","108","20.44","1.06","109/3",
"1760","寶齡富錦","1.71","108","118.54","6.72","109/2",
"1762","中化生","1.19","108","11.26","2.19","109/2",
"1773","勝一","4.16","108","16.50","3.36","109/3",
"1776","展宇","5.41","108","31.40","1.18","109/2",
"1783","和康生","3.47","108","30.75","1.86","109/3",
"1786","科妍","2.84","108","30.18","2.91","109/3",
"1789","神隆","0.94","108","70.37","2.18","109/3",
"1795","美時","0.00","108","26.90","2.62","109/2",
"1802","台玻","0.00","108","-","1.12","109/2",
"1805","寶徠","0.00","108","-","1.58","109/2",
"1806","冠軍","0.00","108","-","0.50","109/2",
"1808","潤隆","4.78","108","22.97","3.96","109/3",
"1809","中釉","1.73","108","-","0.66","109/3",
"1810","和成","0.00","108","26.06","0.60","109/2",
"1817","凱撒衛","5.27","108","10.96","1.40","109/3",
"1903","士紙","0.00","108","-","7.63","109/2",
"1904","正隆","3.63","108","11.57","1.57","109/2",
"1905","華紙","0.00","108","-","0.73","109/2",
"1906","寶隆","3.40","108","29.40","0.50","109/3",
"1907","永豐餘","3.34","108","9.88","0.90","109/2",
"1909","榮成","1.76","108","37.89","0.99","109/2",
"2002","中鋼","2.30","108","-","1.18","109/3",
"2006","東和鋼鐵","4.38","108","15.17","1.29","109/2",
"2007","燁興","0.00","108","-","0.72","109/2",
"2008","高興昌","0.00","108","-","1.10","109/3",
"2009","第一銅","0.00","108","323.67","0.96","109/3",
"2010","春源","2.46","108","22.18","0.78","109/3",
"2012","春雨","7.41","108","22.50","1.30","109/3",
"2013","中鋼構","2.55","108","12.16","1.35","109/3",
"2014","中鴻","0.00","108","-","1.09","109/3",
"2015","豐興","5.15","108","14.13","1.82","109/3",
"2017","官田鋼","0.00","108","-","0.78","109/2",
"2020","美亞","11.25","108","12.85","1.29","109/2",
