"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比",
"1101","台泥","16.73","5.30","1.53",
"1102","亞泥","10.84","6.45","1.40",
"1103","嘉泥","5.17","0.00","1.01",
"1104","環泥","12.64","8.21","0.66",
"1107","建台","8.18","0.00","4.58",
"1108","幸福","12.29","4.41","0.92",
"1109","信大","8.28","3.85","0.90",
"1110","東泥","27.00","4.12","0.84",
"1201","味全","32.61","0.00","2.91",
"1203","味王","-","0.00","0.99",
"1210","大成","13.09","5.48","1.42",
"1213","大飲","-","7.84","1.13",
"1215","卜蜂","16.67","0.00","0.84",
"1216","統一","45.77","2.00","2.41",
"1217","愛之味","25.29","0.00","0.80",
"1218","泰山","-","0.00","0.80",
"1219","福壽","26.91","1.64","0.72",
"1220","台榮","25.09","0.00","0.89",
"1225","福懋油","-","0.00","0.71",
"1227","佳格","25.82","6.34","1.02",
"1229","聯華","11.06","4.49","0.91",
"1231","聯華食","110.00","4.55","0.77",
"1232","大統益","9.18","7.75","1.44",
"1233","天仁","19.69","5.29","2.23",
"1234","黑松","104.38","1.50","0.96",
"1235","興泰","1,600.00","3.13","1.21",
"1236","宏亞","13.47","11.32","1.25",
"1301","台塑","11.25","8.13","1.74",
"1303","南亞","9.73","6.81","1.79",
"1304","台聚","13.03","7.07","0.73",
"1305","華夏","14.11","0.00","0.77",
"1307","三芳","13.24","4.37","1.58",
"1308","亞聚","10.56","5.61","0.80",
"1309","台達化","26.94","0.00","0.62",
"1310","台苯","41.86","0.00","1.36",
"1311","福聚","5.28","5.34","1.59",
"1312","國喬","10.78","0.00","1.11",
"1313","聯成","9.40","3.53","1.12",
"1314","中石化","15.43","0.00","0.84",
"1315","達新","20.46","4.11","1.10",
"1316","上曜","13.02","0.00","0.92",
"1319","東陽","10.84","5.99","1.39",
"1321","大洋","26.17","4.72","1.52",
"1323","永裕","37.41","3.47","0.78",
"1324","地球","38.00","5.72","0.73",
"1325","恆大","21.85","1.69","0.90",
"1326","台化","9.60","10.09","1.59",
"1402","遠東新","13.44","5.61","1.57",
"1409","新纖","15.30","0.00","0.67",
"1410","南染","227.50","0.00","0.72",
"1413","宏洲","-","0.00","0.62",
"1414","東和","-","0.00","1.18",
"1416","廣豐","-","0.00","1.26",
"1417","嘉裕","-","0.00","0.75",
"1418","東華","-","0.00","0.97",
"1419","新紡","305.00","1.64","2.02",
