"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","39.00","7.69","108","9.11","1.14","108/4",
"1102","亞泥","38.60","7.77","108","7.44","0.89","108/4",
"1103","嘉泥","15.10","6.62","108","7.51","0.43","108/4",
"1104","環泥","15.75","6.35","108","9.05","0.57","108/4",
"1108","幸福","6.50","2.31","108","59.09","0.61","108/4",
"1109","信大","15.85","5.05","107","5.62","0.79","108/4",
"1110","東泥","15.95","0.63","108","265.83","1.07","108/4",
"1201","味全","20.00","6.65","108","7.49","1.46","108/4",
"1203","味王","26.30","3.80","108","13.70","1.25","108/4",
"1210","大成","36.95","5.95","108","12.65","1.59","108/4",
"1213","大飲","5.70","0.00","106","-","0.57","108/4",
"1215","卜蜂","59.20","5.07","107","10.84","2.00","108/4",
"1216","統一","65.10","3.84","108","19.43","3.41","108/4",
"1217","愛之味","6.89","0.00","107","68.90","0.60","108/4",
"1218","泰山","22.65","3.97","108","18.88","1.67","108/4",
"1219","福壽","18.25","0.55","107","28.97","1.49","108/4",
"1220","台榮","10.15","5.91","108","14.30","0.78","108/4",
"1225","福懋油","32.65","3.98","108","21.06","2.23","108/4",
"1227","佳格","62.00","4.27","108","16.49","3.38","108/4",
"1229","聯華","37.90","8.44","108","15.04","1.54","108/4",
"1231","聯華食","38.90","5.40","108","12.97","1.87","108/4",
"1232","大統益","112.50","4.44","108","18.47","4.43","108/4",
"1233","天仁","34.00","4.71","108","19.65","1.91","108/4",
"1234","黑松","30.25","5.62","108","14.34","0.68","108/4",
"1235","興泰","23.70","5.27","107","48.37","0.88","108/4",
"1236","宏亞","10.40","2.88","108","69.33","0.67","108/4",
"1256","鮮活果汁-KY","175.00","3.54","108","10.80","2.92","108/4",
"1301","台塑","74.40","5.91","108","12.70","1.36","108/4",
"1303","南亞","53.70","4.10","108","18.45","1.24","108/4",
"1304","台聚","10.10","4.95","108","8.49","0.58","108/4",
"1305","華夏","14.10","7.09","108","11.56","0.90","108/4",
"1307","三芳","17.20","4.65","108","15.93","0.83","108/4",
"1308","亞聚","13.95","7.89","108","9.43","0.76","108/4",
"1309","台達化","8.33","7.20","108","7.00","0.65","108/4",
"1310","台苯","13.60","5.51","108","8.14","1.02","108/4",
"1312","國喬","13.05","0.00","107","5.83","0.50","108/4",
"1313","聯成","7.98","2.51","108","-","0.52","108/4",
"1314","中石化","7.31","4.10","108","11.98","0.31","108/4",
"1315","達新","45.60","8.00","108","12.49","1.04","108/4",
"1316","上曜","8.05","23.48","107","-","0.79","108/4",
"1319","東陽","32.85","5.48","108","9.78","0.88","108/4",
"1321","大洋","24.95","0.00","107","47.08","1.03","108/4",
"1323","永裕","28.90","5.54","108","9.00","1.29","108/4",
"1324","地球","7.76","3.87","108","194.00","0.60","108/4",
"1325","恆大","38.95","0.77","108","92.74","1.95","108/4",
"1326","台化","66.20","5.74","108","13.03","1.09","108/4",
"1337","再生-KY","3.80","0.00","107","-","0.15","108/4",
"1338","廣華-KY","44.10","7.94","108","9.23","0.58","108/4",
"1339","昭輝","36.35","5.50","108","7.16","0.77","108/4",
"1340","勝悅-KY","8.71","13.78","107","-","0.22","108/3",
"1341","富林-KY","58.50","8.55","108","10.28","2.36","108/4",
"1402","遠東新","22.50","6.67","108","11.19","0.59","108/4",
"1409","新纖","9.99","5.51","108","9.00","0.54","108/4",
"1410","南染","28.10","3.56","108","27.28","1.62","108/4",
"1413","宏洲","6.70","0.00","107","12.88","0.74","108/4",
"1414","東和","5.67","3.53","107","33.35","0.40","108/4",
"1416","廣豐","9.92","12.10","107","-","0.47","108/4",
"1417","嘉裕","7.42","6.74","108","4.44","0.45","108/4",
"1418","東華","0.00","0.00","107","-","0.50","108/4",
"1419","新紡","36.00","2.78","108","27.91","1.24","108/4",
"1423","利華","9.96","1.20","108","-","0.58","108/4",
"1432","大魯閣","4.43","0.00","107","-","0.67","108/4",
"1434","福懋","30.80","8.12","108","10.00","0.81","108/4",
"1435","中福","7.10","0.00","107","44.38","0.98","108/4",
"1436","華友聯","36.15","6.92","108","14.76","1.28","108/4",
"1437","勤益控","19.10","5.76","108","4.41","0.60","108/4",
"1438","三地開發","0.00","0.00","107","-","2.09","108/4",
"1439","雋揚","31.00","16.13","108","2.96","1.01","108/4",
"1440","南紡","8.09","2.47","108","134.83","0.55","108/4",
"1441","大東","5.75","57.39","107","-","0.53","108/4",
