"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","7.03","108","10.06","1.32","109/2",
"1102","亞泥","7.21","108","10.17","1.02","109/2",
"1103","嘉泥","6.04","108","21.22","0.50","109/2",
"1104","環泥","4.93","108","11.47","0.76","109/2",
"1108","幸福","1.38","108","15.14","0.98","109/2",
"1109","信大","5.96","108","6.83","0.94","109/2",
"1110","東泥","0.62","108","-","1.11","109/2",
"1201","味全","6.46","108","35.52","1.66","109/2",
"1203","味王","3.10","108","17.65","1.54","109/2",
"1210","大成","4.94","108","13.73","1.98","109/2",
"1213","大飲","0.00","108","-","1.00","109/2",
"1215","卜蜂","5.87","108","11.91","2.35","109/2",
"1216","統一","3.83","108","19.70","3.60","109/2",
"1217","愛之味","0.00","108","37.29","0.68","109/2",
"1218","泰山","4.01","108","15.70","1.67","109/2",
"1219","福壽","2.07","108","12.37","1.50","109/2",
"1220","台榮","5.15","108","12.80","0.91","109/2",
"1225","福懋油","3.90","108","22.09","2.39","109/2",
"1227","佳格","4.17","108","15.99","3.69","109/2",
"1229","聯華","7.54","108","17.19","1.70","109/2",
"1231","聯華食","5.01","108","13.09","2.04","109/2",
"1232","大統益","4.17","108","19.51","5.08","109/2",
"1233","天仁","4.33","108","40.16","2.34","109/2",
"1234","黑松","5.30","108","16.03","0.74","109/2",
"1235","興泰","4.35","108","27.20","0.79","109/2",
"1236","宏亞","2.27","108","69.47","0.88","109/2",
"1256","鮮活果汁-KY","2.68","108","15.77","3.94","109/2",
"1301","台塑","5.64","108","27.86","1.71","109/2",
"1303","南亞","3.62","108","31.50","1.56","109/2",
"1304","台聚","3.72","108","13.19","0.78","109/2",
"1305","華夏","5.28","108","15.04","1.21","109/2",
"1307","三芳","3.86","108","32.42","1.05","109/2",
"1308","亞聚","6.08","108","11.83","1.00","109/2",
"1309","台達化","2.56","108","13.88","1.70","109/2",
"1310","台苯","6.25","108","114.29","1.35","109/2",
"1312","國喬","0.00","108","11.89","0.73","109/2",
"1313","聯成","1.53","108","93.21","0.84","109/2",
"1314","中石化","3.53","108","22.37","0.40","109/2",
"1315","達新","6.85","108","1.87","0.80","109/2",
"1316","上曜","0.00","108","-","1.22","109/2",
"1319","東陽","4.66","108","17.31","1.09","109/2",
"1321","大洋","0.00","108","14.67","1.33","109/2",
"1323","永裕","4.75","108","9.75","1.52","109/2",
"1324","地球","3.00","108","71.43","0.79","109/2",
"1325","恆大","0.19","108","17.63","5.16","109/2",
"1326","台化","5.62","108","33.14","1.33","109/2",
"1337","再生-KY","0.00","108","-","0.24","109/2",
"1338","廣華-KY","5.71","108","22.79","0.88","109/2",
"1339","昭輝","4.40","108","22.09","1.00","109/2",
"1340","勝悅-KY","0.00","108","-","0.30","109/2",
"1341","富林-KY","8.42","108","10.98","2.79","109/2",
"1402","遠東新","5.65","108","15.99","0.72","109/2",
"1409","新纖","4.93","108","7.38","0.60","109/2",
"1410","南染","2.95","108","36.06","2.02","109/2",
"1413","宏洲","0.00","108","-","0.99","109/2",
"1414","東和","2.65","108","31.50","0.54","109/2",
"1416","廣豐","0.00","108","-","0.76","109/2",
"1417","嘉裕","5.44","108","6.43","0.61","109/2",
"1418","東華","0.00","108","-","0.85","109/2",
"1419","新紡","2.21","108","37.36","1.65","109/2",
"1423","利華","0.83","108","-","0.87","109/2",
"1432","大魯閣","0.00","108","-","1.56","109/2",
"1434","福懋","8.14","108","12.38","0.91","109/2",
"1435","中福","0.00","108","-","1.54","109/2",
"1436","華友聯","6.81","108","14.28","1.38","109/2",
"1437","勤益控","4.81","108","17.31","0.74","109/2",
"1438","三地開發","0.00","108","31.71","2.35","109/2",
"1439","雋揚","17.27","108","170.29","1.15","109/2",
"1440","南紡","1.75","108","-","0.78","109/2",
"1441","大東","0.00","108","-","0.80","109/2",
"1442","名軒","5.76","108","37.39","1.10","109/2",
"1443","立益物流","0.00","108","-","1.06","109/2",
"1444","力麗","0.00","108","-","0.91","109/2",
"1445","大宇","2.27","108","-","0.71","109/2",
"1446","宏和","0.90","108","-","3.08","109/2",
"1447","力鵬","0.00","108","-","0.63","109/2",
"1449","佳和","0.00","108","-","3.10","109/2",
"1451","年興","0.00","108","-","0.46","109/2",
"1452","宏益","7.82","108","27.91","0.87","109/2",
"1453","大將","2.43","108","-","0.65","109/2",
"1454","台富","3.17","108","-","0.68","109/2",
"1455","集盛","0.00","108","-","0.77","109/2",
"1456","怡華","0.00","108","328.00","0.77","109/2",
"1457","宜進","7.38","108","6.05","0.67","109/2",
"1459","聯發","0.00","108","-","0.91","109/2",
"1460","宏遠","0.00","108","-","1.05","109/2",
"1463","強盛","4.78","108","26.15","0.97","109/2",
"1464","得力","8.26","108","64.82","1.47","109/2",
"1465","偉全","9.62","108","-","0.93","109/2",
"1466","聚隆","0.00","108","-","1.21","109/2",
"1467","南緯","0.00","108","-","1.84","109/2",
"1468","昶和","0.00","108","56.19","1.58","109/2",
"1470","大統新創","4.51","108","37.77","1.64","109/2",
"1471","首利","0.00","108","-","1.08","109/2",
"1472","三洋實業","0.00","108","-","2.10","109/2",
"1473","台南","2.78","108","-","0.73","109/2",
"1474","弘裕","0.00","108","19.45","0.86","109/2",
"1475","業旺","0.00","108","-","5.25","109/2",
"1476","儒鴻","2.95","108","27.41","6.22","109/2",
"1477","聚陽","2.49","108","23.93","5.05","109/2",
"1503","士電","3.27","108","15.19","1.06","109/2",
"1504","東元","3.33","108","17.20","0.93","109/2",
"1506","正道","0.00","108","-","1.95","109/2",
"1507","永大","4.04","108","17.93","2.08","109/2",
"1512","瑞利","0.00","108","-","4.93","109/2",
"1513","中興電","2.85","108","23.42","2.31","109/2",
"1514","亞力","4.02","108","18.54","2.00","109/2",
"1515","力山","3.09","108","30.76","5.72","109/2",
"1516","川飛","2.44","108","21.62","1.35","109/2",
"1517","利奇","1.77","108","-","0.84","109/2",
"1519","華城","2.46","108","23.10","3.32","109/2",
"1521","大億","7.29","108","19.82","2.51","109/2",
"1522","堤維西","6.22","108","23.94","1.14","109/2",
"1524","耿鼎","4.11","108","19.46","0.76","109/2",
"1525","江申","2.68","108","19.79","1.38","109/2",
"1526","日馳","1.73","108","20.09","2.64","109/2",
"1527","鑽全","3.09","108","19.72","1.38","109/2",
"1528","恩德","1.23","108","-","0.75","109/2",
"1529","樂事綠能","3.21","108","28.36","1.46","109/2",
"1530","亞崴","4.99","108","8.39","0.95","109/2",
"1531","高林股","1.80","108","-","0.59","109/2",
"1532","勤美","3.43","108","63.81","0.91","109/2",
"1533","車王電","1.66","108","42.54","1.24","109/2",
"1535","中宇","3.79","108","26.38","1.36","109/2",
"1536","和大","1.90","108","69.08","4.32","109/2",
"1537","廣隆","7.25","108","12.56","3.13","109/2",
"1538","正峰","0.00","108","-","1.05","109/2",
"1539","巨庭","3.96","108","59.41","1.03","109/2",
"1540","喬福","6.78","108","-","0.94","109/2",
"1541","錩泰","0.00","108","11.85","2.95","109/2",
"1558","伸興","6.40","108","12.06","1.85","109/2",
"1560","中砂","4.41","108","15.91","2.16","109/2",
"1568","倉佑","2.99","108","-","1.18","109/2",
"1582","信錦","5.30","108","10.19","2.00","109/2",
"1583","程泰","5.00","108","13.30","1.40","109/2",
"1587","吉茂","1.75","108","19.23","1.55","109/2",
"1589","永冠-KY","0.48","108","33.39","1.50","109/2",
"1590","亞德客-KY","0.68","108","43.90","7.08","109/2",
