日期:2026/08/14 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.8700   14.9400   14.7400   14.7900  ▲0.0600     49282   16.2000   13.2600
00401A    主動摩根台灣鑫收       13.8000   13.8200   13.6500   13.6700  ▼0.1400      6684   15.0400   12.3200
00402A    主動安聯美國科技        9.9500    9.9800    9.9100    9.9100  ▲0.0100      8729 9999.9500    0.0100
00403A    主動統一升級50         10.4000   10.4200   10.2800   10.3200  ▲0.0200    352532   11.3300    9.2700
00404A    主動聯博動能50          9.8000    9.8200    9.6600    9.6800  ▼0.0600     13877   10.7100    8.7700
00405A    主動富邦台灣龍耀        8.7000    8.7600    8.6200    8.6600  ▲0.0400     94342    9.4800    7.7600
00406A    主動中信台灣收益        9.7400    9.8500    9.7300    9.7800  ▲0.0900     48574   10.6500    8.7300
00407A    主動凱基台灣            9.9300   10.0100    9.8700    9.9200  ▲0.0900    122969   10.8100    8.8500
00408A    主動第一金優股息       10.6800   10.7300   10.6200   10.6700  ▲0.1000      2071   11.6200    9.5200
00410A    主動永豐科技趨勢       11.4100   11.5700   11.3700   11.4300  ▲0.1200      6305   12.4400   10.1800
0050      元大台灣50            107.1000  107.5000  106.0500  106.4000  ▼0.3000     77294  117.3500   96.0500
0051      元大中型100           145.9000  145.9000  144.4500  144.4500  ▼0.6000        30  159.5500  130.5500
0052      富邦科技               62.7000   62.8000   61.8500   61.9500  ▼0.4500     27571   68.6000   56.2000
0053      元大電子              245.0000  245.0000  242.2500  242.2500  ▼0.9000        39  267.4500  218.8500
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           44.0000   44.2500   43.6800   44.2500  ▲0.5300       276   48.0900   39.3500
0056      元大高股息             53.3500   54.0000   53.3000   53.4000  ▲0.4000     48307   58.3000   47.7000
0057      富邦摩台              320.6500  320.6500  317.2500  317.2500  ▼1.8500         4  351.0000  287.2000
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             25.0000   25.0000   24.7000   24.7000  ▼0.4700       110 9999.9500    0.0100
006203    元大MSCI台灣          195.4000  195.4000  193.5500  193.5500    0.0000         5  212.9000  174.2000
006204    永豐臺灣加權          229.6000  229.7000  229.6000  229.7000  ▲1.5000         2  251.0000  205.4000
006205    富邦上証               41.7000   41.7000   40.8100   40.8600  ▼0.8500       264 9999.9500    0.0100
006206    元大上證50             38.5000   38.5000   37.7800   37.7800  ▼0.8200        31 9999.9500    0.0100
006207    復華滬深               33.1800   33.1800   32.8500   32.8600  ▼0.7200       143 9999.9500    0.0100
006208    富邦台50              245.4000  246.0000  242.8000  243.4500  ▼0.9500      1172  268.8000  220.0000
00625K    富邦上証+R              8.7700    8.7700    8.7700    8.7700  ▼0.1000         2 9999.9500    0.0100
00631L    元大台灣50正2          36.5900   36.6000   35.6200   35.6900  ▼0.6000    209525   43.5400   29.0400
00632R    元大台灣50反1           9.9000   10.0300    9.8900   10.0100  ▲0.0600    161386   10.9400    8.9600
00633L    富邦上証正2            50.6000   50.6000   49.6500   49.8100  ▼1.4400      1815 9999.9500    0.0100
00634R    富邦上証反1             3.0500    3.0800    3.0500    3.0800  ▲0.0500      1249 9999.9500    0.0100
00635U    期元大S&P黃金          45.0000   45.0000   44.6700   44.8100  ▼0.8600      5952 9999.9500    0.0100
00636     國泰中國A50            28.7100   28.7100   28.1500   28.1900  ▼0.5300       548 9999.9500    0.0100
00636K    國泰中國A50+U           8.8800    8.8800    8.8800    8.8800  ▼0.0700         2 9999.9500    0.0100
00637L    元大滬深300正2         21.0200   21.0200   20.5600   20.6400  ▼0.6800     26826 9999.9500    0.0100
00638R    元大滬深300反1          6.5600    6.6100    6.5600    6.6100  ▲0.0900       227 9999.9500    0.0100
00639     富邦深100              17.3900   17.3900   16.9900   17.0300  ▼0.3800       588 9999.9500    0.0100
00640L    富邦日本正2           114.2500  114.5500  113.2500  113.5500  ▲0.6000        92 9999.9500    0.0100
00641R    富邦日本反1             3.6200    3.6300    3.6100    3.6300  ▼0.0200      2830 9999.9500    0.0100
00642U    期元大S&P石油          26.8100   26.8900   26.6600   26.8500  ▼0.4600      1739 9999.9500    0.0100
00643     群益深証中小           19.1800   19.1800   18.8800   18.9200  ▼0.4400      2836 9999.9500    0.0100
00643K    群益深証中小+R          4.0300    4.0300    4.0300    4.0300  ▼0.0300        11 9999.9500    0.0100
00645     富邦日本               59.3000   59.4000   59.0000   59.1000  ▲0.1500        77 9999.9500    0.0100
00646     元大S&P500             78.7500   78.8000   78.5000   78.6000  ▲0.1500      5754 9999.9500    0.0100
00647L    元大S&P500正2         144.3000  144.7000  143.8500  144.0500  ▲1.3000       150 9999.9500    0.0100
00648R    元大S&P500反1           3.8700    3.8800    3.8600    3.8800  ▼0.0100      1479 9999.9500    0.0100
00649     FH香港                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00650L    復華香港正2            17.0900   17.0900   16.7600   16.8300  ▼0.5300      3835 9999.9500    0.0100
00651R    復華香港反1             5.2500    5.2500    5.1900    5.2500  ▲0.0700       462 9999.9500    0.0100
00652     富邦印度               33.6800   33.6800   33.5200   33.5400  ▼0.1400       155 9999.9500    0.0100
00653L    富邦印度正2            47.7600   47.7700   47.5000   47.5000  ▼0.2100        38 9999.9500    0.0100
00654R    富邦印度反1             6.6400    6.6700    6.6400    6.6700  ▼0.0200        12 9999.9500    0.0100
00655L    國泰中國A50正2         35.2700   35.2700   34.5500   34.7000  ▼1.0800       931 9999.9500    0.0100
00656R    國泰中國A50反1          5.7900    5.8100    5.7800    5.8000  ▲0.0600       314 9999.9500    0.0100
00657     國泰日經225            81.4500   81.4500   80.7500   80.7500  ▼0.1500        50 9999.9500    0.0100
00657K    國泰日經225+U          25.3500   25.3500   25.3500   25.3500  ▲0.0500         2 9999.9500    0.0100
00658L    國泰日本正2             0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00659R    國泰日本反1             0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00660     元大歐洲50             47.9300   47.9300   47.6000   47.6100  ▼0.3100        13 9999.9500    0.0100
00661     元大日經225            89.3500   89.3500   88.6500   88.6500  ▼0.1500        54 9999.9500    0.0100
00662     富邦NASDAQ            123.8000  123.9000  123.2500  123.3000  ▲0.3500      5014 9999.9500    0.0100
00663L    國泰臺灣加權正2       105.5500  105.5500  102.6500  103.2000  ▼1.3000      5855  125.4000   83.6000
00664R    國泰臺灣加權反1         1.6100    1.6300    1.6000    1.6200  ▲0.0100     30704    1.7700    1.4500
00665L    富邦恒生國企正2         9.4000    9.4000    9.2000    9.2300  ▼0.2800     15284 9999.9500    0.0100
00666R    富邦恒生國企反1         9.0800    9.2000    8.8900    9.1600  ▲0.1400       598 9999.9500    0.0100
00667     元大韓國                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00668     國泰美國道瓊           63.0500   63.0500   63.0000   63.0000  ▼0.1000       560 9999.9500    0.0100
00668K    國泰美國道瓊+U         19.6900   19.6900   19.6900   19.6900  ▲0.0300         2 9999.9500    0.0100
00669R    國泰美國道瓊反1         5.1600    5.1600    5.1400    5.1400  ▼0.0200      1039 9999.9500    0.0100
00670L    富邦NASDAQ正2         208.8000  208.9000  208.1000  208.3500  ▲3.0000       780 9999.9500    0.0100
00671R    富邦NASDAQ反1           2.3900    2.3900    2.3800    2.3900  ▼0.0200      4326 9999.9500    0.0100
00672L    元大S&P原油正2          0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00673R    期元大S&P原油反1       12.9600   12.9900   12.9000   12.9000  ▲0.1600     12383 9999.9500    0.0100
00674R    期元大S&P黃金反1       28.3000   28.4700   28.3000   28.3800  ▲0.4900       313 9999.9500    0.0100
00675L    富邦臺灣加權正2       319.5000  319.5000  310.6000  311.9000  ▼4.1000      1305  379.2000  252.8000
00676R    富邦臺灣加權反1         5.4800    5.5500    5.4700    5.5300  ▲0.0300      9515    6.0500    4.9500
00677U    期富邦VIX               0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00678     群益那斯達克生技       42.4000   42.4000   41.7900   41.8800  ▼0.5200       395 9999.9500    0.0100
00680L    元大美債20正2           6.4700    6.4800    6.4400    6.4400  ▲0.0100      7057 9999.9500    0.0100
00681R    元大美債20反1          21.7800   21.7800   21.7800   21.7800  ▼0.0700         1 9999.9500    0.0100
00682U    期元大美元指數         20.5800   20.5800   20.5800   20.5800  ▲0.0200        10 9999.9500    0.0100
00683L    期元大美元指正2        21.5900   21.5900   21.5700   21.5700  ▼0.0900        13 9999.9500    0.0100
00684R    期元大美元指反1        15.1300   15.1300   15.1300   15.1300    0.0000         0 9999.9500    0.0100
00685L    群益臺灣加權正2        12.0400   12.0500   11.7100   11.7600  ▼0.1500    215715   14.2900    9.5300
00686R    群益臺灣加權反1         0.9800    1.0000    0.9800    0.9900    0.0000     18123    1.0800    0.9000
00688L    國泰20年美債正2         6.4600    6.4600    6.4200    6.4400  ▲0.0300      3346 9999.9500    0.0100
00689R    國泰20年美債反1        22.8500   22.8500   22.8500   22.8500  ▼0.0500        11 9999.9500    0.0100
00690     兆豐藍籌30             80.0000   80.8000   79.5000   79.5500  ▼0.1500       322   87.6500   71.7500
00691R    兆豐藍籌30反1           0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00692     富邦公司治理           91.6500   91.8000   90.8500   91.0500  ▼0.2500      1017  100.4000   82.2000
00693U    期街口S&P黃豆          21.6300   21.7300   21.6100   21.7200  ▲0.1000       284 9999.9500    0.0100
00698L    元大美債7-10正2         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00699R    元大美債7-10反1         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00700     富邦恒生國企           17.3000   17.3200   17.1800   17.2000  ▼0.3400       154 9999.9500    0.0100
00701     國泰股利精選30         38.8600   38.8900   38.4800   38.7800  ▲0.0300       989   42.6200   34.8800
00702     國泰標普低波高息       25.3800   25.3800   25.3500   25.3500  ▲0.1500         2 9999.9500    0.0100
00703     台新MSCI中國           19.6700   19.6700   19.4000   19.5000  ▼0.3000         4 9999.9500    0.0100
00704L    台新MSCI台灣正2         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00705R    台新MSCI台灣反1         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00706L    期元大S&P日圓正2       18.9600   18.9900   18.9600   18.9800  ▼0.0200       210 9999.9500    0.0100
00707R    期元大S&P日圓反1       32.1800   32.1800   32.1800   32.1800    0.0000         0 9999.9500    0.0100
00708L    期元大S&P黃金正2       79.6500   79.6500   78.6500   78.8000  ▼3.4500      6672 9999.9500    0.0100
00709     富邦歐洲               41.5700   41.5700   41.3800   41.4800  ▼0.1600        16 9999.9500    0.0100
00710B    復華彭博非投等債       19.2900   19.2900   19.1900   19.2000  ▼0.0700       432 9999.9500    0.0100
00711B    復華彭博新興債         15.8500   15.8600   15.8100   15.8100  ▲0.0300       245 9999.9500    0.0100
00712     復華富時不動產          8.9100    8.9200    8.8900    8.9000    0.0000      7755 9999.9500    0.0100
00713     元大台灣高息低波       61.1000   61.1500   60.5000   60.8500  ▼0.2500      7787   67.2000   55.0000
00714     群益道瓊美國地產       22.3200   22.3500   22.3200   22.3500  ▲0.2300       116 9999.9500    0.0100
00715L    期街口布蘭特正2        46.3200   46.5600   45.8200   46.3100  ▼1.6500      5776 9999.9500    0.0100
00716R    華頓S&P布蘭特反1        0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00717     富邦美國特別股         15.0400   15.0400   14.9800   15.0000  ▼0.0500        34 9999.9500    0.0100
00728     第一金工業30           66.8500   66.8500   65.9000   66.0500  ▼0.1500       560   72.8000   59.6000
00729R    第一金工業30反1         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00730     富邦臺灣優質高息       29.6000   29.8300   29.4000   29.4000  ▼0.1100       163   32.4600   26.5600
00731     復華富時高息低波       91.9500   92.0000   91.1000   91.4500  ▲0.1500       545  100.4000   82.2000
00732     國泰RMB短期報酬         0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00733     富邦臺灣中小           67.2500   67.2500   66.2000   66.4500  ▼0.8000       591   73.9500   60.5500
00735     國泰臺韓科技          104.9000  104.9500  102.7500  103.1000  ▼0.5000      3319 9999.9500    0.0100
