"114年07月 發行量加權股價指數歷史資料"
"日期","開盤指數","最高指數","最低指數","收盤指數",
"114/07/01","22,419.74","22,730.76","22,401.58","22,553.72",
"114/07/02","22,463.55","22,577.74","22,396.26","22,577.74",
"114/07/03","22,707.41","22,816.20","22,700.86","22,712.97",
"114/07/04","22,756.55","22,842.75","22,500.97","22,547.50",
"114/07/07","22,550.14","22,550.50","22,294.11","22,428.72",
"114/07/08","22,375.65","22,375.65","22,190.46","22,362.27",
"114/07/09","22,253.17","22,527.01","22,211.10","22,527.01",
"114/07/10","22,566.51","22,699.29","22,513.35","22,693.25",
"114/07/11","22,602.81","22,770.01","22,601.95","22,751.03",
"114/07/14","22,679.18","22,735.23","22,525.66","22,614.97",
"114/07/15","22,618.43","22,888.23","22,588.26","22,835.94",
"114/07/16","22,967.51","23,106.43","22,923.12","23,042.90",
"114/07/17","23,042.97","23,159.54","22,923.37","23,113.28",
"114/07/18","23,345.72","23,468.21","23,276.02","23,383.13",
"114/07/21","23,314.29","23,403.83","23,243.79","23,340.56",
"114/07/22","23,301.66","23,486.08","22,985.90","22,987.92",
"114/07/23","23,063.57","23,318.67","23,063.57","23,318.67",
"114/07/24","23,373.67","23,455.09","23,295.31","23,373.73",
"114/07/25","23,454.59","23,485.56","23,308.45","23,364.38",
